scenario_id,original_intended_label,human_majority_label,dimension,group_value,coded_foundation,count,group_total,percentage
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Loyalty/Betrayal,22,24,0.9166666666666666
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Authority/Subversion,2,24,0.08333333333333333
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Fairness/Cheating,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Sanctity/Degradation,0,24,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ar,Care/Harm,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ar,Loyalty/Betrayal,5,8,0.625
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ar,Authority/Subversion,3,8,0.375
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ar,Fairness/Cheating,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ar,Sanctity/Degradation,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,bn,Care/Harm,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,bn,Loyalty/Betrayal,8,8,1
S11,Authority/Subversion,Care/Harm,reasoning_response_language,bn,Authority/Subversion,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,bn,Fairness/Cheating,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,bn,Sanctity/Degradation,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,en,Care/Harm,1,52,0.019230769230769232
S11,Authority/Subversion,Care/Harm,reasoning_response_language,en,Loyalty/Betrayal,43,52,0.8269230769230769
S11,Authority/Subversion,Care/Harm,reasoning_response_language,en,Authority/Subversion,8,52,0.15384615384615385
S11,Authority/Subversion,Care/Harm,reasoning_response_language,en,Fairness/Cheating,0,52,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,en,Sanctity/Degradation,0,52,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,es,Care/Harm,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,es,Loyalty/Betrayal,8,8,1
S11,Authority/Subversion,Care/Harm,reasoning_response_language,es,Authority/Subversion,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,es,Fairness/Cheating,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,es,Sanctity/Degradation,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,hi,Care/Harm,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,hi,Loyalty/Betrayal,8,8,1
S11,Authority/Subversion,Care/Harm,reasoning_response_language,hi,Authority/Subversion,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,hi,Fairness/Cheating,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,hi,Sanctity/Degradation,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ja,Care/Harm,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ja,Loyalty/Betrayal,7,8,0.875
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ja,Authority/Subversion,1,8,0.125
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ja,Fairness/Cheating,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ja,Sanctity/Degradation,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ta,Care/Harm,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ta,Loyalty/Betrayal,7,8,0.875
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ta,Authority/Subversion,1,8,0.125
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ta,Fairness/Cheating,0,8,0
S11,Authority/Subversion,Care/Harm,reasoning_response_language,ta,Sanctity/Degradation,0,8,0
S30,Authority/Subversion,Authority/Subversion,overall,all,Care/Harm,100,100,1
S30,Authority/Subversion,Authority/Subversion,overall,all,Loyalty/Betrayal,0,100,0
S30,Authority/Subversion,Authority/Subversion,overall,all,Authority/Subversion,0,100,0
S30,Authority/Subversion,Authority/Subversion,overall,all,Fairness/Cheating,0,100,0
S30,Authority/Subversion,Authority/Subversion,overall,all,Sanctity/Degradation,0,100,0
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Care/Harm,25,25,1
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Loyalty/Betrayal,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Authority/Subversion,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Fairness/Cheating,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Sanctity/Degradation,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,claude,Care/Harm,25,25,1
S30,Authority/Subversion,Authority/Subversion,model,claude,Loyalty/Betrayal,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,claude,Authority/Subversion,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,claude,Fairness/Cheating,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,claude,Sanctity/Degradation,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Care/Harm,25,25,1
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Loyalty/Betrayal,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Authority/Subversion,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Fairness/Cheating,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Sanctity/Degradation,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Care/Harm,25,25,1
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Loyalty/Betrayal,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Authority/Subversion,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Fairness/Cheating,0,25,0
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Sanctity/Degradation,0,25,0
S30,Authority/Subversion,Authority/Subversion,language,ar,Care/Harm,16,16,1
S30,Authority/Subversion,Authority/Subversion,language,ar,Loyalty/Betrayal,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ar,Authority/Subversion,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ar,Fairness/Cheating,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ar,Sanctity/Degradation,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,bn,Care/Harm,16,16,1
S30,Authority/Subversion,Authority/Subversion,language,bn,Loyalty/Betrayal,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,bn,Authority/Subversion,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,bn,Fairness/Cheating,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,bn,Sanctity/Degradation,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,en,Care/Harm,4,4,1
S30,Authority/Subversion,Authority/Subversion,language,en,Loyalty/Betrayal,0,4,0
S30,Authority/Subversion,Authority/Subversion,language,en,Authority/Subversion,0,4,0
S30,Authority/Subversion,Authority/Subversion,language,en,Fairness/Cheating,0,4,0
S30,Authority/Subversion,Authority/Subversion,language,en,Sanctity/Degradation,0,4,0
S30,Authority/Subversion,Authority/Subversion,language,es,Care/Harm,16,16,1
S30,Authority/Subversion,Authority/Subversion,language,es,Loyalty/Betrayal,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,es,Authority/Subversion,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,es,Fairness/Cheating,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,es,Sanctity/Degradation,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,hi,Care/Harm,16,16,1
S30,Authority/Subversion,Authority/Subversion,language,hi,Loyalty/Betrayal,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,hi,Authority/Subversion,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,hi,Fairness/Cheating,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,hi,Sanctity/Degradation,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ja,Care/Harm,16,16,1
S30,Authority/Subversion,Authority/Subversion,language,ja,Loyalty/Betrayal,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ja,Authority/Subversion,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ja,Fairness/Cheating,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ja,Sanctity/Degradation,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ta,Care/Harm,16,16,1
S30,Authority/Subversion,Authority/Subversion,language,ta,Loyalty/Betrayal,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ta,Authority/Subversion,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ta,Fairness/Cheating,0,16,0
S30,Authority/Subversion,Authority/Subversion,language,ta,Sanctity/Degradation,0,16,0
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Care/Harm,24,24,1
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Loyalty/Betrayal,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Authority/Subversion,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Fairness/Cheating,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Sanctity/Degradation,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Care/Harm,24,24,1
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Loyalty/Betrayal,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Authority/Subversion,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Fairness/Cheating,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Sanctity/Degradation,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Care/Harm,4,4,1
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Loyalty/Betrayal,0,4,0
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Authority/Subversion,0,4,0
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Fairness/Cheating,0,4,0
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Sanctity/Degradation,0,4,0
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Care/Harm,24,24,1
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Loyalty/Betrayal,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Authority/Subversion,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Fairness/Cheating,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Sanctity/Degradation,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Care/Harm,24,24,1
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Loyalty/Betrayal,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Authority/Subversion,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Fairness/Cheating,0,24,0
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Sanctity/Degradation,0,24,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ar,Care/Harm,8,8,1
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ar,Loyalty/Betrayal,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ar,Authority/Subversion,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ar,Fairness/Cheating,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ar,Sanctity/Degradation,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,bn,Care/Harm,8,8,1
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,bn,Loyalty/Betrayal,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,bn,Authority/Subversion,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,bn,Fairness/Cheating,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,bn,Sanctity/Degradation,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,en,Care/Harm,52,52,1
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,en,Loyalty/Betrayal,0,52,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,en,Authority/Subversion,0,52,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,en,Fairness/Cheating,0,52,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,en,Sanctity/Degradation,0,52,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,es,Care/Harm,8,8,1
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,es,Loyalty/Betrayal,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,es,Authority/Subversion,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,es,Fairness/Cheating,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,es,Sanctity/Degradation,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,hi,Care/Harm,8,8,1
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,hi,Loyalty/Betrayal,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,hi,Authority/Subversion,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,hi,Fairness/Cheating,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,hi,Sanctity/Degradation,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ja,Care/Harm,8,8,1
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ja,Loyalty/Betrayal,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ja,Authority/Subversion,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ja,Fairness/Cheating,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ja,Sanctity/Degradation,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ta,Care/Harm,8,8,1
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ta,Loyalty/Betrayal,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ta,Authority/Subversion,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ta,Fairness/Cheating,0,8,0
S30,Authority/Subversion,Authority/Subversion,reasoning_response_language,ta,Sanctity/Degradation,0,8,0
