finding,classification,analysis_version,effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value_ttest,cohens_d,n,p_value_wilcoxon,wilcoxon_nonzero_n,wilcoxon_method,q_value_bh_wilcoxon,fdr_significant_05_wilcoxon,fdr_significant_10_wilcoxon
Japanese Fairness/Cheating reasoning effect,stable,v2_validated_subset,reasoning,ja,pooled,Fairness/Cheating,0.3333333333333333,0.11390124393209045,0.5527654227345762,0.004362658456633861,0.6009252125773316,27,0.000012152832377321232,8,"normal approximation, continuity and tie corrected; zeros excluded",0.00021524983276899334,true,true
Japanese Fairness/Cheating reasoning effect,stable,v3_human_majority,reasoning,ja,pooled,Fairness/Cheating,0.3333333333333333,0.1292025515791674,0.5374641150874993,0.002316228855839375,0.6097498436202111,30,0.0000010155031442415918,9,"normal approximation, continuity and tie corrected; zeros excluded",0.000017771305024227857,true,true
Arabic Fairness/Cheating reasoning effect,strengthened,v1_original_intended,reasoning,ar,pooled,Fairness/Cheating,0.4,0.12966377428239395,0.6703362257176061,0.005150605210149317,0.5525062514530825,30,0.00003942330779072023,14,"normal approximation, continuity and tie corrected; zeros excluded",0.0003184190244635096,true,true
Arabic Fairness/Cheating reasoning effect,strengthened,v2_validated_subset,reasoning,ar,pooled,Fairness/Cheating,0.4444444444444444,0.16833178698362555,0.7205571019052632,0.002748244817944334,0.6367559105878924,27,0.000042578775873103325,12,"normal approximation, continuity and tie corrected; zeros excluded",0.0006386816380965499,true,true
Arabic Fairness/Cheating reasoning effect,strengthened,v3_human_majority,reasoning,ar,pooled,Fairness/Cheating,0.43333333333333335,0.17982396618818813,0.6868427004784785,0.0015405967648947083,0.6382775033154234,30,0.000008818774981156352,13,"normal approximation, continuity and tie corrected; zeros excluded",0.00013228162471734528,true,true
Pooled Authority/Subversion input-language effect,stable,v1_original_intended,language,all,pooled,Authority/Subversion,0.37777777777777777,0.2561971169778612,0.49935843857769435,5.422230664464678e-9,0.4570144872999839,180,0,80,"normal approximation, continuity and tie corrected; zeros excluded",0,true,true
Pooled Authority/Subversion input-language effect,stable,v2_validated_subset,language,all,pooled,Authority/Subversion,0.4111111111111111,0.19610408668071078,0.6261181355415114,0.0002650051189472258,0.4004778701136469,90,9.780288565686135e-7,47,"normal approximation, continuity and tie corrected; zeros excluded",0.00003423100997990147,true,true
Pooled Authority/Subversion input-language effect,stable,v3_human_majority,language,all,pooled,Authority/Subversion,0.4111111111111111,0.19610408668071078,0.6261181355415114,0.0002650051189472258,0.4004778701136469,90,9.780288565686135e-7,47,"normal approximation, continuity and tie corrected; zeros excluded",0.000017771305024227857,true,true
Bengali Authority/Subversion input-language effect,strengthened,v1_original_intended,language,bn,pooled,Authority/Subversion,0.4,0.12966377428239395,0.6703362257176061,0.005150605210149317,0.5525062514530825,30,0.00003942330779072023,14,"normal approximation, continuity and tie corrected; zeros excluded",0.0003184190244635096,true,true
Bengali Authority/Subversion input-language effect,strengthened,v2_validated_subset,language,bn,pooled,Authority/Subversion,0.5333333333333333,0.07158508516804996,0.9950815814986167,0.026607580197571368,0.6396345988854294,15,0.007053735147504181,8,"normal approximation, continuity and tie corrected; zeros excluded",0.032201834369040824,true,true
Bengali Authority/Subversion input-language effect,strengthened,v3_human_majority,language,bn,pooled,Authority/Subversion,0.5333333333333333,0.07158508516804996,0.9950815814986167,0.026607580197571368,0.6396345988854294,15,0.007053735147504181,8,"normal approximation, continuity and tie corrected; zeros excluded",0.032201834369040824,true,true
Arabic Authority/Subversion input-language effect,lost significance,v1_original_intended,language,ar,pooled,Authority/Subversion,0.43333333333333335,0.14437136533385397,0.7222953013328127,0.004648510782116144,0.5599675523000586,30,0.0018735128572680004,11,"normal approximation, continuity and tie corrected; zeros excluded",0.008941765909688183,true,true
Arabic Authority/Subversion input-language effect,lost significance,v2_validated_subset,language,ar,pooled,Authority/Subversion,0.4666666666666667,-0.040306720710942656,0.973640054044276,0.06841716354055727,0.5097533568780933,15,0.04381965554407863,6,"normal approximation, continuity and tie corrected; zeros excluded",0.1288326883269735,false,false
Arabic Authority/Subversion input-language effect,lost significance,v3_human_majority,language,ar,pooled,Authority/Subversion,0.4666666666666667,-0.040306720710942656,0.973640054044276,0.06841716354055727,0.5097533568780933,15,0.04381965554407863,6,"normal approximation, continuity and tie corrected; zeros excluded",0.1288326883269735,false,false
Spanish Authority/Subversion framing effect,lost significance,v1_original_intended,framing,es,pooled,Authority/Subversion,-0.4666666666666667,-0.7726010212315426,-0.16073231210179068,0.004069703036843952,-0.5695868886695797,30,0.00009964405201312587,17,"normal approximation, continuity and tie corrected; zeros excluded",0.0007052054560139354,true,true
Spanish Authority/Subversion framing effect,lost significance,v2_validated_subset,framing,es,pooled,Authority/Subversion,-0.6,-1.1458130463930414,-0.05418695360695858,0.03346742202751396,-0.6087595874350707,15,0.012411774684279564,10,"normal approximation, continuity and tie corrected; zeros excluded",0.05430151424372309,false,true
Spanish Authority/Subversion framing effect,lost significance,v3_human_majority,framing,es,pooled,Authority/Subversion,-0.6,-1.1458130463930414,-0.05418695360695858,0.03346742202751396,-0.6087595874350707,15,0.012411774684279564,10,"normal approximation, continuity and tie corrected; zeros excluded",0.05430151424372309,false,true
Pooled Authority/Subversion reasoning effect,strengthened,v1_original_intended,reasoning,all,pooled,Authority/Subversion,-0.17222222222222222,-0.2808628769575611,-0.0635815674868833,0.0020536930357830663,-0.23316044402222688,180,0.0000012359968968311819,66,"normal approximation, continuity and tie corrected; zeros excluded",0.000021629945694545682,true,true
Pooled Authority/Subversion reasoning effect,strengthened,v2_validated_subset,reasoning,all,pooled,Authority/Subversion,-0.24444444444444444,-0.43364034434012455,-0.055248544548764295,0.011921112348940222,-0.27060786051237806,90,0.0009680339648368008,41,"normal approximation, continuity and tie corrected; zeros excluded",0.006352722894241505,true,true
Pooled Authority/Subversion reasoning effect,strengthened,v3_human_majority,reasoning,all,pooled,Authority/Subversion,-0.24444444444444444,-0.43364034434012455,-0.055248544548764295,0.011921112348940222,-0.27060786051237806,90,0.0009680339648368008,41,"normal approximation, continuity and tie corrected; zeros excluded",0.005646864794881338,true,true
