analysis,excluded_group,edit_metric,n,scenario_clusters,spearman_rho,two_sided_p_value
leave_one_scenario_out,S08,normalized_character_edit_rate,882,49,0.2000307680462247,2.0619031981410264e-09
leave_one_scenario_out,S09,normalized_character_edit_rate,882,49,0.20386873295349373,9.945081923530188e-10
leave_one_scenario_out,S10,normalized_character_edit_rate,882,49,0.20095520408612177,1.7320688094421904e-09
leave_one_scenario_out,S11,normalized_character_edit_rate,882,49,0.19930031245538277,2.3649995585312913e-09
leave_one_scenario_out,S12,normalized_character_edit_rate,882,49,0.2008979949366502,1.7508967655287568e-09
leave_one_scenario_out,S13,normalized_character_edit_rate,882,49,0.1960302937344221,4.3423134204275295e-09
leave_one_scenario_out,S14,normalized_character_edit_rate,882,49,0.19898826439322798,2.507306950851316e-09
leave_one_scenario_out,S15,normalized_character_edit_rate,882,49,0.20545181356592293,7.331183204780226e-10
leave_one_scenario_out,S16,normalized_character_edit_rate,882,49,0.19567680132902215,4.634243959521467e-09
leave_one_scenario_out,S17,normalized_character_edit_rate,882,49,0.20065503189776993,1.8330999710776783e-09
leave_one_scenario_out,S18,normalized_character_edit_rate,882,49,0.198910032529455,2.544269200654434e-09
leave_one_scenario_out,S19,normalized_character_edit_rate,882,49,0.1983301302369977,2.8352668969384785e-09
leave_one_scenario_out,S20,normalized_character_edit_rate,882,49,0.19798295779304778,3.0247004577466675e-09
leave_one_scenario_out,S21,normalized_character_edit_rate,882,49,0.19454609135561607,5.701835071009296e-09
leave_one_scenario_out,S22,normalized_character_edit_rate,882,49,0.2054307505490147,7.361106687073631e-10
leave_one_scenario_out,S23,normalized_character_edit_rate,882,49,0.19194926016102634,9.136277748843782e-09
leave_one_scenario_out,S24,normalized_character_edit_rate,882,49,0.2127005415970074,1.758423010522032e-10
leave_one_scenario_out,S25,normalized_character_edit_rate,882,49,0.19768993878027633,3.1941108452924627e-09
leave_one_scenario_out,S26,normalized_character_edit_rate,882,49,0.2008996962489885,1.7503339896623164e-09
leave_one_scenario_out,S27,normalized_character_edit_rate,882,49,0.19999481194654925,2.0758954170006e-09
leave_one_scenario_out,S28,normalized_character_edit_rate,882,49,0.19650095799562448,3.981213783693095e-09
leave_one_scenario_out,S29,normalized_character_edit_rate,882,49,0.1998375046232845,2.138204539803374e-09
leave_one_scenario_out,S30,normalized_character_edit_rate,882,49,0.20827667727694604,4.228708629101388e-10
leave_one_scenario_out,S31,normalized_character_edit_rate,882,49,0.19869708861394014,2.647582874225907e-09
leave_one_scenario_out,S32,normalized_character_edit_rate,882,49,0.1997931132706196,2.1561144463741217e-09
leave_one_scenario_out,S33,normalized_character_edit_rate,882,49,0.20318102702147167,1.1345083431759905e-09
leave_one_scenario_out,S34,normalized_character_edit_rate,882,49,0.2030150470654722,1.1710700962364393e-09
leave_one_scenario_out,S35,normalized_character_edit_rate,882,49,0.20662382488902137,5.840388659448191e-10
leave_one_scenario_out,S36,normalized_character_edit_rate,882,49,0.2044661863713958,8.866512344260731e-10
leave_one_scenario_out,S37,normalized_character_edit_rate,882,49,0.2075312672558799,4.893226368788566e-10
leave_one_scenario_out,S38,normalized_character_edit_rate,882,49,0.207992706528971,4.470785049196923e-10
leave_one_scenario_out,S39,normalized_character_edit_rate,882,49,0.2030111094320857,1.1719512484141472e-09
leave_one_scenario_out,S40,normalized_character_edit_rate,882,49,0.2172075116495203,7.050646577028685e-11
leave_one_scenario_out,S41,normalized_character_edit_rate,882,49,0.20197712649657223,1.4271135281644929e-09
leave_one_scenario_out,S42,normalized_character_edit_rate,882,49,0.20542681155448533,7.36671586319502e-10
leave_one_scenario_out,S43,normalized_character_edit_rate,882,49,0.20347467493902827,1.072527226115663e-09
leave_one_scenario_out,S44,normalized_character_edit_rate,882,49,0.2051194094377974,7.817538183433653e-10
leave_one_scenario_out,S45,normalized_character_edit_rate,882,49,0.201651076727845,1.5182425454059705e-09
leave_one_scenario_out,S46,normalized_character_edit_rate,882,49,0.19992875068230961,2.1018440529491027e-09
leave_one_scenario_out,S47,normalized_character_edit_rate,882,49,0.21965721564137278,4.254207805635603e-11
leave_one_scenario_out,S48,normalized_character_edit_rate,882,49,0.1963372721940527,4.103355792793289e-09
leave_one_scenario_out,S49,normalized_character_edit_rate,882,49,0.19965773957227945,2.2116370949156338e-09
leave_one_scenario_out,S50,normalized_character_edit_rate,882,49,0.2068974944264882,5.537364402037041e-10
model_stratified,GPT-4o,normalized_character_edit_rate,300,50,0.14625044250410524,0.011206008144470994
model_stratified,Claude Sonnet 4.6,normalized_character_edit_rate,300,50,0.2409469562289709,2.4624774634835287e-05
model_stratified,Gemini 3.5 Flash,normalized_character_edit_rate,300,50,0.22330617818947937,9.579541251507962e-05
exclude_top_5_percent_edit_pairs,edit_rate>0.758163592622,normalized_character_edit_rate,855,50,0.16836568083537715,7.373410705163831e-07
scenario_language_means,,normalized_character_edit_rate,300,50,0.28039327703646955,7.988791705567465e-07
