effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value_ttest,p_value_wilcoxon,wilcoxon_method,wilcoxon_nonzero_n,cohens_d,n
framing,all,claude,all,-0.10333333333333333,-0.19059462899072516,-0.016072037675941495,0.020959303999107837,0.00040074716212279426,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,113,-0.13400290889442795,300
framing,hi,gemini_flash,all,-0.08,-0.2806644961122918,0.12066449611229176,0.43832434603238024,0.2752336074116013,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,17,-0.11050718531494022,50
framing,bn,gemini_flash,all,-0.16,-0.3219165217017708,0.0019165217017708125,0.05854695009820676,1,normal approximation unavailable; variance is zero,18,-0.27390495330493025,50
framing,ta,gemini_flash,all,0.04,-0.1453929880011647,0.22539298800116472,0.6742290116441307,0.34345105510978735,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,19,0.05980503604017326,50
framing,es,gemini_flash,all,-0.38,-0.5810548183953819,-0.1789451816046181,0.0005382541911156391,0.000007726772071947607,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,21,-0.5238900861277119,50
framing,ja,gemini_flash,all,-0.02,-0.2796009244975834,0.23960092449758338,0.8805948637990879,0.7954251239509249,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,20,-0.021354766648969074,50
framing,ar,gemini_flash,all,-0.26,-0.49633061587530286,-0.023669384124697157,0.035995602602626464,0.0008178284371231914,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,25,-0.3049470457799634,50
framing,all,gemini_flash,all,-0.14333333333333334,-0.22986520724420473,-0.05680145942246197,0.0013006907863915007,9.845767166005714e-7,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,120,-0.18744183882045962,300
framing,hi,pooled,all,-0.16,-0.2858602356829769,-0.03413976431702312,0.01381078724208451,0.0018059666956946607,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,53,-0.2034425935955618,150
framing,bn,pooled,all,-0.11333333333333333,-0.2356709154453611,0.009004248778694435,0.07142066225620924,0.003243111919867925,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,59,-0.14825461158015957,150
framing,ta,pooled,all,-0.08,-0.23235212715538167,0.07235212715538165,0.30505599753793855,0.296318272964871,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,53,-0.0840333944001287,150
framing,es,pooled,all,-0.36,-0.492771943884143,-0.22722805611585697,3.8322832240922367e-7,7.504441512651283e-11,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,63,-0.43391696366615423,150
framing,ja,pooled,all,0.06,-0.07140560634187598,0.19140560634187598,0.37226311961664393,0.3414262983077023,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,49,0.07307146216219025,150
framing,ar,pooled,all,-0.20666666666666667,-0.3717714939644087,-0.041561839368924686,0.015304904667461372,0.00031154142989553435,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,72,-0.20031852114456467,150
framing,all,pooled,all,-0.14333333333333334,-0.20059183206214914,-0.08607483460451752,0.000001100973782142134,9.877387796564108e-11,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,349,-0.16354680357226534,900
