row_type,contrast,aggregation_level,model_key,input_language,control_id,left_condition,right_condition,left_rating,right_rating,paired_difference,n,mean_paired_difference,median_paired_difference,standard_deviation,minimum,maximum,ci_lower,ci_upper
individual,input_language,individual,chatgpt,es,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,es,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,es,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,es,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,es,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,ja,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,ja,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,ja,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,ja,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,ja,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,ar,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,ar,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,ar,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,ar,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,ar,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,hi,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,hi,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,hi,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,hi,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,hi,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,bn,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,bn,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,bn,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,bn,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,bn,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,ta,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,ta,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,ta,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,ta,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,ta,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,es,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,es,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,es,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,es,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,es,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,ja,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,ja,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,ja,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,ja,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,ja,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,ar,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,ar,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,ar,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,ar,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,ar,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,hi,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,hi,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,hi,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,hi,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,hi,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,bn,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,bn,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,bn,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,bn,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,bn,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,ta,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,ta,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,ta,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,ta,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,ta,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,es,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,es,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,es,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,es,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,es,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,ja,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,ja,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,ja,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,ja,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,ja,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,ar,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,ar,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,ar,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,ar,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,ar,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,hi,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,hi,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,hi,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,hi,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,hi,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,bn,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,bn,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,bn,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,bn,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,bn,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,ta,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,ta,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,ta,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,ta,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,ta,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,es,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,es,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,es,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,es,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,es,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,ja,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,ja,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,ja,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,ja,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,ja,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,ar,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,ar,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,ar,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,ar,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,ar,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,hi,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,hi,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,hi,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,hi,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,hi,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,bn,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,bn,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,bn,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,bn,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,bn,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,ta,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,ta,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,ta,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,ta,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,ta,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,es,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,es,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,es,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,es,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,es,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,ja,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,ja,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,ja,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,ja,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,ja,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,claude,ar,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,claude,ar,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,claude,ar,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,claude,ar,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,claude,ar,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,hi,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,hi,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,hi,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,hi,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,hi,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,bn,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,bn,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,bn,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,bn,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,bn,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,ta,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,ta,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,ta,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,ta,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,ta,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,es,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,es,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,es,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,es,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,es,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,ja,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,ja,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,ja,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,ja,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,ja,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,gemini_flash,ar,C02,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,gemini_flash,ar,C02,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,gemini_flash,ar,C02,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,gemini_flash,ar,C02,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,gemini_flash,ar,C02,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,hi,C03,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,hi,C03,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,hi,C03,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,hi,C03,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
