work_unit_id,scenario_id,model_key,correct_count_0_4,absolute_rating_shift,jittered_comprehension_score,model_n,total_n
S02__ar__adapted__gemini_flash,S02,gemini_flash,4,0.0,4.0509334064989,240,720
S02__ar__literal__gemini_flash,S02,gemini_flash,4,0.0,4.0768260853580935,240,720
S02__ja__literal__claude,S02,claude,4,1.0,4.0436129236015494,240,720
S05__hi__literal__claude,S05,claude,4,0.0,4.0472252979511065,240,720
S02__ja__adapted__claude,S02,claude,4,1.0,4.08278404661635,240,720
S05__bn__literal__chatgpt,S05,chatgpt,4,1.0,4.098130188457146,240,720
S05__hi__adapted__chatgpt,S05,chatgpt,4,0.0,3.90998547061245,240,720
S05__bn__literal__gemini_flash,S05,gemini_flash,4,0.0,4.069876394105284,240,720
S05__hi__literal__gemini_flash,S05,gemini_flash,4,0.0,4.009335893104618,240,720
S05__hi__adapted__gemini_flash,S05,gemini_flash,4,0.0,3.986843997833407,240,720
S05__bn__adapted__chatgpt,S05,chatgpt,4,0.0,4.091842840564957,240,720
S02__ar__literal__chatgpt,S02,chatgpt,3,0.0,3.013345115019684,240,720
S05__ta__literal__chatgpt,S05,chatgpt,4,0.0,4.081597923312646,240,720
S05__ta__adapted__chatgpt,S05,chatgpt,4,0.0,4.038107818531901,240,720
S05__bn__adapted__gemini_flash,S05,gemini_flash,4,0.0,4.028297257754258,240,720
S05__hi__adapted__claude,S05,claude,4,0.0,3.9686310975327084,240,720
S05__bn__literal__claude,S05,claude,4,0.0,3.929138101076747,240,720
S05__ta__literal__gemini_flash,S05,gemini_flash,4,0.0,4.054700751711688,240,720
S05__bn__adapted__claude,S05,claude,4,0.0,3.9919322514865434,240,720
S05__ta__adapted__claude,S05,claude,4,0.0,4.009411213345479,240,720
S02__ar__literal__claude,S02,claude,4,0.0,3.97671055911394,240,720
S02__ar__adapted__claude,S02,claude,3,0.0,3.0527458638096823,240,720
S05__es__literal__chatgpt,S05,chatgpt,4,0.0,3.9997357114485292,240,720
S05__ta__adapted__gemini_flash,S05,gemini_flash,4,0.0,3.951307318814008,240,720
S05__es__adapted__chatgpt,S05,chatgpt,4,0.0,4.081639976008649,240,720
S05__ja__literal__chatgpt,S05,chatgpt,4,0.0,4.048326145187383,240,720
S05__ta__literal__claude,S05,claude,4,0.0,3.9802443536068526,240,720
S05__es__literal__gemini_flash,S05,gemini_flash,4,0.0,4.080115879490716,240,720
S05__es__adapted__gemini_flash,S05,gemini_flash,4,0.0,3.910571470454367,240,720
S05__ja__literal__gemini_flash,S05,gemini_flash,4,0.0,3.9018862390591758,240,720
S05__ja__adapted__chatgpt,S05,chatgpt,4,0.0,3.974365108867712,240,720
S05__es__adapted__claude,S05,claude,4,0.0,4.060881945267254,240,720
S05__es__literal__claude,S05,claude,4,0.0,3.979498477250581,240,720
S05__ar__literal__chatgpt,S05,chatgpt,4,0.0,4.0161362024565035,240,720
S05__ar__adapted__chatgpt,S05,chatgpt,4,0.0,4.075581340258904,240,720
S05__ar__literal__claude,S05,claude,4,0.0,3.9286071226268744,240,720
S05__ar__literal__gemini_flash,S05,gemini_flash,4,0.0,3.978138005423668,240,720
S05__ja__literal__claude,S05,claude,4,0.0,4.0754775146335795,240,720
S05__ja__adapted__gemini_flash,S05,gemini_flash,4,0.0,4.006260943983993,240,720
S06__hi__literal__chatgpt,S06,chatgpt,4,0.0,3.96066160280291,240,720
S05__ar__adapted__claude,S05,claude,4,0.0,3.953258641012627,240,720
S05__ar__adapted__gemini_flash,S05,gemini_flash,4,1.0,3.9637650420442956,240,720
S05__ja__adapted__claude,S05,claude,4,0.0,4.009828813959255,240,720
S06__hi__adapted__chatgpt,S06,chatgpt,4,0.0,4.051205470522416,240,720
S06__hi__literal__gemini_flash,S06,gemini_flash,4,0.0,3.9522871535129727,240,720
S06__hi__literal__claude,S06,claude,4,0.0,4.038912406377565,240,720
S06__bn__literal__chatgpt,S06,chatgpt,4,0.0,3.9393305802066605,240,720
S06__hi__adapted__gemini_flash,S06,gemini_flash,4,0.0,4.042411760374906,240,720
S06__bn__adapted__chatgpt,S06,chatgpt,4,0.0,4.03214276318787,240,720
S06__bn__literal__claude,S06,claude,4,0.0,3.9174441067486074,240,720
S06__bn__literal__gemini_flash,S06,gemini_flash,4,0.0,3.963263146612768,240,720
S06__hi__adapted__claude,S06,claude,4,0.0,3.963558525007132,240,720
S06__ta__literal__chatgpt,S06,chatgpt,4,0.0,3.9645322336580078,240,720
S06__bn__adapted__claude,S06,claude,4,0.0,3.981934936930796,240,720
S06__ta__adapted__chatgpt,S06,chatgpt,4,0.0,3.9949849597258265,240,720
S06__bn__adapted__gemini_flash,S06,gemini_flash,4,0.0,3.925767573364474,240,720
S06__ta__literal__gemini_flash,S06,gemini_flash,4,0.0,3.9173310383464517,240,720
S06__es__literal__chatgpt,S06,chatgpt,4,0.0,3.9476102058573495,240,720
S06__ta__adapted__gemini_flash,S06,gemini_flash,4,0.0,4.085900378246501,240,720
S06__ta__literal__claude,S06,claude,4,0.0,3.9717408916888113,240,720
S06__es__adapted__chatgpt,S06,chatgpt,4,0.0,4.097874198498292,240,720
S06__ta__adapted__claude,S06,claude,4,0.0,3.9651423598406135,240,720
S06__es__adapted__claude,S06,claude,4,0.0,3.923645154518601,240,720
S06__ja__literal__chatgpt,S06,chatgpt,4,0.0,3.951604879270034,240,720
S06__es__literal__gemini_flash,S06,gemini_flash,4,0.0,3.9967887492655345,240,720
S06__es__adapted__gemini_flash,S06,gemini_flash,4,0.0,3.9064396366581113,240,720
S06__es__literal__claude,S06,claude,4,0.0,3.9171895467002416,240,720
S06__ja__literal__gemini_flash,S06,gemini_flash,4,0.0,4.080760473111478,240,720
S06__ar__literal__chatgpt,S06,chatgpt,4,0.0,3.9237751765891873,240,720
S06__ja__adapted__chatgpt,S06,chatgpt,4,0.0,4.085243520292407,240,720
S06__ja__adapted__gemini_flash,S06,gemini_flash,4,1.0,3.989740686192193,240,720
S06__ar__adapted__chatgpt,S06,chatgpt,4,0.0,3.948448175811481,240,720
S06__ja__literal__claude,S06,claude,4,0.0,3.9476174221994524,240,720
S12__hi__literal__chatgpt,S12,chatgpt,4,0.0,3.932851228798756,240,720
S06__ar__literal__claude,S06,claude,4,0.0,3.971744272614125,240,720
S06__ar__literal__gemini_flash,S06,gemini_flash,4,0.0,3.9755973955653636,240,720
S06__ar__adapted__gemini_flash,S06,gemini_flash,4,0.0,4.0225840489307085,240,720
S06__ja__adapted__claude,S06,claude,4,0.0,3.9681287286253797,240,720
S12__hi__literal__claude,S12,claude,4,0.0,4.088181628889527,240,720
S12__hi__adapted__chatgpt,S12,chatgpt,4,0.0,4.078529254722037,240,720
S12__hi__literal__gemini_flash,S12,gemini_flash,4,1.0,3.9216398317988057,240,720
S06__ar__adapted__claude,S06,claude,4,0.0,4.04472711519138,240,720
S12__hi__adapted__gemini_flash,S12,gemini_flash,4,0.0,3.972611388227335,240,720
S12__bn__adapted__chatgpt,S12,chatgpt,3,0.0,3.008006662734622,240,720
S12__bn__literal__claude,S12,claude,4,0.0,4.062343393380917,240,720
S12__bn__literal__gemini_flash,S12,gemini_flash,4,1.0,3.9447924200967397,240,720
S12__hi__adapted__claude,S12,claude,4,0.0,3.9838927181090384,240,720
S12__bn__literal__chatgpt,S12,chatgpt,3,0.0,2.9414514009036012,240,720
S12__ta__literal__chatgpt,S12,chatgpt,4,0.0,3.968880151186245,240,720
S12__bn__adapted__claude,S12,claude,4,0.0,4.059468174126416,240,720
S12__bn__adapted__gemini_flash,S12,gemini_flash,4,1.0,4.0741096950226385,240,720
S12__ta__adapted__chatgpt,S12,chatgpt,4,0.0,4.0790262050381605,240,720
S12__ta__literal__gemini_flash,S12,gemini_flash,4,1.0,3.9964876054723035,240,720
S12__es__literal__chatgpt,S12,chatgpt,4,0.0,3.9308509489069907,240,720
S12__ta__adapted__gemini_flash,S12,gemini_flash,4,1.0,3.960187314610809,240,720
S12__es__adapted__chatgpt,S12,chatgpt,4,0.0,3.9799697414055157,240,720
S12__ta__literal__claude,S12,claude,4,0.0,4.016165224840188,240,720
S12__ja__literal__chatgpt,S12,chatgpt,4,0.0,3.904994845267793,240,720
S12__es__literal__gemini_flash,S12,gemini_flash,4,1.0,4.091906719447305,240,720
S12__es__adapted__gemini_flash,S12,gemini_flash,4,0.0,4.006162725973858,240,720
S12__ta__adapted__claude,S12,claude,4,0.0,3.9642123319546814,240,720
S12__ja__adapted__chatgpt,S12,chatgpt,4,0.0,4.07479156513028,240,720
S12__es__literal__claude,S12,claude,4,0.0,3.998846150441392,240,720
S12__es__adapted__claude,S12,claude,4,0.0,3.932817884933015,240,720
S12__ja__literal__gemini_flash,S12,gemini_flash,4,1.0,3.982195128013002,240,720
S12__ja__adapted__gemini_flash,S12,gemini_flash,4,1.0,4.015619900241476,240,720
S12__ar__literal__chatgpt,S12,chatgpt,4,0.0,4.066779853838499,240,720
S12__ja__literal__claude,S12,claude,4,0.0,4.0001695352542725,240,720
S12__ar__literal__claude,S12,claude,4,0.0,3.9617305443393,240,720
S12__ar__adapted__chatgpt,S12,chatgpt,4,1.0,3.9698403653297683,240,720
S12__ar__literal__gemini_flash,S12,gemini_flash,4,0.0,4.048193455250024,240,720
S18__hi__literal__chatgpt,S18,chatgpt,4,0.0,3.9694328762767777,240,720
S12__ar__adapted__gemini_flash,S12,gemini_flash,4,1.0,4.094284079633628,240,720
S12__ja__adapted__claude,S12,claude,4,0.0,4.046100800457918,240,720
S18__hi__literal__claude,S18,claude,4,0.0,4.007710826396598,240,720
S18__hi__adapted__chatgpt,S18,chatgpt,3,1.0,3.018785748422542,240,720
S18__hi__literal__gemini_flash,S18,gemini_flash,4,0.0,4.050559900930691,240,720
S18__bn__literal__chatgpt,S18,chatgpt,3,0.0,2.937841312300693,240,720
S18__hi__adapted__gemini_flash,S18,gemini_flash,4,1.0,3.9656233480822514,240,720
S18__bn__literal__gemini_flash,S18,gemini_flash,3,0.0,3.0908542989847487,240,720
S12__ar__adapted__claude,S12,claude,4,0.0,3.9868548769294496,240,720
S18__bn__adapted__chatgpt,S18,chatgpt,3,0.0,3.03725920586039,240,720
S18__hi__adapted__claude,S18,claude,4,1.0,4.002412762755618,240,720
S18__bn__adapted__claude,S18,claude,3,0.0,2.991826081696489,240,720
S18__bn__adapted__gemini_flash,S18,gemini_flash,4,0.0,3.9891104702571716,240,720
S18__ta__literal__chatgpt,S18,chatgpt,3,0.0,3.0233205042262665,240,720
S18__bn__literal__claude,S18,claude,3,0.0,2.961647639518503,240,720
S18__ta__literal__gemini_flash,S18,gemini_flash,4,0.0,3.9628278228610045,240,720
S18__ta__literal__claude,S18,claude,3,0.0,2.9924544650429166,240,720
S18__ta__adapted__chatgpt,S18,chatgpt,3,0.0,3.015629373542026,240,720
S18__es__literal__chatgpt,S18,chatgpt,4,0.0,4.0927595494582985,240,720
S18__ta__adapted__claude,S18,claude,4,0.0,4.001681513952102,240,720
S18__ta__adapted__gemini_flash,S18,gemini_flash,4,0.0,4.035654520548558,240,720
S18__es__adapted__chatgpt,S18,chatgpt,3,0.0,3.013062757421487,240,720
S18__es__literal__gemini_flash,S18,gemini_flash,4,0.0,3.906508442242128,240,720
S18__es__literal__claude,S18,claude,4,1.0,3.91998668422643,240,720
S18__ja__literal__chatgpt,S18,chatgpt,4,0.0,3.9670328888808557,240,720
S18__es__adapted__gemini_flash,S18,gemini_flash,4,0.0,3.9019443026833156,240,720
S18__es__adapted__claude,S18,claude,4,1.0,3.9775883297063768,240,720
S18__ja__adapted__chatgpt,S18,chatgpt,3,0.0,2.9132552180693874,240,720
S18__ja__literal__gemini_flash,S18,gemini_flash,4,0.0,4.0483155778784505,240,720
S18__ja__adapted__gemini_flash,S18,gemini_flash,4,0.0,3.9273153793022324,240,720
S18__ar__adapted__chatgpt,S18,chatgpt,4,1.0,4.083541728104146,240,720
S18__ja__literal__claude,S18,claude,4,0.0,3.943872128018954,240,720
S18__ar__literal__gemini_flash,S18,gemini_flash,4,0.0,4.013221695111216,240,720
S18__ar__literal__claude,S18,claude,4,0.0,4.082437072872672,240,720
S18__ar__literal__chatgpt,S18,chatgpt,4,0.0,4.054646057695664,240,720
S18__ja__adapted__claude,S18,claude,4,0.0,4.058846913221013,240,720
S18__ar__adapted__gemini_flash,S18,gemini_flash,4,1.0,3.9681407758212774,240,720
S18__ar__adapted__claude,S18,claude,4,1.0,4.053235235218238,240,720
S20__hi__adapted__chatgpt,S20,chatgpt,3,2.0,2.9781971770440587,240,720
S20__hi__literal__gemini_flash,S20,gemini_flash,4,0.0,3.9333628653942765,240,720
S20__bn__adapted__chatgpt,S20,chatgpt,4,1.0,3.9314875438143124,240,720
S20__hi__adapted__gemini_flash,S20,gemini_flash,4,0.0,3.9964240536249034,240,720
S20__bn__literal__chatgpt,S20,chatgpt,4,1.0,4.058621841620202,240,720
S20__bn__literal__claude,S20,claude,4,0.0,3.9608362166238082,240,720
S20__bn__literal__gemini_flash,S20,gemini_flash,4,0.0,4.095400384698972,240,720
S20__hi__adapted__claude,S20,claude,4,1.0,3.9790043260216454,240,720
S20__hi__literal__claude,S20,claude,4,0.0,3.978830492780582,240,720
S20__ta__literal__chatgpt,S20,chatgpt,3,1.0,2.9563760790551377,240,720
S20__bn__adapted__gemini_flash,S20,gemini_flash,4,0.0,4.097687980445637,240,720
S20__bn__adapted__claude,S20,claude,4,0.0,4.053948708542289,240,720
S20__ta__literal__gemini_flash,S20,gemini_flash,4,0.0,3.90001069114896,240,720
S20__ta__adapted__chatgpt,S20,chatgpt,3,2.0,2.988425930412379,240,720
S20__ta__adapted__gemini_flash,S20,gemini_flash,4,0.0,3.942960411344422,240,720
S20__ja__literal__chatgpt,S20,chatgpt,3,1.0,2.9349409079316358,240,720
S20__hi__literal__chatgpt,S20,chatgpt,3,2.0,2.9192927185343187,240,720
S20__es__adapted__chatgpt,S20,chatgpt,3,1.0,2.921683158468489,240,720
S20__ja__literal__gemini_flash,S20,gemini_flash,4,0.0,3.960026118263462,240,720
S20__es__literal__chatgpt,S20,chatgpt,3,1.0,3.0426330877093295,240,720
S20__es__adapted__gemini_flash,S20,gemini_flash,3,0.0,3.000832726895962,240,720
S20__es__literal__gemini_flash,S20,gemini_flash,3,0.0,2.955032957996936,240,720
S20__ta__literal__claude,S20,claude,3,0.0,3.0074659738497416,240,720
S20__es__literal__claude,S20,claude,3,0.0,2.9361300651359175,240,720
S20__ta__adapted__claude,S20,claude,3,0.0,3.043600284920634,240,720
S20__es__adapted__claude,S20,claude,3,0.0,2.9173868774718836,240,720
S20__ja__literal__claude,S20,claude,3,0.0,3.066741284694296,240,720
S20__ja__adapted__chatgpt,S20,chatgpt,3,1.0,3.089487654366793,240,720
S20__ja__adapted__gemini_flash,S20,gemini_flash,3,1.0,3.03062550142485,240,720
S20__ja__adapted__claude,S20,claude,3,1.0,3.0655757301071835,240,720
S20__ar__adapted__chatgpt,S20,chatgpt,4,3.0,3.959378730140457,240,720
S20__ar__literal__gemini_flash,S20,gemini_flash,4,1.0,4.050594447620601,240,720
S20__ar__literal__claude,S20,claude,3,0.0,3.030167663195689,240,720
S20__ar__adapted__claude,S20,claude,3,2.0,3.0271988149438673,240,720
S22__hi__literal__chatgpt,S22,chatgpt,4,1.0,3.976834699592373,240,720
S20__ar__literal__chatgpt,S20,chatgpt,3,2.0,3.03360038313351,240,720
S22__hi__literal__gemini_flash,S22,gemini_flash,4,0.0,4.051632851895665,240,720
S20__ar__adapted__gemini_flash,S20,gemini_flash,3,2.0,3.092238670504352,240,720
S22__hi__adapted__chatgpt,S22,chatgpt,3,0.0,2.9155593659801506,240,720
S22__hi__literal__claude,S22,claude,4,0.0,3.99742599927662,240,720
S22__bn__literal__chatgpt,S22,chatgpt,4,1.0,3.92272594963771,240,720
S22__hi__adapted__gemini_flash,S22,gemini_flash,4,0.0,3.9805333389671045,240,720
S22__bn__literal__gemini_flash,S22,gemini_flash,4,1.0,4.0212334564126815,240,720
S22__bn__adapted__chatgpt,S22,chatgpt,4,0.0,3.9677065566548406,240,720
S22__bn__literal__claude,S22,claude,4,0.0,3.9125730463590296,240,720
S22__hi__adapted__claude,S22,claude,4,0.0,3.948293014774304,240,720
S22__bn__adapted__claude,S22,claude,4,1.0,4.068379725666794,240,720
S22__bn__adapted__gemini_flash,S22,gemini_flash,4,0.0,3.971528994795313,240,720
S22__ta__adapted__chatgpt,S22,chatgpt,4,0.0,3.950975354603918,240,720
S22__ta__literal__gemini_flash,S22,gemini_flash,4,1.0,4.051155244198816,240,720
S22__ta__literal__claude,S22,claude,4,1.0,3.9142561322759555,240,720
S22__es__literal__chatgpt,S22,chatgpt,4,1.0,3.9898724997560904,240,720
S22__ta__adapted__gemini_flash,S22,gemini_flash,4,0.0,3.9673239648501717,240,720
S22__es__literal__claude,S22,claude,4,0.0,3.973926437662604,240,720
S22__ta__adapted__claude,S22,claude,4,0.0,4.063399493235923,240,720
S22__es__literal__gemini_flash,S22,gemini_flash,4,0.0,3.935529497137397,240,720
S22__es__adapted__chatgpt,S22,chatgpt,3,1.0,2.991180819154548,240,720
S22__ta__literal__chatgpt,S22,chatgpt,4,1.0,3.9210576572441154,240,720
S22__es__adapted__claude,S22,claude,3,1.0,3.0172493194187737,240,720
S22__ja__literal__chatgpt,S22,chatgpt,3,1.0,3.085013964652135,240,720
S22__ja__adapted__chatgpt,S22,chatgpt,4,1.0,3.9499484532199904,240,720
S22__ja__literal__gemini_flash,S22,gemini_flash,4,1.0,3.9573729230514556,240,720
S22__ja__literal__claude,S22,claude,4,0.0,3.9858376162867644,240,720
S22__ja__adapted__gemini_flash,S22,gemini_flash,4,1.0,3.9417749555100574,240,720
S22__ja__adapted__claude,S22,claude,4,1.0,3.9464839026250367,240,720
S22__ar__literal__claude,S22,claude,4,0.0,3.9803959952430086,240,720
S22__ar__literal__chatgpt,S22,chatgpt,4,1.0,4.083461445581835,240,720
S22__ar__literal__gemini_flash,S22,gemini_flash,4,0.0,4.002049959045008,240,720
S22__ar__adapted__chatgpt,S22,chatgpt,4,1.0,4.0830432357149125,240,720
S22__ar__adapted__gemini_flash,S22,gemini_flash,4,1.0,3.901640372561131,240,720
S23__hi__literal__chatgpt,S23,chatgpt,4,1.0,4.013397251583092,240,720
S23__hi__literal__gemini_flash,S23,gemini_flash,4,0.0,4.09202617062906,240,720
S23__hi__literal__claude,S23,claude,4,1.0,4.008670131238883,240,720
S23__hi__adapted__chatgpt,S23,chatgpt,4,1.0,3.9887971069900194,240,720
S22__ar__adapted__claude,S22,claude,4,1.0,3.913468272504353,240,720
S23__bn__literal__chatgpt,S23,chatgpt,4,1.0,3.9830478044551954,240,720
S23__hi__adapted__gemini_flash,S23,gemini_flash,4,0.0,3.949445393648798,240,720
S22__es__adapted__gemini_flash,S22,gemini_flash,4,0.0,4.0712642992115615,240,720
S23__hi__adapted__claude,S23,claude,4,1.0,3.9581508358256965,240,720
S23__bn__literal__gemini_flash,S23,gemini_flash,4,0.0,3.9347369424188776,240,720
S23__bn__adapted__chatgpt,S23,chatgpt,4,1.0,3.914138370669427,240,720
S23__ta__literal__chatgpt,S23,chatgpt,4,0.0,3.9365950896890025,240,720
S23__bn__literal__claude,S23,claude,4,1.0,3.9735520772508797,240,720
S23__ta__literal__claude,S23,claude,4,1.0,3.929659585996674,240,720
S23__ta__literal__gemini_flash,S23,gemini_flash,4,0.0,3.959741298709753,240,720
S23__bn__adapted__claude,S23,claude,4,1.0,3.930226945281989,240,720
S23__ta__adapted__chatgpt,S23,chatgpt,4,1.0,3.905565511844767,240,720
S23__ta__adapted__claude,S23,claude,4,1.0,3.954513234907744,240,720
S23__es__literal__chatgpt,S23,chatgpt,4,2.0,4.045338276819652,240,720
S23__ta__adapted__gemini_flash,S23,gemini_flash,4,0.0,3.990319425888162,240,720
S23__es__literal__gemini_flash,S23,gemini_flash,4,0.0,4.04461209199671,240,720
S23__es__literal__claude,S23,claude,4,1.0,4.0006382779963054,240,720
S23__es__adapted__chatgpt,S23,chatgpt,4,0.0,3.9796385365408646,240,720
S23__es__adapted__claude,S23,claude,4,1.0,4.037678512295315,240,720
S23__es__adapted__gemini_flash,S23,gemini_flash,4,1.0,3.9167891189182384,240,720
S23__ja__literal__chatgpt,S23,chatgpt,4,1.0,4.067309932254556,240,720
S23__bn__adapted__gemini_flash,S23,gemini_flash,4,0.0,4.030985499675262,240,720
S23__ja__literal__gemini_flash,S23,gemini_flash,4,0.0,3.985467665947657,240,720
S23__ja__literal__claude,S23,claude,4,1.0,4.056530617399682,240,720
S23__ar__literal__chatgpt,S23,chatgpt,4,1.0,3.989136760927239,240,720
S23__ja__adapted__chatgpt,S23,chatgpt,4,0.0,3.9531360770786987,240,720
S23__ar__adapted__chatgpt,S23,chatgpt,4,1.0,3.9041988345346463,240,720
S23__ja__adapted__claude,S23,claude,4,1.0,4.054671471512323,240,720
S23__ar__literal__claude,S23,claude,4,1.0,3.9068836988323246,240,720
S23__ar__literal__gemini_flash,S23,gemini_flash,4,2.0,4.092446781812495,240,720
S24__hi__literal__chatgpt,S24,chatgpt,4,1.0,3.9558388767556534,240,720
S23__ar__adapted__gemini_flash,S23,gemini_flash,4,1.0,4.073915818843124,240,720
S23__ar__adapted__claude,S23,claude,4,1.0,4.087549093679557,240,720
S24__hi__literal__claude,S24,claude,4,0.0,4.038128479752375,240,720
S23__ja__adapted__gemini_flash,S23,gemini_flash,4,1.0,4.011499234601873,240,720
S24__hi__literal__gemini_flash,S24,gemini_flash,4,0.0,4.086640651220533,240,720
S24__hi__adapted__chatgpt,S24,chatgpt,4,0.0,4.076109494902153,240,720
S24__hi__adapted__claude,S24,claude,4,0.0,3.9490147222852885,240,720
S24__hi__adapted__gemini_flash,S24,gemini_flash,4,1.0,3.9713588365657135,240,720
S24__bn__adapted__chatgpt,S24,chatgpt,4,0.0,3.9010158194119757,240,720
S24__bn__literal__chatgpt,S24,chatgpt,4,0.0,4.0902142854728964,240,720
S24__bn__literal__gemini_flash,S24,gemini_flash,4,1.0,4.0442345093229175,240,720
S24__bn__adapted__claude,S24,claude,4,0.0,4.079038924008554,240,720
S24__bn__adapted__gemini_flash,S24,gemini_flash,4,0.0,4.056937754351122,240,720
S24__ta__literal__chatgpt,S24,chatgpt,4,0.0,3.9234239064377485,240,720
S24__bn__literal__claude,S24,claude,4,0.0,3.9649580769967394,240,720
S24__ta__adapted__chatgpt,S24,chatgpt,4,0.0,4.056230575235215,240,720
S24__ta__literal__gemini_flash,S24,gemini_flash,4,0.0,4.021335070033057,240,720
S24__es__literal__chatgpt,S24,chatgpt,4,0.0,4.025295884115363,240,720
S24__ta__literal__claude,S24,claude,4,0.0,3.9527345361848,240,720
S24__ta__adapted__gemini_flash,S24,gemini_flash,4,0.0,4.054367266054578,240,720
S24__es__adapted__chatgpt,S24,chatgpt,4,0.0,4.048479882431039,240,720
S24__es__literal__gemini_flash,S24,gemini_flash,4,0.0,3.9359230233389226,240,720
S24__ja__literal__chatgpt,S24,chatgpt,4,0.0,3.9215680181874757,240,720
S24__es__adapted__gemini_flash,S24,gemini_flash,4,1.0,4.076881472607283,240,720
S24__es__adapted__claude,S24,claude,4,0.0,4.0362564523324425,240,720
S24__es__literal__claude,S24,claude,4,0.0,3.988248499594011,240,720
S24__ta__adapted__claude,S24,claude,4,0.0,4.004751213994111,240,720
S24__ja__literal__gemini_flash,S24,gemini_flash,4,0.0,3.9850791530750436,240,720
S24__ja__adapted__chatgpt,S24,chatgpt,4,0.0,4.043839404939234,240,720
S24__ja__adapted__gemini_flash,S24,gemini_flash,4,0.0,3.932862809543928,240,720
S24__ja__adapted__claude,S24,claude,4,0.0,3.9123837402707666,240,720
S24__ar__literal__chatgpt,S24,chatgpt,4,0.0,3.91658002740105,240,720
S24__ja__literal__claude,S24,claude,4,0.0,3.9014520054253015,240,720
S24__ar__adapted__chatgpt,S24,chatgpt,4,0.0,4.090936582049186,240,720
S24__ar__literal__claude,S24,claude,4,0.0,3.975533043067641,240,720
S24__ar__literal__gemini_flash,S24,gemini_flash,4,0.0,3.9196243585305215,240,720
S24__ar__adapted__claude,S24,claude,4,0.0,4.0265344464533035,240,720
S26__hi__literal__chatgpt,S26,chatgpt,4,0.0,3.9696834065971305,240,720
S24__ar__adapted__gemini_flash,S24,gemini_flash,4,0.0,4.073328392269839,240,720
S26__hi__literal__claude,S26,claude,4,1.0,3.903311602126857,240,720
S26__hi__adapted__chatgpt,S26,chatgpt,4,0.0,3.9281669563433774,240,720
S26__hi__literal__gemini_flash,S26,gemini_flash,4,0.0,3.9936308584729034,240,720
S26__bn__literal__chatgpt,S26,chatgpt,2,3.0,1.943119066956526,240,720
S26__hi__adapted__gemini_flash,S26,gemini_flash,3,2.0,3.0898361365874476,240,720
S26__hi__adapted__claude,S26,claude,4,0.0,3.9829826537199344,240,720
S26__bn__literal__gemini_flash,S26,gemini_flash,4,5.0,3.972863818141961,240,720
S26__bn__adapted__chatgpt,S26,chatgpt,3,3.0,3.006968779986275,240,720
S26__ta__literal__chatgpt,S26,chatgpt,2,3.0,1.942503874361484,240,720
S26__bn__literal__claude,S26,claude,3,4.0,3.00865702172975,240,720
