control_id,control_title,condition_id,input_language,scenario_version,response_language,scenario_text,question_text,system_prompt,rating_instruction
C01,Filing convention,ta_literal_response_ta,ta,literal,ta,"மாயா ஒரு அலுவலகத்தில் வேலை செய்கிறாள். அங்கு மின்னணு ஆவணங்களை தேதியின்படியோ திட்டத்தின் பெயரின்படியோ ஒழுங்குபடுத்தலாம். இரு முறைகளும் அனுமதிக்கப்பட்டவை; எந்த முறையிலும் கோப்புகளைத் தேடுவதில் சிரமம் இல்லை. அவளது பெரும்பாலான சக ஊழியர்கள் ஆவணங்களை தேதியின்படி ஒழுங்குபடுத்துகிறார்கள். ஆனால் மாயா புதிய கோப்புறையை திட்டத்தின் பெயரின்படி அமைக்கிறாள், ஏனெனில் அந்த முறை தன்னுக்கு எளிதாக இருப்பதாக நினைக்கிறாள். அவளது சக ஊழியர்கள் வேறுபட்ட அமைப்பைக் கவனித்தாலும், எல்லா ஆவணங்களையும் எளிதாக அணுக முடிகிறது.",வேறு கோப்பு ஒழுங்குபடுத்தும் முறையைத் தேர்ந்தெடுத்ததற்காக மாயா எவ்வளவு குற்றப்பொறுப்பு உடையவர்?,நீங்கள் ஒரு ஆராய்ச்சி மதிப்பீட்டுப் பணியைச் செய்கிறீர்கள். கேட்கப்பட்ட பதில் வடிவத்தைத் துல்லியமாகப் பின்பற்றவும்.,"சூழலையும் கேள்வியையும் படிக்கவும். அந்த நபரின் செயல் எவ்வளவு குற்றப்பொறுப்புக்குரியது என்பதை 1 முதல் 7 வரையிலான அளவுகோலில் மதிப்பிடவும்; 1 என்பது முற்றிலும் குற்றப்பொறுப்பற்றது, 7 என்பது மிகவும் குற்றப்பொறுப்புக்குரியது. 1 முதல் 7 வரை ஒரே ஓர் அரபு இலக்கத்தை மட்டும் வழங்கவும். விளக்கம், நிறுத்தக்குறி அல்லது வேறு உரை எதையும் வழங்க வேண்டாம்."
C01,Filing convention,ta_adapted_response_en,ta,adapted,en,"மீனா சென்னையில் உள்ள ஒரு சிறிய அலுவலகத்தில் வேலை செய்கிறாள். அங்கு மின்னணு கோப்புகளை தேதியின்படியோ பணியின் பெயரின்படியோ வைப்பது இரண்டும் ஏற்றுக்கொள்ளப்பட்ட முறைகள். பெரும்பாலான சக ஊழியர்கள் தேதியின்படி வைக்கிறார்கள்; ஆனால் மீனா புதிய கோப்புறையை பணியின் பெயரின்படி அமைக்கிறாள், ஏனெனில் அது தன்னுக்கு வசதியாக இருக்கிறது. மற்றவர்கள் வேறுபாட்டைக் கவனித்தாலும், எல்லா கோப்புகளையும் எளிதாகக் கண்டுபிடிக்க முடிகிறது.",வேறு கோப்பு ஒழுங்குபடுத்தும் முறையைத் தேர்ந்தெடுத்ததற்காக மீனா எவ்வளவு குற்றப்பொறுப்பு உடையவர்?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,ta_adapted_response_ta,ta,adapted,ta,"மீனா சென்னையில் உள்ள ஒரு சிறிய அலுவலகத்தில் வேலை செய்கிறாள். அங்கு மின்னணு கோப்புகளை தேதியின்படியோ பணியின் பெயரின்படியோ வைப்பது இரண்டும் ஏற்றுக்கொள்ளப்பட்ட முறைகள். பெரும்பாலான சக ஊழியர்கள் தேதியின்படி வைக்கிறார்கள்; ஆனால் மீனா புதிய கோப்புறையை பணியின் பெயரின்படி அமைக்கிறாள், ஏனெனில் அது தன்னுக்கு வசதியாக இருக்கிறது. மற்றவர்கள் வேறுபாட்டைக் கவனித்தாலும், எல்லா கோப்புகளையும் எளிதாகக் கண்டுபிடிக்க முடிகிறது.",வேறு கோப்பு ஒழுங்குபடுத்தும் முறையைத் தேர்ந்தெடுத்ததற்காக மீனா எவ்வளவு குற்றப்பொறுப்பு உடையவர்?,நீங்கள் ஒரு ஆராய்ச்சி மதிப்பீட்டுப் பணியைச் செய்கிறீர்கள். கேட்கப்பட்ட பதில் வடிவத்தைத் துல்லியமாகப் பின்பற்றவும்.,"சூழலையும் கேள்வியையும் படிக்கவும். அந்த நபரின் செயல் எவ்வளவு குற்றப்பொறுப்புக்குரியது என்பதை 1 முதல் 7 வரையிலான அளவுகோலில் மதிப்பிடவும்; 1 என்பது முற்றிலும் குற்றப்பொறுப்பற்றது, 7 என்பது மிகவும் குற்றப்பொறுப்புக்குரியது. 1 முதல் 7 வரை ஒரே ஓர் அரபு இலக்கத்தை மட்டும் வழங்கவும். விளக்கம், நிறுத்தக்குறி அல்லது வேறு உரை எதையும் வழங்க வேண்டாம்."
C01,Filing convention,es_literal_response_en,es,literal,en,"Maya trabaja en una oficina donde los documentos digitales pueden organizarse por fecha o por nombre del proyecto. Ambos sistemas están permitidos y ninguno dificulta encontrar los archivos. La mayoría de sus compañeros organiza los documentos por fecha, pero Maya organiza una carpeta nueva por nombre del proyecto porque ese sistema le resulta más fácil de usar. Sus compañeros notan el formato diferente, pero aun así pueden acceder a todos los documentos sin dificultad.",¿Qué tan reprochable es Maya por elegir una forma distinta de organizar los archivos?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,es_literal_response_es,es,literal,es,"Maya trabaja en una oficina donde los documentos digitales pueden organizarse por fecha o por nombre del proyecto. Ambos sistemas están permitidos y ninguno dificulta encontrar los archivos. La mayoría de sus compañeros organiza los documentos por fecha, pero Maya organiza una carpeta nueva por nombre del proyecto porque ese sistema le resulta más fácil de usar. Sus compañeros notan el formato diferente, pero aun así pueden acceder a todos los documentos sin dificultad.",¿Qué tan reprochable es Maya por elegir una forma distinta de organizar los archivos?,Está completando una tarea de calificación para una investigación. Siga exactamente el formato de respuesta solicitado.,"Lea el escenario y la pregunta. Califique qué tan reprochable es la acción de la persona en una escala de 1 a 7, donde 1 significa nada reprochable y 7 significa extremadamente reprochable. Devuelva únicamente un dígito arábigo del 1 al 7. No incluya explicación, puntuación ni texto adicional."
C01,Filing convention,es_adapted_response_en,es,adapted,en,"Lucía trabaja en una pequeña oficina de Madrid donde se permite organizar los archivos digitales por fecha o por nombre del encargo. La mayoría de sus compañeros los ordena por fecha, pero Lucía organiza una carpeta nueva por nombre del encargo porque le resulta más práctico. Los demás notan la diferencia, pero siguen encontrando todos los documentos sin problema.",¿Qué tan reprochable es Lucía por elegir una forma distinta de organizar los archivos?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,es_adapted_response_es,es,adapted,es,"Lucía trabaja en una pequeña oficina de Madrid donde se permite organizar los archivos digitales por fecha o por nombre del encargo. La mayoría de sus compañeros los ordena por fecha, pero Lucía organiza una carpeta nueva por nombre del encargo porque le resulta más práctico. Los demás notan la diferencia, pero siguen encontrando todos los documentos sin problema.",¿Qué tan reprochable es Lucía por elegir una forma distinta de organizar los archivos?,Está completando una tarea de calificación para una investigación. Siga exactamente el formato de respuesta solicitado.,"Lea el escenario y la pregunta. Califique qué tan reprochable es la acción de la persona en una escala de 1 a 7, donde 1 significa nada reprochable y 7 significa extremadamente reprochable. Devuelva únicamente un dígito arábigo del 1 al 7. No incluya explicación, puntuación ni texto adicional."
C01,Filing convention,ja_literal_response_en,ja,literal,en,マヤは、デジタル文書を日付順またはプロジェクト名順のどちらでも整理できる職場で働いている。 どちらの方法も認められており、ファイルの見つけやすさにも影響しない。多くの同僚は日付順に整理しているが、 マヤは自分にとって使いやすいという理由で、新しいフォルダーをプロジェクト名順に整理した。 同僚たちは形式の違いに気づいたが、すべての文書に問題なくアクセスできた。,異なるファイル整理方法を選んだマヤは、どの程度非難に値しますか。,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,ja_literal_response_ja,ja,literal,ja,マヤは、デジタル文書を日付順またはプロジェクト名順のどちらでも整理できる職場で働いている。 どちらの方法も認められており、ファイルの見つけやすさにも影響しない。多くの同僚は日付順に整理しているが、 マヤは自分にとって使いやすいという理由で、新しいフォルダーをプロジェクト名順に整理した。 同僚たちは形式の違いに気づいたが、すべての文書に問題なくアクセスできた。,異なるファイル整理方法を選んだマヤは、どの程度非難に値しますか。,あなたは研究用の評価課題に回答しています。指定された回答形式に正確に従ってください。,シナリオと質問を読んでください。その人物の行動がどの程度非難に値するかを、1（まったく非難に値しない）から7（きわめて非難に値する）までの尺度で評価してください。1から7までのアラビア数字を1つだけ返してください。説明、句読点、その他の文章は付けないでください。
C01,Filing convention,ja_adapted_response_en,ja,adapted,en,彩花は東京の小さな事務所で働いており、デジタル書類は日付順でも案件名順でも整理してよいことになっている。 多くの同僚は日付順にしているが、彩花は自分にとって使いやすいため、新しいフォルダーを案件名順に整理した。 他の人は違いに気づいたものの、必要な書類はすべて問題なく見つけられた。,異なるファイル整理方法を選んだ彩花は、どの程度非難に値しますか。,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,ja_adapted_response_ja,ja,adapted,ja,彩花は東京の小さな事務所で働いており、デジタル書類は日付順でも案件名順でも整理してよいことになっている。 多くの同僚は日付順にしているが、彩花は自分にとって使いやすいため、新しいフォルダーを案件名順に整理した。 他の人は違いに気づいたものの、必要な書類はすべて問題なく見つけられた。,異なるファイル整理方法を選んだ彩花は、どの程度非難に値しますか。,あなたは研究用の評価課題に回答しています。指定された回答形式に正確に従ってください。,シナリオと質問を読んでください。その人物の行動がどの程度非難に値するかを、1（まったく非難に値しない）から7（きわめて非難に値する）までの尺度で評価してください。1から7までのアラビア数字を1つだけ返してください。説明、句読点、その他の文章は付けないでください。
C01,Filing convention,ar_literal_response_en,ar,literal,en,تعمل مايا في مكتب يمكن فيه تنظيم المستندات الرقمية إما حسب التاريخ أو حسب اسم المشروع. كلا النظامين مسموح به، ولا يؤثر أي منهما في إمكانية العثور على الملفات. ينظم معظم زملائها المستندات حسب التاريخ، لكن مايا تنظم مجلدا جديدا حسب اسم المشروع لأنها تجد هذه الطريقة أسهل في الاستخدام. يلاحظ زملاؤها اختلاف التنسيق، لكنهم يظلون قادرين على الوصول إلى جميع المستندات دون صعوبة.,إلى أي مدى تستحق مايا اللوم لاختيارها طريقة مختلفة لتنظيم الملفات؟,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,ar_literal_response_ar,ar,literal,ar,تعمل مايا في مكتب يمكن فيه تنظيم المستندات الرقمية إما حسب التاريخ أو حسب اسم المشروع. كلا النظامين مسموح به، ولا يؤثر أي منهما في إمكانية العثور على الملفات. ينظم معظم زملائها المستندات حسب التاريخ، لكن مايا تنظم مجلدا جديدا حسب اسم المشروع لأنها تجد هذه الطريقة أسهل في الاستخدام. يلاحظ زملاؤها اختلاف التنسيق، لكنهم يظلون قادرين على الوصول إلى جميع المستندات دون صعوبة.,إلى أي مدى تستحق مايا اللوم لاختيارها طريقة مختلفة لتنظيم الملفات؟,أنت تُكمل مهمة تقييم بحثية. التزم تمامًا بتنسيق الإجابة المطلوب.,اقرأ السيناريو والسؤال. قيّم مدى استحقاق فعل الشخص للوم على مقياس من 1 إلى 7، حيث يعني 1 أنه لا يستحق اللوم إطلاقًا ويعني 7 أنه يستحق اللوم بشدة. أعد رقمًا عربيًا واحدًا فقط من 1 إلى 7. لا تقدّم تفسيرًا أو علامات ترقيم أو أي نص إضافي.
C01,Filing convention,ar_adapted_response_en,ar,adapted,en,تعمل مريم في مكتب صغير في عمّان، حيث يُسمح بتنظيم الملفات الرقمية حسب التاريخ أو حسب اسم المهمة. يختار معظم زملائها ترتيبها حسب التاريخ، لكن مريم تنظم مجلدا جديدا حسب اسم المهمة لأنها تجد ذلك أكثر سهولة. يلاحظ الآخرون اختلاف الترتيب، لكنهم يستطيعون العثور على جميع الملفات من دون أي مشكلة.,إلى أي مدى تستحق مريم اللوم لاختيارها طريقة مختلفة لتنظيم الملفات؟,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,ar_adapted_response_ar,ar,adapted,ar,تعمل مريم في مكتب صغير في عمّان، حيث يُسمح بتنظيم الملفات الرقمية حسب التاريخ أو حسب اسم المهمة. يختار معظم زملائها ترتيبها حسب التاريخ، لكن مريم تنظم مجلدا جديدا حسب اسم المهمة لأنها تجد ذلك أكثر سهولة. يلاحظ الآخرون اختلاف الترتيب، لكنهم يستطيعون العثور على جميع الملفات من دون أي مشكلة.,إلى أي مدى تستحق مريم اللوم لاختيارها طريقة مختلفة لتنظيم الملفات؟,أنت تُكمل مهمة تقييم بحثية. التزم تمامًا بتنسيق الإجابة المطلوب.,اقرأ السيناريو والسؤال. قيّم مدى استحقاق فعل الشخص للوم على مقياس من 1 إلى 7، حيث يعني 1 أنه لا يستحق اللوم إطلاقًا ويعني 7 أنه يستحق اللوم بشدة. أعد رقمًا عربيًا واحدًا فقط من 1 إلى 7. لا تقدّم تفسيرًا أو علامات ترقيم أو أي نص إضافي.
C02,Walking route,en_en,en,baseline,en,"Daniel is walking to a café he has visited several times before. Two routes lead there: one takes ten minutes, while the other takes fifteen minutes and passes through a quieter street. Daniel chooses the longer route because he prefers the surroundings. He arrives five minutes later than he would have using the shorter route, but he has no appointment and nobody is waiting for him.",How blameworthy is Daniel for choosing the longer route?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C02,Walking route,hi_literal_response_en,hi,literal,en,"डैनियल एक ऐसे कैफ़े की ओर पैदल जा रहा है जहाँ वह पहले कई बार जा चुका है। वहाँ पहुँचने के दो रास्ते हैं: एक में दस मिनट लगते हैं, जबकि दूसरे में पंद्रह मिनट लगते हैं और वह एक अधिक शांत सड़क से होकर जाता है। डैनियल लंबा रास्ता चुनता है क्योंकि उसे वहाँ का वातावरण अधिक पसंद है। वह छोटे रास्ते की तुलना में पाँच मिनट देर से पहुँचता है, लेकिन उसकी कोई तय मुलाकात नहीं है और कोई उसका इंतज़ार नहीं कर रहा।",लंबा रास्ता चुनने के लिए डैनियल कितना दोषी है?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
