scenario_id,mft_category,mft_foundation,moral_structure_en,text_en,text_hi_b,text_hi_c,text_bn_b,text_bn_c,text_ta_b,text_ta_c,text_es_b,text_es_c,text_ja_b,text_ja_c,text_ar_b,text_ar_c
S36,Fairness Violation,Fairness/Cheating,Extension source S11: Fairness,A manager promotes a less qualified relative instead of the most deserving employee.,एक प्रबंधक सबसे योग्य कर्मचारी के बजाय अपने कम योग्य रिश्तेदार को पदोन्नति देता है।,एक कंपनी का मैनेजर अपने भतीजे को योग्य कर्मचारी की जगह प्रमोशन दे देता है।,একজন ব্যবস্থাপক যোগ্য কর্মীর বদলে কম যোগ্য আত্মীয়কে পদোন্নতি দেন।,একজন ম্যানেজার নিজের আত্মীয়কে বেশি যোগ্য কর্মীর বদলে পদোন্নতি দেন।,ஒரு மேலாளர் தகுதியான ஊழியருக்குப் பதிலாக உறவினருக்கு பதவி உயர்வு அளிக்கிறார்.,ஒரு நிறுவன மேலாளர் தனது உறவினருக்கு அநியாயமாக பதவி உயர்வு அளிக்கிறார்.,Un gerente asciende a un familiar menos cualificado en lugar del empleado más competente.,Un jefe promociona a su sobrino en lugar del trabajador con mejor desempeño.,管理者は最も有能な社員ではなく親族を昇進させます。,上司は実力より身内を優先して昇進させます。,يرقي مدير أحد أقاربه الأقل كفاءة بدلًا من الموظف الأكثر استحقاقًا.,يقوم مدير بترقية ابن أخيه بدلًا من الموظف الأكفأ.
S37,Betrayal of Trust,Loyalty/Betrayal,Extension source S12: Loyalty,A soldier reveals confidential information to protect a close friend in another country.,एक सैनिक दूसरे देश में रहने वाले अपने करीबी मित्र की रक्षा के लिए गोपनीय जानकारी साझा करता है।,एक जवान अपने बचपन के दोस्त को बचाने के लिए संवेदनशील जानकारी लीक कर देता है।,একজন সৈনিক বন্ধুকে রক্ষা করতে গোপন তথ্য ফাঁস করে।,একজন সেনাসদস্য শৈশবের বন্ধুকে বাঁচাতে গোপন তথ্য জানায়।,ஒரு சிப்பாய் நண்பரை காப்பாற்ற ரகசிய தகவலை வெளியிடுகிறார்.,ஒரு ராணுவ வீரர் தனது நண்பருக்காக ரகசிய தகவலை கசக்குகிறார்.,Un soldado revela información confidencial para proteger a un amigo cercano.,Un militar filtra información para ayudar a un viejo amigo.,兵士は親友を守るため機密情報を漏らします。,自衛隊員が友人のために機密を漏らします。,يكشف جندي معلومات سرية لحماية صديق مقرب.,يسرب جندي معلومات سرية لمساعدة صديق قديم.
S38,Defiance of Authority,Authority/Subversion,Extension source S13: Authority,A student repeatedly ignores school rules about laboratory safety despite warnings.,एक छात्र चेतावनी मिलने के बाद भी प्रयोगशाला सुरक्षा नियमों की अनदेखी करता है।,बार-बार समझाने के बाद भी एक छात्र स्कूल लैब के सुरक्षा नियम नहीं मानता।,একজন ছাত্র সতর্ক করার পরও ল্যাবের নিয়ম মানে না।,বারবার সতর্ক করার পরও ছাত্রটি ল্যাবের নিরাপত্তা বিধি মানে না।,எச்சரித்த பிறகும் மாணவர் ஆய்வக விதிகளை பின்பற்றவில்லை.,பலமுறை கூறியும் மாணவர் பள்ளி ஆய்வக விதிகளை மீறுகிறார்.,Un estudiante ignora repetidamente las normas de seguridad del laboratorio.,Un alumno sigue incumpliendo las normas del laboratorio pese a las advertencias.,学生は警告されても実験室の安全規則を守りません。,何度注意されても理科室の規則を無視します。,يتجاهل طالب قواعد سلامة المختبر رغم التحذيرات.,يواصل الطالب مخالفة تعليمات مختبر المدرسة رغم التنبيه.
S39,Purity/Sanctity,Sanctity/Degradation,Extension source S14: Sanctity,Visitors knowingly damage a protected historical monument by carving their names into it.,कुछ आगंतुक जानबूझकर संरक्षित ऐतिहासिक स्मारक पर अपने नाम खोद देते हैं।,पर्यटक एक संरक्षित स्मारक की दीवार पर अपने नाम लिख देते हैं।,কিছু দর্শনার্থী সংরক্ষিত ঐতিহাসিক স্থাপনায় নিজেদের নাম খোদাই করে।,পর্যটকরা সংরক্ষিত স্মৃতিস্তম্ভে নিজেদের নাম লিখে নষ্ট করে।,பார்வையாளர்கள் பாதுகாக்கப்பட்ட வரலாற்றுச் சின்னத்தில் பெயரை பொறிக்கிறார்கள்.,சுற்றுலாப் பயணிகள் பாதுகாக்கப்பட்ட நினைவுச்சின்னத்தில் பெயர் எழுதுகிறார்கள்.,Unos visitantes graban sus nombres en un monumento histórico protegido.,Turistas escriben sus nombres en un monumento histórico protegido.,見学者が保護された史跡に名前を刻みます。,観光客が文化財に落書きをします。,يقوم زوار بنقش أسمائهم على معلم تاريخي محمي.,يكتب سياح أسماءهم على موقع أثري محمي.
S40,Direct Harm,Care/Harm,Extension source S15: Care,A bus driver notices a child left behind at a stop but continues driving to stay on schedule.,एक बस चालक बस स्टॉप पर छूटे हुए बच्चे को देखकर भी समय पर रहने के लिए आगे बढ़ जाता है।,एक स्कूल बस चालक पीछे छूटे बच्चे को देखकर भी समय बचाने के लिए बस नहीं रोकता।,একজন বাসচালক পিছিয়ে পড়া শিশুকে দেখেও বাস চালিয়ে যান।,একজন স্কুল বাসচালক পিছনে থাকা শিশুকে রেখে সময়মতো চলে যান।,ஒரு பேருந்து ஓட்டுநர் பின்தங்கிய குழந்தையைப் பார்த்தும் செல்கிறார்.,ஒரு பள்ளி பேருந்து ஓட்டுநர் குழந்தையை விட்டுவிட்டு நேரத்திற்காக செல்கிறார்.,Un conductor de autobús ve a un niño quedarse atrás pero sigue conduciendo.,Un conductor de autobús escolar deja atrás a un niño para mantener el horario.,バス運転手は取り残された子どもに気づいても運転を続けます。,スクールバスの運転手は子どもを残したまま予定を優先します。,يرى سائق الحافلة طفلًا متروكًا لكنه يواصل القيادة.,يترك سائق حافلة مدرسية طفلًا خلفه حفاظًا على الجدول.
S41,Fairness Violation,Fairness/Cheating,Extension source S16: Fairness,A scholarship committee member gives confidential interview questions to a relative before the selection process.,छात्रवृत्ति समिति का एक सदस्य चयन प्रक्रिया से पहले अपने रिश्तेदार को गोपनीय साक्षात्कार प्रश्न दे देता है।,एक छात्रवृत्ति समिति का सदस्य अपने भतीजे को इंटरव्यू के प्रश्न पहले ही बता देता है।,একজন বৃত্তি কমিটির সদস্য আত্মীয়কে গোপন সাক্ষাৎকারের প্রশ্ন জানিয়ে দেয়।,একজন সদস্য নিজের আত্মীয়কে আগে থেকেই সাক্ষাৎকারের প্রশ্ন বলে দেয়।,ஒரு உதவித்தொகை குழு உறுப்பினர் ரகசிய நேர்முகத் தேர்வு கேள்விகளை உறவினருக்கு வழங்குகிறார்.,ஒரு குழு உறுப்பினர் தனது உறவினருக்கு நேர்முகத் தேர்வு கேள்விகளை முன்கூட்டியே கூறுகிறார்.,Un miembro del comité de becas entrega preguntas confidenciales de la entrevista a un familiar.,Un evaluador filtra las preguntas de la entrevista a su sobrino.,奨学金委員が親族に面接の質問を事前に教えます。,選考委員が身内へ面接内容を漏らします。,يعطي عضو لجنة المنح أسئلة المقابلة السرية لأحد أقاربه.,يسرب عضو لجنة المنح أسئلة المقابلة لابن أخيه.
S42,Betrayal of Trust,Loyalty/Betrayal,Extension source S17: Loyalty,A business partner abandons a long-time teammate to accept a more profitable offer from a competitor.,एक व्यापारिक साझेदार अधिक लाभ के लिए अपने पुराने साथी को छोड़ देता है।,एक उद्यमी ज़्यादा पैसे के लिए अपने वर्षों पुराने बिज़नेस पार्टनर को छोड़ देता है।,একজন ব্যবসায়িক অংশীদার বেশি লাভের জন্য পুরনো সঙ্গীকে ছেড়ে যায়।,একজন উদ্যোক্তা বেশি লাভের জন্য পুরনো অংশীদারকে ছেড়ে দেয়।,ஒரு வணிக கூட்டாளர் அதிக லாபத்திற்காக பழைய கூட்டாளியை விட்டு செல்கிறார்.,ஒரு தொழில்முனைவோர் தனது நீண்டகால கூட்டாளியை அதிக பணத்திற்காக விட்டு செல்கிறார்.,Un socio abandona a su compañero de muchos años por una oferta más rentable.,Un empresario deja a su antiguo socio para ganar más dinero con la competencia.,共同経営者が利益のため長年の仲間を見捨てます。,経営者が高額な契約のため古い相棒を裏切ります。,يترك شريك تجاري زميله القديم مقابل عرض أكثر ربحًا.,يتخلى رجل أعمال عن شريكه القديم مقابل صفقة أفضل.
S43,Defiance of Authority,Authority/Subversion,Extension source S18: Authority,A firefighter refuses to follow the incident commander's evacuation order during an emergency.,एक अग्निशामक आपातकाल के दौरान अधिकारी के निकासी आदेश का पालन करने से इंकार करता है।,एक दमकलकर्मी वरिष्ठ अधिकारी के निकासी आदेश को नज़रअंदाज़ कर देता है।,একজন দমকলকর্মী ঊর্ধ্বতনের সরিয়ে নেওয়ার নির্দেশ মানে না।,একজন অগ্নিনির্বাপক কর্মকর্তা সিনিয়রের নির্দেশ অমান্য করেন।,ஒரு தீயணைப்பு வீரர் மேலதிகாரியின் வெளியேற்ற உத்தரவை பின்பற்றவில்லை.,ஒரு தீயணைப்பு வீரர் மூத்த அதிகாரியின் உத்தரவை மீறுகிறார்.,Un bombero se niega a seguir la orden de evacuación del comandante.,Un bombero ignora la orden de evacuación de su superior.,消防士が指揮官の避難命令に従いません。,消防士が上司の避難命令を無視します。,يرفض رجل إطفاء تنفيذ أمر الإخلاء الصادر عن قائده.,يتجاهل رجل إطفاء تعليمات قائده أثناء الطوارئ.
S44,Purity/Sanctity,Sanctity/Degradation,Extension source S19: Sanctity,Guests deliberately leave a sacred place covered with food waste and litter after a festival.,मेहमान जानबूझकर एक पवित्र स्थान को भोजन के कचरे से गंदा छोड़ देते हैं।,त्योहार के बाद लोग मंदिर परिसर में जानबूझकर कूड़ा छोड़ जाते हैं।,অতিথিরা ইচ্ছাকৃতভাবে পবিত্র স্থান নোংরা করে যায়।,উৎসবের পর মন্দির প্রাঙ্গণে মানুষ ইচ্ছে করে আবর্জনা ফেলে যায়।,விருந்தினர்கள் புனித இடத்தை குப்பையால் அசுத்தப்படுத்துகின்றனர்.,திருவிழாவிற்கு பிறகு கோவில் வளாகத்தில் குப்பை விட்டுச் செல்கிறார்கள்.,Los visitantes dejan basura en un lugar sagrado después de un festival.,"Tras una fiesta local, varias personas dejan basura en una iglesia histórica.",祭りの後、参拝者が神聖な場所にごみを残します。,祭りの後、神社の境内にごみを放置します。,يترك الزوار القمامة في مكان مقدس بعد مهرجان.,يترك أشخاص النفايات في ساحة مسجد بعد مناسبة عامة.
S45,Direct Harm,Care/Harm,Extension source S20: Care,A lifeguard notices a struggling swimmer but delays responding to finish a personal phone call.,एक लाइफगार्ड संघर्ष कर रहे तैराक को देखकर भी अपना फोन कॉल पूरा करने के लिए देर करता है।,स्विमिंग पूल का लाइफगार्ड डूबते हुए व्यक्ति को देखकर भी पहले अपनी फोन कॉल पूरी करता है।,একজন লাইফগার্ড বিপদে থাকা সাঁতারুকে দেখেও ফোন শেষ করে তারপর সাহায্য করে।,সুইমিং পুলের লাইফগার্ড ফোন শেষ না হওয়া পর্যন্ত অপেক্ষা করে।,ஒரு உயிர்காக்கும் காவலர் போராடும் நீந்துபவரைக் கண்டும் தொலைபேசி அழைப்பை முடிக்கிறார்.,நீச்சல் குள காவலர் முதலில் தனது அழைப்பை முடித்து பின்னர் உதவுகிறார்.,Un socorrista retrasa la ayuda para terminar una llamada telefónica.,El socorrista de una piscina termina primero su llamada antes de ayudar.,ライフガードは電話を終えるまで救助を遅らせます。,プールの監視員は通話を優先して救助を遅らせます。,يؤخر المنقذ المساعدة حتى ينهي مكالمته الهاتفية.,يؤخر منقذ المسبح الإنقاذ حتى ينهي اتصاله.
S46,Fairness Violation,Fairness/Cheating,Extension source S21: Fairness,A referee intentionally favors the home team by ignoring several fouls.,एक रेफरी जानबूझकर घरेलू टीम के पक्ष में कई फाउल नज़रअंदाज़ करता है।,एक क्रिकेट अंपायर जानबूझकर मेज़बान टीम के पक्ष में गलत फैसले देता है।,একজন রেফারি ইচ্ছাকৃতভাবে স্বাগতিক দলের পক্ষে সিদ্ধান্ত নেয়।,একজন আম্পায়ার ইচ্ছে করে ঘরের দলের পক্ষে সিদ্ধান্ত দেন।,ஒரு நடுவர் சொந்த அணிக்கு ஆதரவாக தவறுகளை புறக்கணிக்கிறார்.,ஒரு கிரிக்கெட் நடுவர் உள்ளூர் அணிக்கு சாதகமாக முடிவெடுக்கிறார்.,Un árbitro favorece deliberadamente al equipo local.,Un árbitro beneficia al equipo local con decisiones injustas.,審判は意図的にホームチームを有利にします。,審判が地元チームに有利な判定を続けます。,يتعمد الحكم تفضيل الفريق المضيف.,يتخذ الحكم قرارات منحازة لصالح الفريق المضيف.
S47,Betrayal of Trust,Loyalty/Betrayal,Extension source S22: Loyalty,An employee shares confidential company plans with a competing firm for personal gain.,एक कर्मचारी निजी लाभ के लिए कंपनी की गोपनीय योजनाएँ प्रतिद्वंद्वी कंपनी को बता देता है।,एक कर्मचारी अधिक वेतन के लालच में अपनी कंपनी की गोपनीय जानकारी दूसरी कंपनी को बेच देता है।,একজন কর্মী গোপন পরিকল্পনা প্রতিদ্বন্দ্বী প্রতিষ্ঠানে দেয়।,একজন কর্মী বেশি টাকার জন্য কোম্পানির তথ্য ফাঁস করে।,ஒரு ஊழியர் நிறுவன ரகசியத்தை போட்டியாளருக்கு தெரிவிக்கிறார்.,அதிக சம்பளத்திற்காக ஊழியர் நிறுவன ரகசியத்தை விற்கிறார்.,Un empleado comparte planes confidenciales con la competencia.,Un trabajador vende información confidencial por dinero.,社員が機密計画を競合他社へ漏らします。,高い報酬のため会社の秘密を競合へ渡します。,يشارك موظف خططًا سرية مع شركة منافسة.,يبيع موظف أسرار شركته مقابل مكاسب شخصية.
