scenario_id,language,model,edit_classification,absolute_adaptation_effect,classification_n
S05,Japanese,Gemini 3.5 Flash,structural,0.0,792
S05,Arabic,GPT-4o,structural,0.0,792
S05,Arabic,Claude Sonnet 4.6,structural,0.0,792
S05,Arabic,Gemini 3.5 Flash,structural,1.0,792
S06,Hindi,GPT-4o,mixed,0.0,96
S06,Hindi,Claude Sonnet 4.6,mixed,0.0,96
S06,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S06,Bengali,GPT-4o,structural,0.0,792
S06,Bengali,Claude Sonnet 4.6,structural,0.0,792
S06,Bengali,Gemini 3.5 Flash,structural,0.0,792
S06,Tamil,GPT-4o,mixed,0.0,96
S06,Tamil,Claude Sonnet 4.6,mixed,0.0,96
S06,Tamil,Gemini 3.5 Flash,mixed,0.0,96
S06,Spanish,GPT-4o,structural,0.0,792
S06,Spanish,Claude Sonnet 4.6,structural,0.0,792
S06,Spanish,Gemini 3.5 Flash,structural,0.0,792
S06,Japanese,GPT-4o,structural,0.0,792
S06,Japanese,Claude Sonnet 4.6,structural,0.0,792
S06,Japanese,Gemini 3.5 Flash,structural,1.0,792
S06,Arabic,GPT-4o,structural,0.0,792
S06,Arabic,Claude Sonnet 4.6,structural,0.0,792
S06,Arabic,Gemini 3.5 Flash,structural,0.0,792
S07,Hindi,GPT-4o,mixed,0.0,96
S07,Hindi,Claude Sonnet 4.6,mixed,0.0,96
S07,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S07,Bengali,GPT-4o,structural,0.0,792
S07,Bengali,Claude Sonnet 4.6,structural,0.0,792
S07,Bengali,Gemini 3.5 Flash,structural,0.0,792
S07,Tamil,GPT-4o,structural,0.0,792
S07,Tamil,Claude Sonnet 4.6,structural,1.0,792
S07,Tamil,Gemini 3.5 Flash,structural,0.0,792
S07,Spanish,GPT-4o,structural,0.0,792
S07,Spanish,Claude Sonnet 4.6,structural,0.0,792
S07,Spanish,Gemini 3.5 Flash,structural,0.0,792
S07,Japanese,GPT-4o,structural,0.0,792
S07,Japanese,Claude Sonnet 4.6,structural,0.0,792
S07,Japanese,Gemini 3.5 Flash,structural,0.0,792
S07,Arabic,GPT-4o,structural,0.0,792
S07,Arabic,Claude Sonnet 4.6,structural,0.0,792
S07,Arabic,Gemini 3.5 Flash,structural,0.0,792
S08,Hindi,GPT-4o,mixed,0.0,96
S08,Hindi,Claude Sonnet 4.6,mixed,1.0,96
S08,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S08,Bengali,GPT-4o,structural,0.0,792
S08,Bengali,Claude Sonnet 4.6,structural,0.0,792
S08,Bengali,Gemini 3.5 Flash,structural,0.0,792
S08,Tamil,GPT-4o,structural,0.0,792
S08,Tamil,Claude Sonnet 4.6,structural,0.0,792
S08,Tamil,Gemini 3.5 Flash,structural,0.0,792
S08,Spanish,GPT-4o,mixed,0.0,96
S08,Spanish,Claude Sonnet 4.6,mixed,0.0,96
S08,Spanish,Gemini 3.5 Flash,mixed,0.0,96
S08,Japanese,GPT-4o,structural,0.0,792
S08,Japanese,Claude Sonnet 4.6,structural,0.0,792
S08,Japanese,Gemini 3.5 Flash,structural,0.0,792
S08,Arabic,GPT-4o,structural,0.0,792
S08,Arabic,Claude Sonnet 4.6,structural,1.0,792
S08,Arabic,Gemini 3.5 Flash,structural,0.0,792
S09,Hindi,GPT-4o,mixed,0.0,96
S09,Hindi,Claude Sonnet 4.6,mixed,0.0,96
S09,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S09,Bengali,GPT-4o,structural,0.0,792
S09,Bengali,Claude Sonnet 4.6,structural,0.0,792
S09,Bengali,Gemini 3.5 Flash,structural,0.0,792
S09,Tamil,GPT-4o,structural,0.0,792
S09,Tamil,Claude Sonnet 4.6,structural,0.0,792
S09,Tamil,Gemini 3.5 Flash,structural,0.0,792
S09,Spanish,GPT-4o,structural,0.0,792
S09,Spanish,Claude Sonnet 4.6,structural,0.0,792
S09,Spanish,Gemini 3.5 Flash,structural,1.0,792
S09,Japanese,GPT-4o,structural,0.0,792
S09,Japanese,Claude Sonnet 4.6,structural,0.0,792
S09,Japanese,Gemini 3.5 Flash,structural,0.0,792
S09,Arabic,GPT-4o,structural,0.0,792
S09,Arabic,Claude Sonnet 4.6,structural,0.0,792
S09,Arabic,Gemini 3.5 Flash,structural,0.0,792
S10,Hindi,GPT-4o,mixed,1.0,96
S10,Hindi,Claude Sonnet 4.6,mixed,0.0,96
S10,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S10,Bengali,GPT-4o,structural,0.0,792
S10,Bengali,Claude Sonnet 4.6,structural,1.0,792
S10,Bengali,Gemini 3.5 Flash,structural,0.0,792
S10,Tamil,GPT-4o,structural,0.0,792
S10,Tamil,Claude Sonnet 4.6,structural,1.0,792
S10,Tamil,Gemini 3.5 Flash,structural,0.0,792
S10,Spanish,GPT-4o,structural,3.0,792
S10,Spanish,Claude Sonnet 4.6,structural,1.0,792
S10,Spanish,Gemini 3.5 Flash,structural,1.0,792
S10,Japanese,GPT-4o,structural,2.0,792
S10,Japanese,Claude Sonnet 4.6,structural,0.0,792
S10,Japanese,Gemini 3.5 Flash,structural,2.0,792
S10,Arabic,GPT-4o,structural,1.0,792
S10,Arabic,Claude Sonnet 4.6,structural,1.0,792
S10,Arabic,Gemini 3.5 Flash,structural,1.0,792
S11,Hindi,GPT-4o,structural,1.0,792
S11,Hindi,Claude Sonnet 4.6,structural,0.0,792
S11,Hindi,Gemini 3.5 Flash,structural,0.0,792
S11,Bengali,GPT-4o,structural,1.0,792
S11,Bengali,Claude Sonnet 4.6,structural,0.0,792
S11,Bengali,Gemini 3.5 Flash,structural,0.0,792
S11,Tamil,GPT-4o,structural,0.0,792
S11,Tamil,Claude Sonnet 4.6,structural,0.0,792
S11,Tamil,Gemini 3.5 Flash,structural,0.0,792
S11,Spanish,GPT-4o,structural,1.0,792
S11,Spanish,Claude Sonnet 4.6,structural,0.0,792
S11,Spanish,Gemini 3.5 Flash,structural,1.0,792
S11,Japanese,GPT-4o,structural,2.0,792
S11,Japanese,Claude Sonnet 4.6,structural,0.0,792
S11,Japanese,Gemini 3.5 Flash,structural,1.0,792
S11,Arabic,GPT-4o,structural,0.0,792
S11,Arabic,Claude Sonnet 4.6,structural,0.0,792
S11,Arabic,Gemini 3.5 Flash,structural,1.0,792
S12,Hindi,GPT-4o,structural,0.0,792
S12,Hindi,Claude Sonnet 4.6,structural,0.0,792
S12,Hindi,Gemini 3.5 Flash,structural,1.0,792
S12,Bengali,GPT-4o,structural,0.0,792
S12,Bengali,Claude Sonnet 4.6,structural,0.0,792
S12,Bengali,Gemini 3.5 Flash,structural,0.0,792
S12,Tamil,GPT-4o,mixed,0.0,96
S12,Tamil,Claude Sonnet 4.6,mixed,0.0,96
S12,Tamil,Gemini 3.5 Flash,mixed,0.0,96
S12,Spanish,GPT-4o,structural,0.0,792
S12,Spanish,Claude Sonnet 4.6,structural,0.0,792
S12,Spanish,Gemini 3.5 Flash,structural,1.0,792
S12,Japanese,GPT-4o,structural,0.0,792
S12,Japanese,Claude Sonnet 4.6,structural,0.0,792
S12,Japanese,Gemini 3.5 Flash,structural,0.0,792
S12,Arabic,GPT-4o,structural,1.0,792
S12,Arabic,Claude Sonnet 4.6,structural,0.0,792
S12,Arabic,Gemini 3.5 Flash,structural,1.0,792
S13,Hindi,GPT-4o,structural,1.0,792
S13,Hindi,Claude Sonnet 4.6,structural,0.0,792
S13,Hindi,Gemini 3.5 Flash,structural,0.0,792
S13,Bengali,GPT-4o,structural,1.0,792
S13,Bengali,Claude Sonnet 4.6,structural,0.0,792
S13,Bengali,Gemini 3.5 Flash,structural,1.0,792
S13,Tamil,GPT-4o,structural,0.0,792
S13,Tamil,Claude Sonnet 4.6,structural,0.0,792
S13,Tamil,Gemini 3.5 Flash,structural,1.0,792
S13,Spanish,GPT-4o,structural,0.0,792
S13,Spanish,Claude Sonnet 4.6,structural,1.0,792
S13,Spanish,Gemini 3.5 Flash,structural,0.0,792
S13,Japanese,GPT-4o,structural,0.0,792
S13,Japanese,Claude Sonnet 4.6,structural,0.0,792
S13,Japanese,Gemini 3.5 Flash,structural,0.0,792
S13,Arabic,GPT-4o,structural,1.0,792
S13,Arabic,Claude Sonnet 4.6,structural,1.0,792
S13,Arabic,Gemini 3.5 Flash,structural,1.0,792
S14,Hindi,GPT-4o,mixed,0.0,96
S14,Hindi,Claude Sonnet 4.6,mixed,0.0,96
S14,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S14,Bengali,GPT-4o,structural,0.0,792
S14,Bengali,Claude Sonnet 4.6,structural,1.0,792
S14,Bengali,Gemini 3.5 Flash,structural,0.0,792
S14,Tamil,GPT-4o,structural,0.0,792
S14,Tamil,Claude Sonnet 4.6,structural,0.0,792
S14,Tamil,Gemini 3.5 Flash,structural,0.0,792
S14,Spanish,GPT-4o,structural,1.0,792
S14,Spanish,Claude Sonnet 4.6,structural,1.0,792
S14,Spanish,Gemini 3.5 Flash,structural,0.0,792
S14,Japanese,GPT-4o,structural,1.0,792
S14,Japanese,Claude Sonnet 4.6,structural,0.0,792
S14,Japanese,Gemini 3.5 Flash,structural,0.0,792
S14,Arabic,GPT-4o,structural,1.0,792
S14,Arabic,Claude Sonnet 4.6,structural,0.0,792
S14,Arabic,Gemini 3.5 Flash,structural,0.0,792
S15,Hindi,GPT-4o,structural,1.0,792
S15,Hindi,Claude Sonnet 4.6,structural,0.0,792
S15,Hindi,Gemini 3.5 Flash,structural,0.0,792
S15,Bengali,GPT-4o,structural,0.0,792
S15,Bengali,Claude Sonnet 4.6,structural,0.0,792
S15,Bengali,Gemini 3.5 Flash,structural,0.0,792
S15,Tamil,GPT-4o,structural,0.0,792
S15,Tamil,Claude Sonnet 4.6,structural,0.0,792
S15,Tamil,Gemini 3.5 Flash,structural,0.0,792
S15,Spanish,GPT-4o,structural,1.0,792
S15,Spanish,Claude Sonnet 4.6,structural,1.0,792
S15,Spanish,Gemini 3.5 Flash,structural,0.0,792
S15,Japanese,GPT-4o,structural,0.0,792
S15,Japanese,Claude Sonnet 4.6,structural,0.0,792
S15,Japanese,Gemini 3.5 Flash,structural,0.0,792
S15,Arabic,GPT-4o,structural,1.0,792
S15,Arabic,Claude Sonnet 4.6,structural,0.0,792
S15,Arabic,Gemini 3.5 Flash,structural,0.0,792
S16,Hindi,GPT-4o,mixed,0.0,96
S16,Hindi,Claude Sonnet 4.6,mixed,1.0,96
S16,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S16,Bengali,GPT-4o,structural,1.0,792
S16,Bengali,Claude Sonnet 4.6,structural,0.0,792
S16,Bengali,Gemini 3.5 Flash,structural,1.0,792
S16,Tamil,GPT-4o,structural,0.0,792
S16,Tamil,Claude Sonnet 4.6,structural,0.0,792
S16,Tamil,Gemini 3.5 Flash,structural,1.0,792
S16,Spanish,GPT-4o,structural,0.0,792
S16,Spanish,Claude Sonnet 4.6,structural,1.0,792
S16,Spanish,Gemini 3.5 Flash,structural,2.0,792
S16,Japanese,GPT-4o,structural,0.0,792
S16,Japanese,Claude Sonnet 4.6,structural,0.0,792
S16,Japanese,Gemini 3.5 Flash,structural,1.0,792
S16,Arabic,GPT-4o,structural,2.0,792
S16,Arabic,Claude Sonnet 4.6,structural,2.0,792
S16,Arabic,Gemini 3.5 Flash,structural,2.0,792
S17,Hindi,GPT-4o,structural,0.0,792
S17,Hindi,Claude Sonnet 4.6,structural,1.0,792
S17,Hindi,Gemini 3.5 Flash,structural,0.0,792
S17,Bengali,GPT-4o,structural,1.0,792
S17,Bengali,Claude Sonnet 4.6,structural,0.0,792
S17,Bengali,Gemini 3.5 Flash,structural,1.0,792
S17,Tamil,GPT-4o,structural,0.0,792
S17,Tamil,Claude Sonnet 4.6,structural,0.0,792
S17,Tamil,Gemini 3.5 Flash,structural,1.0,792
S17,Spanish,GPT-4o,structural,1.0,792
S17,Spanish,Claude Sonnet 4.6,structural,1.0,792
S17,Spanish,Gemini 3.5 Flash,structural,1.0,792
S17,Japanese,GPT-4o,structural,1.0,792
S17,Japanese,Claude Sonnet 4.6,structural,0.0,792
S17,Japanese,Gemini 3.5 Flash,structural,0.0,792
S17,Arabic,GPT-4o,structural,1.0,792
S17,Arabic,Claude Sonnet 4.6,structural,0.0,792
S17,Arabic,Gemini 3.5 Flash,structural,1.0,792
S18,Hindi,GPT-4o,structural,1.0,792
S18,Hindi,Claude Sonnet 4.6,structural,1.0,792
S18,Hindi,Gemini 3.5 Flash,structural,1.0,792
S18,Bengali,GPT-4o,structural,0.0,792
S18,Bengali,Claude Sonnet 4.6,structural,0.0,792
S18,Bengali,Gemini 3.5 Flash,structural,0.0,792
S18,Tamil,GPT-4o,structural,0.0,792
S18,Tamil,Claude Sonnet 4.6,structural,0.0,792
S18,Tamil,Gemini 3.5 Flash,structural,0.0,792
S18,Spanish,GPT-4o,structural,0.0,792
S18,Spanish,Claude Sonnet 4.6,structural,0.0,792
S18,Spanish,Gemini 3.5 Flash,structural,0.0,792
S18,Japanese,GPT-4o,structural,0.0,792
S18,Japanese,Claude Sonnet 4.6,structural,0.0,792
S18,Japanese,Gemini 3.5 Flash,structural,0.0,792
S18,Arabic,GPT-4o,structural,1.0,792
S18,Arabic,Claude Sonnet 4.6,structural,1.0,792
S18,Arabic,Gemini 3.5 Flash,structural,1.0,792
S19,Hindi,GPT-4o,structural,0.0,792
S19,Hindi,Claude Sonnet 4.6,structural,0.0,792
S19,Hindi,Gemini 3.5 Flash,structural,1.0,792
S19,Bengali,GPT-4o,structural,0.0,792
S19,Bengali,Claude Sonnet 4.6,structural,1.0,792
S19,Bengali,Gemini 3.5 Flash,structural,1.0,792
S19,Tamil,GPT-4o,structural,1.0,792
S19,Tamil,Claude Sonnet 4.6,structural,0.0,792
S19,Tamil,Gemini 3.5 Flash,structural,0.0,792
S19,Spanish,GPT-4o,structural,1.0,792
S19,Spanish,Claude Sonnet 4.6,structural,0.0,792
S19,Spanish,Gemini 3.5 Flash,structural,1.0,792
S19,Japanese,GPT-4o,structural,0.0,792
S19,Japanese,Claude Sonnet 4.6,structural,0.0,792
S19,Japanese,Gemini 3.5 Flash,structural,0.0,792
S19,Arabic,GPT-4o,structural,2.0,792
S19,Arabic,Claude Sonnet 4.6,structural,1.0,792
S19,Arabic,Gemini 3.5 Flash,structural,1.0,792
S20,Hindi,GPT-4o,mixed,0.0,96
S20,Hindi,Claude Sonnet 4.6,mixed,1.0,96
S20,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S20,Bengali,GPT-4o,structural,0.0,792
S20,Bengali,Claude Sonnet 4.6,structural,0.0,792
S20,Bengali,Gemini 3.5 Flash,structural,0.0,792
S20,Tamil,GPT-4o,structural,1.0,792
S20,Tamil,Claude Sonnet 4.6,structural,0.0,792
S20,Tamil,Gemini 3.5 Flash,structural,0.0,792
S20,Spanish,GPT-4o,structural,0.0,792
S20,Spanish,Claude Sonnet 4.6,structural,0.0,792
S20,Spanish,Gemini 3.5 Flash,structural,0.0,792
S20,Japanese,GPT-4o,structural,0.0,792
S20,Japanese,Claude Sonnet 4.6,structural,1.0,792
S20,Japanese,Gemini 3.5 Flash,structural,1.0,792
S20,Arabic,GPT-4o,structural,1.0,792
S20,Arabic,Claude Sonnet 4.6,structural,2.0,792
S20,Arabic,Gemini 3.5 Flash,structural,1.0,792
S21,Hindi,GPT-4o,mixed,0.0,96
S21,Hindi,Claude Sonnet 4.6,mixed,0.0,96
S21,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S21,Bengali,GPT-4o,structural,1.0,792
S21,Bengali,Claude Sonnet 4.6,structural,1.0,792
S21,Bengali,Gemini 3.5 Flash,structural,1.0,792
S21,Tamil,GPT-4o,structural,0.0,792
S21,Tamil,Claude Sonnet 4.6,structural,0.0,792
S21,Tamil,Gemini 3.5 Flash,structural,0.0,792
S21,Spanish,GPT-4o,structural,1.0,792
S21,Spanish,Claude Sonnet 4.6,structural,1.0,792
S21,Spanish,Gemini 3.5 Flash,structural,2.0,792
S21,Japanese,GPT-4o,structural,1.0,792
S21,Japanese,Claude Sonnet 4.6,structural,0.0,792
S21,Japanese,Gemini 3.5 Flash,structural,0.0,792
S21,Arabic,GPT-4o,structural,0.0,792
S21,Arabic,Claude Sonnet 4.6,structural,1.0,792
S21,Arabic,Gemini 3.5 Flash,structural,1.0,792
S22,Hindi,GPT-4o,structural,1.0,792
S22,Hindi,Claude Sonnet 4.6,structural,0.0,792
S22,Hindi,Gemini 3.5 Flash,structural,0.0,792
S22,Bengali,GPT-4o,structural,1.0,792
S22,Bengali,Claude Sonnet 4.6,structural,1.0,792
S22,Bengali,Gemini 3.5 Flash,structural,1.0,792
S22,Tamil,GPT-4o,uncertain,1.0,9
S22,Tamil,Claude Sonnet 4.6,uncertain,1.0,9
S22,Tamil,Gemini 3.5 Flash,uncertain,1.0,9
S22,Spanish,GPT-4o,structural,0.0,792
S22,Spanish,Claude Sonnet 4.6,structural,1.0,792
S22,Spanish,Gemini 3.5 Flash,structural,0.0,792
S22,Japanese,GPT-4o,structural,0.0,792
S22,Japanese,Claude Sonnet 4.6,structural,1.0,792
S22,Japanese,Gemini 3.5 Flash,structural,0.0,792
S22,Arabic,GPT-4o,structural,2.0,792
S22,Arabic,Claude Sonnet 4.6,structural,1.0,792
S22,Arabic,Gemini 3.5 Flash,structural,1.0,792
S23,Hindi,GPT-4o,structural,0.0,792
S23,Hindi,Claude Sonnet 4.6,structural,0.0,792
S23,Hindi,Gemini 3.5 Flash,structural,0.0,792
S23,Bengali,GPT-4o,structural,0.0,792
S23,Bengali,Claude Sonnet 4.6,structural,0.0,792
S23,Bengali,Gemini 3.5 Flash,structural,0.0,792
S23,Tamil,GPT-4o,structural,1.0,792
S23,Tamil,Claude Sonnet 4.6,structural,0.0,792
S23,Tamil,Gemini 3.5 Flash,structural,0.0,792
S23,Spanish,GPT-4o,structural,2.0,792
S23,Spanish,Claude Sonnet 4.6,structural,2.0,792
S23,Spanish,Gemini 3.5 Flash,structural,1.0,792
S23,Japanese,GPT-4o,structural,1.0,792
S23,Japanese,Claude Sonnet 4.6,structural,0.0,792
S23,Japanese,Gemini 3.5 Flash,structural,1.0,792
S23,Arabic,GPT-4o,structural,2.0,792
S23,Arabic,Claude Sonnet 4.6,structural,2.0,792
S23,Arabic,Gemini 3.5 Flash,structural,3.0,792
S24,Hindi,GPT-4o,mixed,1.0,96
S24,Hindi,Claude Sonnet 4.6,mixed,0.0,96
S24,Hindi,Gemini 3.5 Flash,mixed,1.0,96
S24,Bengali,GPT-4o,structural,0.0,792
S24,Bengali,Claude Sonnet 4.6,structural,0.0,792
S24,Bengali,Gemini 3.5 Flash,structural,1.0,792
S24,Tamil,GPT-4o,structural,0.0,792
S24,Tamil,Claude Sonnet 4.6,structural,0.0,792
S24,Tamil,Gemini 3.5 Flash,structural,0.0,792
S24,Spanish,GPT-4o,structural,0.0,792
S24,Spanish,Claude Sonnet 4.6,structural,0.0,792
S24,Spanish,Gemini 3.5 Flash,structural,1.0,792
S24,Japanese,GPT-4o,structural,0.0,792
S24,Japanese,Claude Sonnet 4.6,structural,0.0,792
S24,Japanese,Gemini 3.5 Flash,structural,0.0,792
S24,Arabic,GPT-4o,structural,0.0,792
S24,Arabic,Claude Sonnet 4.6,structural,0.0,792
S24,Arabic,Gemini 3.5 Flash,structural,0.0,792
S25,Hindi,GPT-4o,structural,1.0,792
S25,Hindi,Claude Sonnet 4.6,structural,0.0,792
S25,Hindi,Gemini 3.5 Flash,structural,2.0,792
S25,Bengali,GPT-4o,structural,1.0,792
S25,Bengali,Claude Sonnet 4.6,structural,0.0,792
S25,Bengali,Gemini 3.5 Flash,structural,1.0,792
S25,Tamil,GPT-4o,uncertain,0.0,9
S25,Tamil,Claude Sonnet 4.6,uncertain,0.0,9
S25,Tamil,Gemini 3.5 Flash,uncertain,0.0,9
S25,Spanish,GPT-4o,structural,0.0,792
S25,Spanish,Claude Sonnet 4.6,structural,1.0,792
S25,Spanish,Gemini 3.5 Flash,structural,1.0,792
S25,Japanese,GPT-4o,structural,0.0,792
S25,Japanese,Claude Sonnet 4.6,structural,0.0,792
S25,Japanese,Gemini 3.5 Flash,structural,1.0,792
S25,Arabic,GPT-4o,structural,0.0,792
S25,Arabic,Claude Sonnet 4.6,structural,1.0,792
S25,Arabic,Gemini 3.5 Flash,structural,1.0,792
S26,Hindi,GPT-4o,structural,0.0,792
S26,Hindi,Claude Sonnet 4.6,structural,1.0,792
S26,Hindi,Gemini 3.5 Flash,structural,2.0,792
S26,Bengali,GPT-4o,structural,0.0,792
S26,Bengali,Claude Sonnet 4.6,structural,0.0,792
S26,Bengali,Gemini 3.5 Flash,structural,0.0,792
S26,Tamil,GPT-4o,structural,0.0,792
S26,Tamil,Claude Sonnet 4.6,structural,0.0,792
S26,Tamil,Gemini 3.5 Flash,structural,0.0,792
S26,Spanish,GPT-4o,structural,0.0,792
S26,Spanish,Claude Sonnet 4.6,structural,0.0,792
S26,Spanish,Gemini 3.5 Flash,structural,0.0,792
S26,Japanese,GPT-4o,structural,0.0,792
S26,Japanese,Claude Sonnet 4.6,structural,0.0,792
S26,Japanese,Gemini 3.5 Flash,structural,0.0,792
S26,Arabic,GPT-4o,structural,0.0,792
S26,Arabic,Claude Sonnet 4.6,structural,0.0,792
S26,Arabic,Gemini 3.5 Flash,structural,0.0,792
S27,Hindi,GPT-4o,structural,1.0,792
S27,Hindi,Claude Sonnet 4.6,structural,0.0,792
S27,Hindi,Gemini 3.5 Flash,structural,0.0,792
S27,Bengali,GPT-4o,structural,1.0,792
S27,Bengali,Claude Sonnet 4.6,structural,0.0,792
S27,Bengali,Gemini 3.5 Flash,structural,0.0,792
S27,Tamil,GPT-4o,structural,2.0,792
S27,Tamil,Claude Sonnet 4.6,structural,1.0,792
S27,Tamil,Gemini 3.5 Flash,structural,1.0,792
S27,Spanish,GPT-4o,structural,3.0,792
S27,Spanish,Claude Sonnet 4.6,structural,1.0,792
S27,Spanish,Gemini 3.5 Flash,structural,1.0,792
S27,Japanese,GPT-4o,structural,1.0,792
S27,Japanese,Claude Sonnet 4.6,structural,1.0,792
S27,Japanese,Gemini 3.5 Flash,structural,2.0,792
S27,Arabic,GPT-4o,structural,2.0,792
S27,Arabic,Claude Sonnet 4.6,structural,1.0,792
S27,Arabic,Gemini 3.5 Flash,structural,0.0,792
S28,Hindi,GPT-4o,structural,2.0,792
S28,Hindi,Claude Sonnet 4.6,structural,0.0,792
S28,Hindi,Gemini 3.5 Flash,structural,0.0,792
S28,Bengali,GPT-4o,structural,2.0,792
S28,Bengali,Claude Sonnet 4.6,structural,1.0,792
S28,Bengali,Gemini 3.5 Flash,structural,1.0,792
S28,Tamil,GPT-4o,structural,4.0,792
S28,Tamil,Claude Sonnet 4.6,structural,1.0,792
