manuscript_section,result_name,analysis_version,comparison,mean_difference,confidence_interval,effect_size,p_value_primary,q_value_primary,p_value_robustness,q_value_robustness,n,exact_wording,required_qualification,main_text_or_supplement
Results,Pooled Authority/Subversion input-language effect,v3_human_scenario_majority,language; language=all; foundation=Authority/Subversion,0.4111111111111111,"[0.19610408668071078, 0.6261181355415114]",0.4004778701136469,0.0001306197422081823,0.00457169097728638,0.0002650051189472258,0.009275179163152902,90,Pooled Authority/Subversion input-language effect: stable.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Bengali Authority/Subversion input-language effect,v1_original_intended,language; language=bn; foundation=Authority/Subversion,0.4,"[0.12966377428239395, 0.6703362257176061]",0.5525062514530825,0.0096435546875,0.06328582763671875,0.005150605210149317,0.03862953907611988,30,Bengali Authority/Subversion input-language effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Bengali Authority/Subversion input-language effect,v2_validated_subset,language; language=bn; foundation=Authority/Subversion,0.5333333333333333,"[0.07158508516804996, 0.9950815814986167]",0.6396345988854294,0.0546875,0.247802734375,0.026607580197571368,0.16270359026123005,15,Bengali Authority/Subversion input-language effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Bengali Authority/Subversion input-language effect,v3_human_scenario_majority,language; language=bn; foundation=Authority/Subversion,0.5333333333333333,"[0.07158508516804996, 0.9950815814986167]",0.6396345988854294,0.0546875,0.283203125,0.026607580197571368,0.15521088448583298,15,Bengali Authority/Subversion input-language effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Arabic Authority/Subversion input-language effect,v1_original_intended,language; language=ar; foundation=Authority/Subversion,0.43333333333333335,"[0.14437136533385397, 0.7222953013328127]",0.5599675523000586,0.0078125,0.06328582763671875,0.004648510782116144,0.03862953907611988,30,Arabic Authority/Subversion input-language effect: lost after validation.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Arabic Authority/Subversion input-language effect,v2_validated_subset,language; language=ar; foundation=Authority/Subversion,0.4666666666666667,"[-0.040306720710942656, 0.973640054044276]",0.5097533568780933,0.125,0.3977272727272727,0.06841716354055727,0.2355760251395378,15,Arabic Authority/Subversion input-language effect: lost after validation.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Arabic Authority/Subversion input-language effect,v3_human_scenario_majority,language; language=ar; foundation=Authority/Subversion,0.4666666666666667,"[-0.040306720710942656, 0.973640054044276]",0.5097533568780933,0.125,0.41015625,0.06841716354055727,0.24789383301817425,15,Arabic Authority/Subversion input-language effect: lost after validation.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Spanish Authority/Subversion framing effect,v1_original_intended,framing; language=es; foundation=Authority/Subversion,-0.4666666666666667,"[-0.7726010212315426, -0.16073231210179068]",-0.5695868886695797,0.0072174072265625,0.06328582763671875,0.004069703036843952,0.03862953907611988,30,Spanish Authority/Subversion framing effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Spanish Authority/Subversion framing effect,v2_validated_subset,framing; language=es; foundation=Authority/Subversion,-0.6,"[-1.1458130463930414, -0.05418695360695858]",-0.6087595874350707,0.056640625,0.247802734375,0.03346742202751396,0.1655913979094721,15,Spanish Authority/Subversion framing effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Spanish Authority/Subversion framing effect,v3_human_scenario_majority,framing; language=es; foundation=Authority/Subversion,-0.6,"[-1.1458130463930414, -0.05418695360695858]",-0.6087595874350707,0.056640625,0.283203125,0.03346742202751396,0.15973087785858936,15,Spanish Authority/Subversion framing effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Pooled Authority/Subversion reasoning effect,v1_original_intended,reasoning; language=all; foundation=Authority/Subversion,-0.17222222222222222,"[-0.2808628769575611, -0.0635815674868833]",-0.23316044402222688,0.001558689744254349,0.03273248462934133,0.0020536930357830663,0.027981386907143618,180,Pooled Authority/Subversion reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Pooled Authority/Subversion reasoning effect,v2_validated_subset,reasoning; language=all; foundation=Authority/Subversion,-0.24444444444444444,"[-0.43364034434012455, -0.055248544548764295]",-0.27060786051237806,0.010184879107328015,0.08911769218912013,0.011921112348940222,0.09628590743374794,90,Pooled Authority/Subversion reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Pooled Authority/Subversion reasoning effect,v3_human_scenario_majority,reasoning; language=all; foundation=Authority/Subversion,-0.24444444444444444,"[-0.43364034434012455, -0.055248544548764295]",-0.27060786051237806,0.010184879107328015,0.08911769218912013,0.011921112348940222,0.10391184860882574,90,Pooled Authority/Subversion reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
