file,purpose,rows,bytes,sha256,generated_by,input_files,status,canonical_or_legacy
results/processed/final_evidence_lock/README.md,"methods, interpretation, or reproducibility documentation",,552,2ecbcda7a7bd6334e5d82a483f376762f1e5bb8e758cd2d502b03d9e057e5111,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/WILCOXON_IMPLEMENTATION_AUDIT.md,corrected signed-rank implementation evidence,,1286,672810a2e5dfb582d15d22c42df4d0452f1794cfef015655234ec2f7bccf65b8,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/WILCOXON_UNIT_TEST_RESULTS.md,corrected signed-rank implementation evidence,,791,472fcde0fd60a5c11d26c98ef0110d3dced0dc83fef9a0f349d2ab88eb19e2a0,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/effect_type_consistency_final.csv,reproducible analysis table,12,800,f7a79503a637bf7f561e930c966a8d3de3f915054ca94a950e007a4ba56fcee2,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/final_claim_matrix.csv,reproducible analysis table,14,6247,97f259bc1a11a01e4b9726346a00ab22f777a31725c7b7d0e39431e0b98836f8,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/final_evidence_input_inventory.csv,reproducible analysis table,18,7701,e9d156b97522ba3ff0a09fd84c6c219ebc5ae9075b2b3a4217a8b1896c654703,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/foundation_effect_consistency_final.csv,reproducible analysis table,12,800,f7a79503a637bf7f561e930c966a8d3de3f915054ca94a950e007a4ba56fcee2,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/foundation_scenario_cluster_bootstrap_final.csv,reproducible analysis table,315,52718,f42450598c7ff02487fa1bd5cc042d1bbe44ed172a288c8c19088fbc7bc9989a,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/foundation_sensitivity_final.csv,reproducible analysis table,315,197924,a6d8163f447579847070d6a7cadcc86d2f4e8969337ea1764cb7db612c62dfa1,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/headline_finding_sensitivity_final.csv,reproducible analysis table,30,10540,1e031a337fc8e71e36ebc2d6335d94d721cdd875a778f33d776ea1fca21f8029,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/paper_ready_statistics_final.csv,reproducible analysis table,30,16066,651801a7df5299302159ee7728bd0e5005e41b58a8b469728505d5bf279aecdf,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/qualitative_adjudication_source_summary.csv,reproducible analysis table,3,97,997a2b5d9f9c170915d0f83742953f382900b560ad1239f330fd50895c0f9545,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/qualitative_ai_coder_agreement.csv,reproducible analysis table,1,255,b6159be22fe1c7c99eeafd4e3ff17955163cbd8dfcce3d11def7f5d12974e599,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/qualitative_ai_coder_confusion_matrix.csv,reproducible analysis table,25,962,85ac1b768dbc72f69fcb85ec4f718b643b00559a23edca4a1dfdbcc9d33f992e,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/qualitative_match_human_majority_final.csv,reproducible analysis table,27,2611,cdac12026d1c684960c54028adb6c6342a6f775a85eb91cce2917bd822dacec0,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/qualitative_match_intended_final.csv,reproducible analysis table,27,2206,78c40e8ebf8aef162cff786b577efebecaf1797c841ab81782b088692a065453,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/qualitative_reproduction_final.csv,reproducible analysis table,27,2449,2fe23d0fffa5ef72225650b94b5ba391b327f68c4843951615f6c57b52deb7aa,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/qualitative_transitions_human_majority_final.csv,reproducible analysis table,125,9683,caab0a5cbc238e5937ffe4b8502e283c87eeaa522ce1276e47d0683c8253829e,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/qualitative_transitions_intended_final.csv,reproducible analysis table,125,7675,f6423ad24193d037e5cb4bcf3d1b35e33b2ec437a23280ce3ce6d1c7bfa42301,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/s11_s30_breakdowns_final.csv,reproducible analysis table,240,19933,eacabbe1999b7d2bc17831c9b6bd6e3cb3b56db0d5642dcf4ec4c55877c22a2b,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/s11_s30_foundation_distribution_final.csv,reproducible analysis table,10,1224,f2f2c4c61cd71d5e06f3dbe1d2e87cc85d1eb263acf2752672594dbe0caf43ff,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
phase1_evidence_report_reproducibility.md,canonical reproducibility report,,15450,f28ee6a9841e505555f6a9e254cfd9748ab1f8275ade5b094cb6fb8d07d2f589,scripts/final_evidence_lock/run_final_evidence_lock.ts,all inventoried canonical inputs,generated,canonical
