analysis_version,model_key,reference_foundation,invoked_foundation,count,row_total,row_percentage
human_scenario_majority,claude,Sanctity/Degradation,Authority/Subversion,0,50,0
human_scenario_majority,claude,Sanctity/Degradation,Fairness/Cheating,0,50,0
human_scenario_majority,claude,Sanctity/Degradation,Sanctity/Degradation,28,50,0.56
human_scenario_majority,gemini_flash,Care/Harm,Care/Harm,50,75,0.6666666666666666
human_scenario_majority,gemini_flash,Care/Harm,Loyalty/Betrayal,23,75,0.30666666666666664
human_scenario_majority,gemini_flash,Care/Harm,Authority/Subversion,2,75,0.02666666666666667
human_scenario_majority,gemini_flash,Care/Harm,Fairness/Cheating,0,75,0
human_scenario_majority,gemini_flash,Care/Harm,Sanctity/Degradation,0,75,0
human_scenario_majority,gemini_flash,Loyalty/Betrayal,Care/Harm,0,50,0
human_scenario_majority,gemini_flash,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
human_scenario_majority,gemini_flash,Loyalty/Betrayal,Authority/Subversion,0,50,0
human_scenario_majority,gemini_flash,Loyalty/Betrayal,Fairness/Cheating,0,50,0
human_scenario_majority,gemini_flash,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
human_scenario_majority,gemini_flash,Authority/Subversion,Care/Harm,25,25,1
human_scenario_majority,gemini_flash,Authority/Subversion,Loyalty/Betrayal,0,25,0
human_scenario_majority,gemini_flash,Authority/Subversion,Authority/Subversion,0,25,0
human_scenario_majority,gemini_flash,Authority/Subversion,Fairness/Cheating,0,25,0
human_scenario_majority,gemini_flash,Authority/Subversion,Sanctity/Degradation,0,25,0
human_scenario_majority,gemini_flash,Fairness/Cheating,Care/Harm,1,50,0.02
human_scenario_majority,gemini_flash,Fairness/Cheating,Loyalty/Betrayal,0,50,0
human_scenario_majority,gemini_flash,Fairness/Cheating,Authority/Subversion,0,50,0
human_scenario_majority,gemini_flash,Fairness/Cheating,Fairness/Cheating,49,50,0.98
human_scenario_majority,gemini_flash,Fairness/Cheating,Sanctity/Degradation,0,50,0
human_scenario_majority,gemini_flash,Sanctity/Degradation,Care/Harm,20,50,0.4
human_scenario_majority,gemini_flash,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
human_scenario_majority,gemini_flash,Sanctity/Degradation,Authority/Subversion,0,50,0
human_scenario_majority,gemini_flash,Sanctity/Degradation,Fairness/Cheating,0,50,0
human_scenario_majority,gemini_flash,Sanctity/Degradation,Sanctity/Degradation,30,50,0.6
human_scenario_majority,gemini_pro,Care/Harm,Care/Harm,50,75,0.6666666666666666
human_scenario_majority,gemini_pro,Care/Harm,Loyalty/Betrayal,21,75,0.28
human_scenario_majority,gemini_pro,Care/Harm,Authority/Subversion,4,75,0.05333333333333334
human_scenario_majority,gemini_pro,Care/Harm,Fairness/Cheating,0,75,0
human_scenario_majority,gemini_pro,Care/Harm,Sanctity/Degradation,0,75,0
human_scenario_majority,gemini_pro,Loyalty/Betrayal,Care/Harm,0,50,0
human_scenario_majority,gemini_pro,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
human_scenario_majority,gemini_pro,Loyalty/Betrayal,Authority/Subversion,0,50,0
human_scenario_majority,gemini_pro,Loyalty/Betrayal,Fairness/Cheating,0,50,0
human_scenario_majority,gemini_pro,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
human_scenario_majority,gemini_pro,Authority/Subversion,Care/Harm,25,25,1
human_scenario_majority,gemini_pro,Authority/Subversion,Loyalty/Betrayal,0,25,0
human_scenario_majority,gemini_pro,Authority/Subversion,Authority/Subversion,0,25,0
human_scenario_majority,gemini_pro,Authority/Subversion,Fairness/Cheating,0,25,0
human_scenario_majority,gemini_pro,Authority/Subversion,Sanctity/Degradation,0,25,0
human_scenario_majority,gemini_pro,Fairness/Cheating,Care/Harm,0,50,0
human_scenario_majority,gemini_pro,Fairness/Cheating,Loyalty/Betrayal,0,50,0
human_scenario_majority,gemini_pro,Fairness/Cheating,Authority/Subversion,0,50,0
human_scenario_majority,gemini_pro,Fairness/Cheating,Fairness/Cheating,50,50,1
human_scenario_majority,gemini_pro,Fairness/Cheating,Sanctity/Degradation,0,50,0
human_scenario_majority,gemini_pro,Sanctity/Degradation,Care/Harm,19,50,0.38
human_scenario_majority,gemini_pro,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
human_scenario_majority,gemini_pro,Sanctity/Degradation,Authority/Subversion,0,50,0
human_scenario_majority,gemini_pro,Sanctity/Degradation,Fairness/Cheating,0,50,0
human_scenario_majority,gemini_pro,Sanctity/Degradation,Sanctity/Degradation,31,50,0.62
