scenario_id,intended_foundation,human_scenario_majority_foundation,dimension,group_value,response_coded_foundation,count,group_total
S30,Authority/Subversion,Authority/Subversion,language,ar,Authority/Subversion,0,16
S30,Authority/Subversion,Authority/Subversion,language,ar,Fairness/Cheating,0,16
S30,Authority/Subversion,Authority/Subversion,language,ar,Sanctity/Degradation,0,16
S30,Authority/Subversion,Authority/Subversion,language,bn,Care/Harm,16,16
S30,Authority/Subversion,Authority/Subversion,language,bn,Loyalty/Betrayal,0,16
S30,Authority/Subversion,Authority/Subversion,language,bn,Authority/Subversion,0,16
S30,Authority/Subversion,Authority/Subversion,language,bn,Fairness/Cheating,0,16
S30,Authority/Subversion,Authority/Subversion,language,bn,Sanctity/Degradation,0,16
S30,Authority/Subversion,Authority/Subversion,language,en,Care/Harm,4,4
S30,Authority/Subversion,Authority/Subversion,language,en,Loyalty/Betrayal,0,4
S30,Authority/Subversion,Authority/Subversion,language,en,Authority/Subversion,0,4
S30,Authority/Subversion,Authority/Subversion,language,en,Fairness/Cheating,0,4
S30,Authority/Subversion,Authority/Subversion,language,en,Sanctity/Degradation,0,4
S30,Authority/Subversion,Authority/Subversion,language,es,Care/Harm,16,16
S30,Authority/Subversion,Authority/Subversion,language,es,Loyalty/Betrayal,0,16
S30,Authority/Subversion,Authority/Subversion,language,es,Authority/Subversion,0,16
S30,Authority/Subversion,Authority/Subversion,language,es,Fairness/Cheating,0,16
S30,Authority/Subversion,Authority/Subversion,language,es,Sanctity/Degradation,0,16
S30,Authority/Subversion,Authority/Subversion,language,hi,Care/Harm,16,16
S30,Authority/Subversion,Authority/Subversion,language,hi,Loyalty/Betrayal,0,16
S30,Authority/Subversion,Authority/Subversion,language,hi,Authority/Subversion,0,16
S30,Authority/Subversion,Authority/Subversion,language,hi,Fairness/Cheating,0,16
S30,Authority/Subversion,Authority/Subversion,language,hi,Sanctity/Degradation,0,16
S30,Authority/Subversion,Authority/Subversion,language,ja,Care/Harm,16,16
S30,Authority/Subversion,Authority/Subversion,language,ja,Loyalty/Betrayal,0,16
S30,Authority/Subversion,Authority/Subversion,language,ja,Authority/Subversion,0,16
S30,Authority/Subversion,Authority/Subversion,language,ja,Fairness/Cheating,0,16
S30,Authority/Subversion,Authority/Subversion,language,ja,Sanctity/Degradation,0,16
S30,Authority/Subversion,Authority/Subversion,language,ta,Care/Harm,16,16
S30,Authority/Subversion,Authority/Subversion,language,ta,Loyalty/Betrayal,0,16
S30,Authority/Subversion,Authority/Subversion,language,ta,Authority/Subversion,0,16
S30,Authority/Subversion,Authority/Subversion,language,ta,Fairness/Cheating,0,16
S30,Authority/Subversion,Authority/Subversion,language,ta,Sanctity/Degradation,0,16
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Care/Harm,24,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Loyalty/Betrayal,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Authority/Subversion,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Fairness/Cheating,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_en,Sanctity/Degradation,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Care/Harm,24,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Loyalty/Betrayal,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Authority/Subversion,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Fairness/Cheating,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,adapted_reason_l2,Sanctity/Degradation,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Care/Harm,4,4
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Loyalty/Betrayal,0,4
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Authority/Subversion,0,4
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Fairness/Cheating,0,4
S30,Authority/Subversion,Authority/Subversion,condition_type,en_en,Sanctity/Degradation,0,4
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Care/Harm,24,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Loyalty/Betrayal,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Authority/Subversion,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Fairness/Cheating,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_en,Sanctity/Degradation,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Care/Harm,24,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Loyalty/Betrayal,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Authority/Subversion,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Fairness/Cheating,0,24
S30,Authority/Subversion,Authority/Subversion,condition_type,translation_reason_l2,Sanctity/Degradation,0,24
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ar,Care/Harm,8,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ar,Loyalty/Betrayal,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ar,Authority/Subversion,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ar,Fairness/Cheating,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ar,Sanctity/Degradation,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,bn,Care/Harm,8,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,bn,Loyalty/Betrayal,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,bn,Authority/Subversion,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,bn,Fairness/Cheating,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,bn,Sanctity/Degradation,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,en,Care/Harm,52,52
S30,Authority/Subversion,Authority/Subversion,reasoning_language,en,Loyalty/Betrayal,0,52
S30,Authority/Subversion,Authority/Subversion,reasoning_language,en,Authority/Subversion,0,52
S30,Authority/Subversion,Authority/Subversion,reasoning_language,en,Fairness/Cheating,0,52
S30,Authority/Subversion,Authority/Subversion,reasoning_language,en,Sanctity/Degradation,0,52
S30,Authority/Subversion,Authority/Subversion,reasoning_language,es,Care/Harm,8,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,es,Loyalty/Betrayal,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,es,Authority/Subversion,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,es,Fairness/Cheating,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,es,Sanctity/Degradation,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,hi,Care/Harm,8,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,hi,Loyalty/Betrayal,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,hi,Authority/Subversion,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,hi,Fairness/Cheating,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,hi,Sanctity/Degradation,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ja,Care/Harm,8,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ja,Loyalty/Betrayal,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ja,Authority/Subversion,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ja,Fairness/Cheating,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ja,Sanctity/Degradation,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ta,Care/Harm,8,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ta,Loyalty/Betrayal,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ta,Authority/Subversion,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ta,Fairness/Cheating,0,8
S30,Authority/Subversion,Authority/Subversion,reasoning_language,ta,Sanctity/Degradation,0,8
