foundation,effect,lang,comparison,n,mean,sd,standardError,ci95,meanDifference,t,degreesFreedom,effectSize
Loyalty/Betrayal,framing,hi,"hi adapted - hi translation, same reasoning language",40,-0.025,0.27619205506685235,0.0436697982826951,-0.11059280463408239|0.06059280463408239,-0.025,-0.5724780279076003,39,-0.09051672392947271
Loyalty/Betrayal,reasoning,hi,"hi reasoning - English reasoning, same hi input",40,0.075,0.3499084129252933,0.05532537786493137,-0.033437740615265485|0.18343774061526547,0.075,1.3556165885229248,39,0.21434180268198572
Loyalty/Betrayal,language,bn,bn translation with English reasoning - English baseline,20,-0.15,0.36634754853252316,0.0819178021909125,-0.31055889229418854|0.010558892294188521,-0.15,-1.8311038136792217,19,-0.4094472601245849
Loyalty/Betrayal,framing,bn,"bn adapted - bn translation, same reasoning language",40,-0.075,0.3499084129252933,0.05532537786493137,-0.18343774061526547|0.033437740615265485,-0.075,-1.3556165885229248,39,-0.21434180268198572
Loyalty/Betrayal,reasoning,bn,"bn reasoning - English reasoning, same bn input",40,0.125,0.40430377003131995,0.06392603899459484,-0.00029503642940589825|0.25029503642940587,0.125,1.9553847221876075,39,0.30917347120042116
Loyalty/Betrayal,language,ta,ta translation with English reasoning - English baseline,20,-0.3,0.47016234598162715,0.10513149660756933,-0.5060577333508358|-0.09394226664916411,-0.3,-2.8535691936340264,19,-0.6380774695464942
Loyalty/Betrayal,framing,ta,"ta adapted - ta translation, same reasoning language",40,0.1,0.3789323733725366,0.059914468951527786,-0.017432359144994455|0.21743235914499448,0.1,1.6690459207925612,39,0.2638993314558739
Loyalty/Betrayal,reasoning,ta,"ta reasoning - English reasoning, same ta input",40,0.05,0.5038314736557787,0.07966275068156911,-0.10613899133587544|0.20613899133587543,0.05,0.6276459144608482,39,0.09923953268977467
Loyalty/Betrayal,language,es,es translation with English reasoning - English baseline,20,-0.1,0.30779350562554625,0.06882472016116853,-0.2348964515158903|0.0348964515158903,-0.1,-1.4529663145135578,19,-0.32489314482696546
Loyalty/Betrayal,framing,es,"es adapted - es translation, same reasoning language",40,-0.375,0.6674674677561601,0.10553587310872314,-0.5818503112930974|-0.16814968870690264,-0.375,-3.5532941449555704,39,-0.5618251347300052
Loyalty/Betrayal,reasoning,es,"es reasoning - English reasoning, same es input",40,0.075,0.3499084129252933,0.05532537786493137,-0.033437740615265485|0.18343774061526547,0.075,1.3556165885229248,39,0.21434180268198572
Loyalty/Betrayal,language,ja,ja translation with English reasoning - English baseline,20,-0.25,0.4442616583193193,0.09933992677987828,-0.44470625648856144|-0.055293743511438564,-0.25,-2.516611478423583,19,-0.5627314338711377
Loyalty/Betrayal,framing,ja,"ja adapted - ja translation, same reasoning language",40,-0.225,0.6597396533909496,0.10431399837227148,-0.42945543680965215|-0.020544563190347892,-0.225,-2.156949244693213,39,-0.3410436205305203
Loyalty/Betrayal,reasoning,ja,"ja reasoning - English reasoning, same ja input",40,0.275,0.4522025867763025,0.07149950690165272,0.1348609664727607|0.41513903352723935,0.275,3.846180371261321,39,0.60813451325089
Loyalty/Betrayal,language,ar,ar translation with English reasoning - English baseline,20,-0.25,0.4442616583193193,0.09933992677987828,-0.44470625648856144|-0.055293743511438564,-0.25,-2.516611478423583,19,-0.5627314338711377
Loyalty/Betrayal,framing,ar,"ar adapted - ar translation, same reasoning language",40,-0.125,0.46340434799814917,0.07327066086497203,-0.2686104952953452|0.01861049529534517,-0.125,-1.706003447005319,39,-0.2697428294317585
Loyalty/Betrayal,reasoning,ar,"ar reasoning - English reasoning, same ar input",40,0.225,0.4229020617662604,0.06686668711812967,0.09394129324846587|0.35605870675153417,0.225,3.3649042549768464,39,0.5320380777059402
Authority/Subversion,language,hi,hi translation with English reasoning - English baseline,20,0.25,0.4442616583193193,0.09933992677987828,0.055293743511438564|0.44470625648856144,0.25,2.516611478423583,19,0.5627314338711377
Authority/Subversion,framing,hi,"hi adapted - hi translation, same reasoning language",40,-0.225,0.42290206176626044,0.06686668711812967,-0.35605870675153417|-0.09394129324846587,-0.225,-3.3649042549768464,39,-0.5320380777059402
Authority/Subversion,reasoning,hi,"hi reasoning - English reasoning, same hi input",40,-0.275,0.5057363253408151,0.07996393417804536,-0.43172931098896894|-0.11827068901103113,-0.275,-3.4390504022437547,39,-0.5437616129604252
Authority/Subversion,language,bn,bn translation with English reasoning - English baseline,20,0.15,0.5871429486123998,0.13128915456069917,-0.1073267429389704|0.4073267429389704,0.15,1.1425163068640998,19,0.25547441275501365
Authority/Subversion,framing,bn,"bn adapted - bn translation, same reasoning language",40,0.1,0.49613893835683376,0.0784464540552736,-0.05375504994833624|0.25375504994833625,0.1,1.2747548783981963,39,0.20155644370746378
Authority/Subversion,reasoning,bn,"bn reasoning - English reasoning, same bn input",40,-0.1,0.5905234531480935,0.09336995618478523,-0.28300511412217905|0.08300511412217904,-0.1,-1.0710083209431251,39,-0.16934128435864454
Authority/Subversion,language,ta,ta translation with English reasoning - English baseline,20,0.15,0.5871429486123998,0.13128915456069917,-0.1073267429389704|0.4073267429389704,0.15,1.1425163068640998,19,0.25547441275501365
Authority/Subversion,framing,ta,"ta adapted - ta translation, same reasoning language",40,0.125,0.40430377003131995,0.06392603899459484,-0.00029503642940589825|0.25029503642940587,0.125,1.9553847221876075,39,0.30917347120042116
Authority/Subversion,reasoning,ta,"ta reasoning - English reasoning, same ta input",40,-0.125,0.563300712149108,0.08906566289930315,-0.2995686992826342|0.04956869928263416,-0.125,-1.4034589305344742,39,-0.22190634114964863
Authority/Subversion,language,es,es translation with English reasoning - English baseline,20,0.1,0.5525062514530825,0.12354415362426845,-0.14214654110356614|0.3421465411035661,0.1,0.8094272134003795,19,0.18099342720014772
Authority/Subversion,framing,es,"es adapted - es translation, same reasoning language",40,-0.325,0.6155047959570695,0.09731985329907687,-0.5157469124661906|-0.13425308753380935,-0.325,-3.3395035954404055,39,-0.5280218807956587
Authority/Subversion,reasoning,es,"es reasoning - English reasoning, same es input",40,-0.075,0.47434164902525694,0.075,-0.22199999999999998|0.072,-0.075,-1,39,-0.15811388300841894
Authority/Subversion,language,ja,ja translation with English reasoning - English baseline,20,0.2,0.523148363780597,0.11697953037312038,-0.029279879531315917|0.42927987953131597,0.2,1.7097008285302204,19,0.3823007273781285
Authority/Subversion,framing,ja,"ja adapted - ja translation, same reasoning language",40,-0.25,0.6698641270570836,0.10591481821704042,-0.4575930437053992|-0.042406956294600784,-0.25,-2.3603873774083293,39,-0.37321001364608947
Authority/Subversion,reasoning,ja,"ja reasoning - English reasoning, same ja input",40,-0.2,0.5638694156883469,0.08915558282417284,-0.3747449423353788|-0.025255057664621244,-0.2,-2.243269503317899,39,-0.35469205180396035
Authority/Subversion,language,ar,ar translation with English reasoning - English baseline,20,0.05,0.5104177855340405,0.11413288653790232,-0.17370045761428854|0.2737004576142886,0.05,0.4380858271151806,19,0.09795896894087644
Authority/Subversion,framing,ar,"ar adapted - ar translation, same reasoning language",40,0,0.6793662204867574,0.10741723110591492,-0.21053777296759324|0.21053777296759324,0,0,39,0
Authority/Subversion,reasoning,ar,"ar reasoning - English reasoning, same ar input",40,-0.05,0.4500712194354387,0.07116250813527142,-0.189478515945132|0.08947851594513197,-0.05,-0.7026171689305271,39,-0.1110935288479879
Fairness/Cheating,language,hi,hi translation with English reasoning - English baseline,20,-0.15,0.5871429486123998,0.13128915456069917,-0.4073267429389704|0.1073267429389704,-0.15,-1.1425163068640998,19,-0.25547441275501365
Fairness/Cheating,framing,hi,"hi adapted - hi translation, same reasoning language",40,-0.2,0.5638694156883468,0.08915558282417282,-0.37474494233537875|-0.025255057664621272,-0.2,-2.2432695033178995,39,-0.35469205180396046
Fairness/Cheating,reasoning,hi,"hi reasoning - English reasoning, same hi input",40,0.1,0.44144285572630443,0.06979824404521126,-0.03680455832861407|0.23680455832861408,0.1,1.4327007988227582,39,0.22652988649112996
Fairness/Cheating,language,bn,bn translation with English reasoning - English baseline,20,-0.1,0.44721359549995776,0.09999999999999995,-0.29599999999999993|0.09599999999999989,-0.1,-1.0000000000000007,19,-0.22360679774997907
Fairness/Cheating,framing,bn,"bn adapted - bn translation, same reasoning language",40,-0.025,0.5304811555656396,0.08387643536927643,-0.18939781332378178|0.1393978133237818,-0.025,-0.29805749242840845,39,-0.047127027487608095
Fairness/Cheating,reasoning,bn,"bn reasoning - English reasoning, same bn input",40,0.175,0.5006406152531231,0.07915823166939519,0.019849865927985433|0.33015013407201454,0.175,2.2107618665723674,39,0.3495521431306972
Fairness/Cheating,language,ta,ta translation with English reasoning - English baseline,20,-0.3,0.5712405705774793,0.127733274731701,-0.550357218474134|-0.04964278152586599,-0.3,-2.348644083776438,19,-0.5251727826276826
Fairness/Cheating,framing,ta,"ta adapted - ta translation, same reasoning language",40,-0.05,0.45007121943543854,0.07116250813527139,-0.18947851594513193|0.08947851594513191,-0.05,-0.7026171689305273,39,-0.11109352884798794
Fairness/Cheating,reasoning,ta,"ta reasoning - English reasoning, same ta input",40,0.1,0.5905234531480935,0.09336995618478523,-0.08300511412217904|0.28300511412217905,0.1,1.0710083209431251,39,0.16934128435864454
Fairness/Cheating,language,es,es translation with English reasoning - English baseline,20,-0.05,0.3940344628262061,0.08810878443570107,-0.22269321749397408|0.12269321749397409,-0.05,-0.5674803065350241,19,-0.1268924541304732
Fairness/Cheating,framing,es,"es adapted - es translation, same reasoning language",40,-0.375,0.6674674677561601,0.10553587310872314,-0.5818503112930974|-0.16814968870690264,-0.375,-3.5532941449555704,39,-0.5618251347300052
Fairness/Cheating,reasoning,es,"es reasoning - English reasoning, same es input",40,-0.025,0.5304811555656396,0.08387643536927643,-0.18939781332378178|0.1393978133237818,-0.025,-0.29805749242840845,39,-0.047127027487608095
Fairness/Cheating,language,ja,ja translation with English reasoning - English baseline,20,-0.4,0.5026246899500346,0.11239029738980327,-0.6202849828840145|-0.17971501711598561,-0.4,-3.5590260840104375,19,-0.7958224257542215
Fairness/Cheating,framing,ja,"ja adapted - ja translation, same reasoning language",40,0.025,0.47971679679599,0.07584988548577465,-0.1236657755521183|0.1736657755521183,0.025,0.3295983881833105,39,0.05211408098897941
Fairness/Cheating,reasoning,ja,"ja reasoning - English reasoning, same ja input",40,0.275,0.45220258677630243,0.0714995069016527,0.13486096647276072|0.41513903352723935,0.275,3.8461803712613216,39,0.60813451325089
Fairness/Cheating,language,ar,ar translation with English reasoning - English baseline,20,-0.5,0.6069769786668839,0.13572417850765922,-0.7660193898750121|-0.23398061012498794,-0.5,-3.6839419880650364,19,-0.8237544710479141
Fairness/Cheating,framing,ar,"ar adapted - ar translation, same reasoning language",40,-1.05,1.153589715093382,0.18239854925199037,-1.4075011565339013|-0.6924988434660989,-1.05,-5.756624733617733,39,-0.9102022896546053
Fairness/Cheating,reasoning,ar,"ar reasoning - English reasoning, same ar input",40,0.45,0.5970010522689694,0.09439415453435883,0.2649874571126567|0.6350125428873433,0.45,4.767244351303587,39,0.7537675156345615
Sanctity/Degradation,language,hi,hi translation with English reasoning - English baseline,20,0.15,0.5871429486123998,0.13128915456069917,-0.1073267429389704|0.4073267429389704,0.15,1.1425163068640998,19,0.25547441275501365
Sanctity/Degradation,framing,hi,"hi adapted - hi translation, same reasoning language",40,0.1,0.9281909617845143,0.14675987714106856,-0.18764935919649436|0.38764935919649435,0.1,0.681385143869247,39,0.10773645092141683
Sanctity/Degradation,reasoning,hi,"hi reasoning - English reasoning, same hi input",40,0,0.5991446895152781,0.09473309334313418,-0.185676862952543|0.185676862952543,0,0,39,0
Sanctity/Degradation,language,bn,bn translation with English reasoning - English baseline,20,0.3,0.5712405705774793,0.127733274731701,0.04964278152586599|0.550357218474134,0.3,2.348644083776438,19,0.5251727826276826
Sanctity/Degradation,framing,bn,"bn adapted - bn translation, same reasoning language",40,-0.2,0.6868732574462858,0.10860419786947367,-0.41286422782416843|0.012864227824168378,-0.2,-1.8415494421345544,39,-0.29117453304788216
Sanctity/Degradation,reasoning,bn,"bn reasoning - English reasoning, same bn input",40,0.05,0.5038314736557788,0.07966275068156914,-0.1061389913358755|0.2061389913358755,0.05,0.6276459144608479,39,0.09923953268977466
Sanctity/Degradation,language,ta,ta translation with English reasoning - English baseline,20,-0.05,0.5104177855340405,0.11413288653790232,-0.2737004576142886|0.17370045761428854,-0.05,-0.4380858271151806,19,-0.09795896894087644
Sanctity/Degradation,framing,ta,"ta adapted - ta translation, same reasoning language",40,-0.075,0.5256253906367646,0.08310867152139591,-0.237892996181936|0.08789299618193598,-0.075,-0.9024329065432315,39,-0.14268717100812398
Sanctity/Degradation,reasoning,ta,"ta reasoning - English reasoning, same ta input",40,0.125,0.6479751498875516,0.10245386704168306,-0.0758095794016988|0.3258095794016988,0.125,1.2200613174429433,39,0.19290863240927106
Sanctity/Degradation,language,es,es translation with English reasoning - English baseline,20,0.15,0.5871429486123998,0.13128915456069917,-0.1073267429389704|0.4073267429389704,0.15,1.1425163068640998,19,0.25547441275501365
Sanctity/Degradation,framing,es,"es adapted - es translation, same reasoning language",40,-0.625,0.8066232240898012,0.12753833008560855,-0.8749751269677928|-0.3750248730322072,-0.625,-4.900487559939638,39,-0.7748351167365085
Sanctity/Degradation,reasoning,es,"es reasoning - English reasoning, same es input",40,0.125,0.515776735638242,0.08155146243716922,-0.03484086637685169|0.2848408663768517,0.125,1.5327744747226992,39,0.24235292397459568
Sanctity/Degradation,language,ja,ja translation with English reasoning - English baseline,20,0.15,0.5871429486123998,0.13128915456069917,-0.1073267429389704|0.4073267429389704,0.15,1.1425163068640998,19,0.25547441275501365
Sanctity/Degradation,framing,ja,"ja adapted - ja translation, same reasoning language",40,-0.35,0.5795665931516721,0.09163752450517143,-0.5296095480301359|-0.17039045196986397,-0.35,-3.81939605952852,39,-0.6038995417191088
Sanctity/Degradation,reasoning,ja,"ja reasoning - English reasoning, same ja input",40,-0.2,0.6076436202501998,0.09607689228305225,-0.3883107088747824|-0.011689291125217605,-0.2,-2.0816659994661335,39,-0.32914029430219177
Sanctity/Degradation,language,ar,ar translation with English reasoning - English baseline,20,0.3,0.7326950970650464,0.16383560438182504,-0.021117784588377098|0.6211177845883771,0.3,1.8311038136792215,19,0.4094472601245848
Sanctity/Degradation,framing,ar,"ar adapted - ar translation, same reasoning language",40,-0.875,0.9111137169026735,0.14405972764171507,-1.1573570661777615|-0.5926429338222385,-0.875,-6.073869597866906,39,-0.9603631070055207
Sanctity/Degradation,reasoning,ar,"ar reasoning - English reasoning, same ar input",40,0.175,0.7807787039970959,0.1234519526592618,-0.06696582721215313|0.41696582721215314,0.175,1.4175555447309554,39,0.2241352115575259
