scenario_id,dimension,group_value,theme,count,denominator,percentage
S30,input_language,Hindi,loyalty_betrayal_theme,5,16,31.25
S30,input_language,Japanese,authority_core_explicit,0,16,0.0
S30,input_language,Japanese,authority_rule_or_obligation,16,16,100.0
S30,input_language,Japanese,authority_theme_any,16,16,100.0
S30,input_language,Japanese,care_harm_theme,16,16,100.0
S30,input_language,Japanese,loyalty_betrayal_theme,5,16,31.25
S30,input_language,Spanish,authority_core_explicit,0,16,0.0
S30,input_language,Spanish,authority_rule_or_obligation,16,16,100.0
S30,input_language,Spanish,authority_theme_any,16,16,100.0
S30,input_language,Spanish,care_harm_theme,16,16,100.0
S30,input_language,Spanish,loyalty_betrayal_theme,7,16,43.75
S30,input_language,Tamil,authority_core_explicit,1,16,6.25
S30,input_language,Tamil,authority_rule_or_obligation,16,16,100.0
S30,input_language,Tamil,authority_theme_any,16,16,100.0
S30,input_language,Tamil,care_harm_theme,16,16,100.0
S30,input_language,Tamil,loyalty_betrayal_theme,2,16,12.5
S11,condition_type,"Adapted, English response",authority_core_explicit,3,24,12.5
S11,condition_type,"Adapted, English response",authority_rule_or_obligation,1,24,4.166666666666666
S11,condition_type,"Adapted, English response",authority_theme_any,4,24,16.666666666666664
S11,condition_type,"Adapted, English response",care_harm_theme,11,24,45.83333333333333
S11,condition_type,"Adapted, English response",loyalty_betrayal_theme,19,24,79.16666666666666
S11,condition_type,"Adapted, Same-language response",authority_core_explicit,5,24,20.833333333333336
S11,condition_type,"Adapted, Same-language response",authority_rule_or_obligation,2,24,8.333333333333332
S11,condition_type,"Adapted, Same-language response",authority_theme_any,7,24,29.166666666666668
S11,condition_type,"Adapted, Same-language response",care_harm_theme,19,24,79.16666666666666
S11,condition_type,"Adapted, Same-language response",loyalty_betrayal_theme,13,24,54.166666666666664
S11,condition_type,English baseline,authority_core_explicit,0,4,0.0
S11,condition_type,English baseline,authority_rule_or_obligation,0,4,0.0
S11,condition_type,English baseline,authority_theme_any,0,4,0.0
S11,condition_type,English baseline,care_harm_theme,3,4,75.0
S11,condition_type,English baseline,loyalty_betrayal_theme,4,4,100.0
S11,condition_type,"Literal, English response",authority_core_explicit,2,24,8.333333333333332
S11,condition_type,"Literal, English response",authority_rule_or_obligation,1,24,4.166666666666666
S11,condition_type,"Literal, English response",authority_theme_any,3,24,12.5
S11,condition_type,"Literal, English response",care_harm_theme,13,24,54.166666666666664
S11,condition_type,"Literal, English response",loyalty_betrayal_theme,21,24,87.5
S11,condition_type,"Literal, Same-language response",authority_core_explicit,1,24,4.166666666666666
S11,condition_type,"Literal, Same-language response",authority_rule_or_obligation,2,24,8.333333333333332
S11,condition_type,"Literal, Same-language response",authority_theme_any,3,24,12.5
S11,condition_type,"Literal, Same-language response",care_harm_theme,21,24,87.5
S11,condition_type,"Literal, Same-language response",loyalty_betrayal_theme,18,24,75.0
S30,condition_type,"Adapted, English response",authority_core_explicit,0,24,0.0
S30,condition_type,"Adapted, English response",authority_rule_or_obligation,24,24,100.0
S30,condition_type,"Adapted, English response",authority_theme_any,24,24,100.0
S30,condition_type,"Adapted, English response",care_harm_theme,24,24,100.0
S30,condition_type,"Adapted, English response",loyalty_betrayal_theme,8,24,33.33333333333333
S30,condition_type,"Adapted, Same-language response",authority_core_explicit,2,24,8.333333333333332
S30,condition_type,"Adapted, Same-language response",authority_rule_or_obligation,24,24,100.0
S30,condition_type,"Adapted, Same-language response",authority_theme_any,24,24,100.0
S30,condition_type,"Adapted, Same-language response",care_harm_theme,24,24,100.0
S30,condition_type,"Adapted, Same-language response",loyalty_betrayal_theme,6,24,25.0
S30,condition_type,English baseline,authority_core_explicit,0,4,0.0
S30,condition_type,English baseline,authority_rule_or_obligation,4,4,100.0
S30,condition_type,English baseline,authority_theme_any,4,4,100.0
S30,condition_type,English baseline,care_harm_theme,4,4,100.0
S30,condition_type,English baseline,loyalty_betrayal_theme,1,4,25.0
S30,condition_type,"Literal, English response",authority_core_explicit,0,24,0.0
S30,condition_type,"Literal, English response",authority_rule_or_obligation,24,24,100.0
S30,condition_type,"Literal, English response",authority_theme_any,24,24,100.0
S30,condition_type,"Literal, English response",care_harm_theme,24,24,100.0
S30,condition_type,"Literal, English response",loyalty_betrayal_theme,8,24,33.33333333333333
S30,condition_type,"Literal, Same-language response",authority_core_explicit,2,24,8.333333333333332
S30,condition_type,"Literal, Same-language response",authority_rule_or_obligation,24,24,100.0
S30,condition_type,"Literal, Same-language response",authority_theme_any,24,24,100.0
S30,condition_type,"Literal, Same-language response",care_harm_theme,24,24,100.0
S30,condition_type,"Literal, Same-language response",loyalty_betrayal_theme,4,24,16.666666666666664
