modelKey,effect,lang,comparison,n,mean,sd,standardError,ci95,meanDifference,t,degreesFreedom,effectSize
chatgpt,language,ar,ar translation with English reasoning - English baseline,25,0.04,0.7348469228349533,0.14696938456699066,-0.2480599937513017|0.3280599937513017,0.04,0.27216552697590873,24,0.054433105395181744
chatgpt,framing,ar,"ar adapted - ar translation, same reasoning language",50,-0.46,0.9521190115972363,0.13464996191940778,-0.7239139253620392|-0.1960860746379608,-0.46,-3.416265355316806,49,-0.4831328798154368
chatgpt,reasoning,ar,"ar reasoning - English reasoning, same ar input",50,0.42,0.702473763036814,0.09934479228979261,0.22528420711200647|0.6147157928879935,0.42,4.227700217791424,49,0.5978870985648319
claude,language,hi,hi translation with English reasoning - English baseline,25,-0.04,0.6110100926607785,0.1222020185321557,-0.27951595632302517|0.19951595632302516,-0.04,-0.32732683535398865,24,-0.06546536707079773
claude,framing,hi,"hi adapted - hi translation, same reasoning language",50,-0.12,0.47979587496419057,0.0678533833545024,-0.2529926313748247|0.012992631374824704,-0.12,-1.7685190342396893,49,-0.2501063603536737
claude,reasoning,hi,"hi reasoning - English reasoning, same hi input",50,-0.2,0.4040610178208843,0.05714285714285715,-0.312|-0.08800000000000001,-0.2,-3.5,49,-0.49497474683058323
claude,language,bn,bn translation with English reasoning - English baseline,25,-0.08,0.6403124237432849,0.12806248474865697,-0.33100247010736766|0.17100247010736763,-0.08,-0.6246950475544243,24,-0.12493900951088485
claude,framing,bn,"bn adapted - bn translation, same reasoning language",50,-0.04,0.5329930887479322,0.07537660547584524,-0.18773814673265668|0.10773814673265666,-0.04,-0.5306686305052325,49,-0.07504787743864566
claude,reasoning,bn,"bn reasoning - English reasoning, same bn input",50,0.08,0.395897327444315,0.05598833697790124,-0.02973714047668642|0.18973714047668644,0.08,1.4288690166235198,49,0.20207259421636892
claude,language,ta,ta translation with English reasoning - English baseline,25,-0.24,0.5228129047119374,0.10456258094238749,-0.4449426586470795|-0.03505734135292052,-0.24,-2.2952761670280175,24,-0.45905523340560356
claude,framing,ta,"ta adapted - ta translation, same reasoning language",50,0.06,0.46991097723995795,0.06645544771207433,-0.07025267751566569|0.19025267751566569,0.06,0.9028605188239303,49,0.12768375906520113
claude,reasoning,ta,"ta reasoning - English reasoning, same ta input",50,-0.14,0.5349041493385445,0.07564687025642129,-0.2882678657025858|0.008267865702585725,-0.14,-1.8507044577712202,49,-0.26172913441244045
claude,language,es,es translation with English reasoning - English baseline,25,0,0.5,0.1,-0.196|0.196,0,0,24,0
claude,framing,es,"es adapted - es translation, same reasoning language",50,-0.44,0.6114552731152199,0.08647283400240888,-0.6094867546447214|-0.2705132453552786,-0.44,-5.088303223504192,49,-0.7195947428146365
claude,reasoning,es,"es reasoning - English reasoning, same es input",50,0.2,0.40406101782088444,0.05714285714285716,0.08799999999999998|0.31200000000000006,0.2,3.499999999999999,49,0.4949747468305831
claude,language,ja,ja translation with English reasoning - English baseline,25,-0.12,0.5259911279353169,0.10519822558706338,-0.3261885221506442|0.08618852215064421,-0.12,-1.1407036509440598,24,-0.22814073018881195
claude,framing,ja,"ja adapted - ja translation, same reasoning language",50,-0.06,0.46991097723995784,0.06645544771207432,-0.19025267751566566|0.07025267751566566,-0.06,-0.9028605188239304,49,-0.12768375906520116
claude,reasoning,ja,"ja reasoning - English reasoning, same ja input",50,0.1,0.46291004988627565,0.0654653670707977,-0.02831211945876347|0.22831211945876348,0.1,1.5275252316519472,49,0.21602468994692872
claude,language,ar,ar translation with English reasoning - English baseline,25,-0.04,0.5385164807134503,0.10770329614269006,-0.2510984604396725|0.1710984604396725,-0.04,-0.37139067635410383,24,-0.07427813527082076
claude,framing,ar,"ar adapted - ar translation, same reasoning language",50,-0.42,0.7309485031694879,0.1033717286578603,-0.6226085881694061|-0.2173914118305938,-0.42,-4.063006447247446,49,-0.5745958821706664
claude,reasoning,ar,"ar reasoning - English reasoning, same ar input",50,0.14,0.35050983275386544,0.049569575922564175,0.04284363119177423|0.2371563688082258,0.14,2.8243130467507536,49,0.39941818151021924
gemini_flash,language,hi,hi translation with English reasoning - English baseline,25,-0.08,0.40000000000000013,0.08000000000000003,-0.23680000000000007|0.07680000000000005,-0.08,-0.9999999999999997,24,-0.19999999999999993
gemini_flash,framing,hi,"hi adapted - hi translation, same reasoning language",50,0.02,0.6543418566056453,0.09253791280400944,-0.1613743090958585|0.2013743090958585,0.02,0.21612763238305338,49,0.030565062891970057
gemini_flash,reasoning,hi,"hi reasoning - English reasoning, same hi input",50,-0.1,0.46291004988627565,0.0654653670707977,-0.22831211945876348|0.02831211945876347,-0.1,-1.5275252316519472,49,-0.21602468994692872
gemini_flash,language,bn,bn translation with English reasoning - English baseline,25,-0.04,0.5385164807134504,0.10770329614269007,-0.25109846043967254|0.17109846043967253,-0.04,-0.3713906763541038,24,-0.07427813527082075
gemini_flash,framing,bn,"bn adapted - bn translation, same reasoning language",50,0.04,0.5329930887479322,0.07537660547584524,-0.10773814673265666|0.18773814673265668,0.04,0.5306686305052325,49,0.07504787743864566
gemini_flash,reasoning,bn,"bn reasoning - English reasoning, same bn input",50,0.04,0.6047431568147635,0.0855235974119758,-0.12762625092747254|0.20762625092747256,0.04,0.4677071733467427,49,0.06614378277661477
gemini_flash,language,ta,ta translation with English reasoning - English baseline,25,-0.08,0.4932882862316248,0.09865765724632496,-0.2733690082027969|0.1133690082027969,-0.08,-0.810884854079383,24,-0.16217697081587662
gemini_flash,framing,ta,"ta adapted - ta translation, same reasoning language",50,0.06,0.4242640687119283,0.05999999999999996,-0.05759999999999993|0.17759999999999992,0.06,1.0000000000000007,49,0.1414213562373096
gemini_flash,reasoning,ta,"ta reasoning - English reasoning, same ta input",50,-0.1,0.4164965639175214,0.05890150893739514,-0.21544695751729448|0.015446957517294468,-0.1,-1.6977493752543313,49,-0.24009801919951243
gemini_flash,language,es,es translation with English reasoning - English baseline,25,0,0.28867513459481287,0.057735026918962574,-0.11316065276116664|0.11316065276116664,0,0,24,0
gemini_flash,framing,es,"es adapted - es translation, same reasoning language",50,-0.46,0.6455499158682861,0.09129454462097407,-0.6389373074571092|-0.28106269254289085,-0.46,-5.038636228591465,49,-0.7125707690338472
gemini_flash,reasoning,es,"es reasoning - English reasoning, same es input",50,-0.22,0.5066899385990916,0.07165677830848262,-0.3604472854846259|-0.07955271451537407,-0.22,-3.0701910578912637,49,-0.43419058331464255
gemini_flash,language,ja,ja translation with English reasoning - English baseline,25,-0.12,0.5259911279353168,0.10519822558706335,-0.32618852215064414|0.08618852215064415,-0.12,-1.14070365094406,24,-0.228140730188812
gemini_flash,framing,ja,"ja adapted - ja translation, same reasoning language",50,-0.3,0.7071067811865472,0.09999999999999995,-0.4959999999999999|-0.10400000000000009,-0.3,-3.0000000000000013,49,-0.4242640687119287
gemini_flash,reasoning,ja,"ja reasoning - English reasoning, same ja input",50,-0.06,0.6824326235712106,0.0965105471660259,-0.24916067244541076|0.12916067244541077,-0.06,-0.621693708738204,49,-0.08792076745395966
gemini_flash,language,ar,ar translation with English reasoning - English baseline,25,-0.08,0.6403124237432849,0.12806248474865697,-0.33100247010736766|0.17100247010736763,-0.08,-0.6246950475544243,24,-0.12493900951088485
gemini_flash,framing,ar,"ar adapted - ar translation, same reasoning language",50,-0.5,0.9313146293146641,0.13170777796132696,-0.7581472448042008|-0.24185275519579919,-0.5,-3.796283011826483,49,-0.5368754921931593
gemini_flash,reasoning,ar,"ar reasoning - English reasoning, same ar input",50,0.02,0.6223720260226279,0.08801669600428211,-0.15251272416839293|0.1925127241683929,0.02,0.22722961560641833,49,0.032135120416342186
