modelKey,scenarioId,conditionId,inputLang,reasoningLang,scenarioVersion,absoluteDifference,modelRating,referenceRating
chatgpt,S16,hi_translation_reason_en,hi,en,translation,2,3,5
chatgpt,S17,hi_translation_reason_en,hi,en,translation,1,7,6
chatgpt,S18,hi_translation_reason_en,hi,en,translation,0,7,7
chatgpt,S19,hi_translation_reason_en,hi,en,translation,0,6,6
chatgpt,S20,hi_translation_reason_en,hi,en,translation,2,4,6
chatgpt,S21,hi_translation_reason_en,hi,en,translation,0,6,6
chatgpt,S22,hi_translation_reason_en,hi,en,translation,0,6,6
chatgpt,S23,hi_translation_reason_en,hi,en,translation,0,5,5
chatgpt,S24,hi_translation_reason_en,hi,en,translation,1,7,6
chatgpt,S25,hi_translation_reason_en,hi,en,translation,1,2,1
chatgpt,S01,hi_translation_reason_hi,hi,hi,translation,1,6,7
chatgpt,S02,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S03,hi_translation_reason_hi,hi,hi,translation,0,6,6
chatgpt,S04,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S05,hi_translation_reason_hi,hi,hi,translation,1,7,6
chatgpt,S06,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S07,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S08,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S09,hi_translation_reason_hi,hi,hi,translation,1,7,6
chatgpt,S10,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S11,hi_translation_reason_hi,hi,hi,translation,2,4,6
chatgpt,S12,hi_translation_reason_hi,hi,hi,translation,3,2,5
chatgpt,S13,hi_translation_reason_hi,hi,hi,translation,0,1,1
chatgpt,S14,hi_translation_reason_hi,hi,hi,translation,1,5,6
chatgpt,S15,hi_translation_reason_hi,hi,hi,translation,1,2,1
chatgpt,S16,hi_translation_reason_hi,hi,hi,translation,2,3,5
chatgpt,S17,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S18,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S19,hi_translation_reason_hi,hi,hi,translation,0,6,6
chatgpt,S20,hi_translation_reason_hi,hi,hi,translation,1,5,6
chatgpt,S21,hi_translation_reason_hi,hi,hi,translation,0,7,7
chatgpt,S22,hi_translation_reason_hi,hi,hi,translation,0,6,6
chatgpt,S23,hi_translation_reason_hi,hi,hi,translation,0,5,5
chatgpt,S24,hi_translation_reason_hi,hi,hi,translation,0,6,6
chatgpt,S25,hi_translation_reason_hi,hi,hi,translation,0,2,2
chatgpt,S01,hi_adapted_reason_en,hi,en,adapted,0,6,6
chatgpt,S02,hi_adapted_reason_en,hi,en,adapted,1,7,6
chatgpt,S03,hi_adapted_reason_en,hi,en,adapted,1,5,6
chatgpt,S04,hi_adapted_reason_en,hi,en,adapted,0,7,7
chatgpt,S05,hi_adapted_reason_en,hi,en,adapted,0,6,6
chatgpt,S06,hi_adapted_reason_en,hi,en,adapted,0,7,7
chatgpt,S07,hi_adapted_reason_en,hi,en,adapted,0,7,7
chatgpt,S08,hi_adapted_reason_en,hi,en,adapted,0,7,7
chatgpt,S09,hi_adapted_reason_en,hi,en,adapted,0,6,6
chatgpt,S10,hi_adapted_reason_en,hi,en,adapted,0,6,6
chatgpt,S11,hi_adapted_reason_en,hi,en,adapted,3,3,6
chatgpt,S12,hi_adapted_reason_en,hi,en,adapted,1,3,4
chatgpt,S13,hi_adapted_reason_en,hi,en,adapted,0,1,1
chatgpt,S14,hi_adapted_reason_en,hi,en,adapted,1,5,6
chatgpt,S15,hi_adapted_reason_en,hi,en,adapted,0,1,1
chatgpt,S16,hi_adapted_reason_en,hi,en,adapted,2,3,5
chatgpt,S17,hi_adapted_reason_en,hi,en,adapted,1,7,6
chatgpt,S18,hi_adapted_reason_en,hi,en,adapted,0,6,6
chatgpt,S19,hi_adapted_reason_en,hi,en,adapted,0,6,6
chatgpt,S20,hi_adapted_reason_en,hi,en,adapted,2,4,6
chatgpt,S21,hi_adapted_reason_en,hi,en,adapted,0,6,6
chatgpt,S22,hi_adapted_reason_en,hi,en,adapted,0,5,5
chatgpt,S23,hi_adapted_reason_en,hi,en,adapted,0,5,5
chatgpt,S24,hi_adapted_reason_en,hi,en,adapted,0,6,6
chatgpt,S25,hi_adapted_reason_en,hi,en,adapted,0,3,3
chatgpt,S01,hi_adapted_reason_hi,hi,hi,adapted,1,6,7
chatgpt,S02,hi_adapted_reason_hi,hi,hi,adapted,0,7,7
chatgpt,S03,hi_adapted_reason_hi,hi,hi,adapted,0,6,6
chatgpt,S04,hi_adapted_reason_hi,hi,hi,adapted,0,7,7
chatgpt,S05,hi_adapted_reason_hi,hi,hi,adapted,0,6,6
chatgpt,S06,hi_adapted_reason_hi,hi,hi,adapted,0,7,7
chatgpt,S07,hi_adapted_reason_hi,hi,hi,adapted,0,7,7
chatgpt,S08,hi_adapted_reason_hi,hi,hi,adapted,0,7,7
chatgpt,S09,hi_adapted_reason_hi,hi,hi,adapted,0,6,6
chatgpt,S10,hi_adapted_reason_hi,hi,hi,adapted,0,7,7
chatgpt,S11,hi_adapted_reason_hi,hi,hi,adapted,2,4,6
chatgpt,S12,hi_adapted_reason_hi,hi,hi,adapted,2,2,4
chatgpt,S13,hi_adapted_reason_hi,hi,hi,adapted,0,1,1
chatgpt,S14,hi_adapted_reason_hi,hi,hi,adapted,1,5,6
chatgpt,S15,hi_adapted_reason_hi,hi,hi,adapted,0,1,1
chatgpt,S16,hi_adapted_reason_hi,hi,hi,adapted,2,3,5
chatgpt,S17,hi_adapted_reason_hi,hi,hi,adapted,0,7,7
chatgpt,S18,hi_adapted_reason_hi,hi,hi,adapted,1,6,7
chatgpt,S19,hi_adapted_reason_hi,hi,hi,adapted,0,6,6
chatgpt,S20,hi_adapted_reason_hi,hi,hi,adapted,1,5,6
chatgpt,S21,hi_adapted_reason_hi,hi,hi,adapted,1,7,6
chatgpt,S22,hi_adapted_reason_hi,hi,hi,adapted,1,4,5
chatgpt,S23,hi_adapted_reason_hi,hi,hi,adapted,1,5,6
chatgpt,S24,hi_adapted_reason_hi,hi,hi,adapted,1,7,6
chatgpt,S25,hi_adapted_reason_hi,hi,hi,adapted,0,3,3
chatgpt,S01,bn_translation_reason_en,bn,en,translation,1,6,7
chatgpt,S02,bn_translation_reason_en,bn,en,translation,0,7,7
chatgpt,S03,bn_translation_reason_en,bn,en,translation,0,6,6
chatgpt,S04,bn_translation_reason_en,bn,en,translation,0,7,7
chatgpt,S05,bn_translation_reason_en,bn,en,translation,1,7,6
chatgpt,S06,bn_translation_reason_en,bn,en,translation,0,7,7
chatgpt,S07,bn_translation_reason_en,bn,en,translation,0,7,7
chatgpt,S08,bn_translation_reason_en,bn,en,translation,0,7,7
chatgpt,S09,bn_translation_reason_en,bn,en,translation,0,6,6
chatgpt,S10,bn_translation_reason_en,bn,en,translation,1,6,7
chatgpt,S11,bn_translation_reason_en,bn,en,translation,2,4,6
chatgpt,S12,bn_translation_reason_en,bn,en,translation,2,3,5
chatgpt,S13,bn_translation_reason_en,bn,en,translation,1,2,1
chatgpt,S14,bn_translation_reason_en,bn,en,translation,1,5,6
chatgpt,S15,bn_translation_reason_en,bn,en,translation,1,2,1
chatgpt,S16,bn_translation_reason_en,bn,en,translation,1,4,5
chatgpt,S17,bn_translation_reason_en,bn,en,translation,1,7,6
chatgpt,S18,bn_translation_reason_en,bn,en,translation,0,7,7
chatgpt,S19,bn_translation_reason_en,bn,en,translation,0,6,6
chatgpt,S20,bn_translation_reason_en,bn,en,translation,1,5,6
chatgpt,S21,bn_translation_reason_en,bn,en,translation,1,7,6
chatgpt,S22,bn_translation_reason_en,bn,en,translation,0,6,6
chatgpt,S23,bn_translation_reason_en,bn,en,translation,0,5,5
chatgpt,S24,bn_translation_reason_en,bn,en,translation,0,6,6
chatgpt,S25,bn_translation_reason_en,bn,en,translation,0,2,2
chatgpt,S01,bn_translation_reason_bn,bn,bn,translation,1,6,7
chatgpt,S02,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S03,bn_translation_reason_bn,bn,bn,translation,1,5,6
chatgpt,S04,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S05,bn_translation_reason_bn,bn,bn,translation,1,7,6
chatgpt,S06,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S07,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S08,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S09,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S10,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S11,bn_translation_reason_bn,bn,bn,translation,2,4,6
chatgpt,S12,bn_translation_reason_bn,bn,bn,translation,1,3,4
chatgpt,S13,bn_translation_reason_bn,bn,bn,translation,0,1,1
chatgpt,S14,bn_translation_reason_bn,bn,bn,translation,1,5,6
chatgpt,S15,bn_translation_reason_bn,bn,bn,translation,1,2,1
chatgpt,S16,bn_translation_reason_bn,bn,bn,translation,2,3,5
chatgpt,S17,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S18,bn_translation_reason_bn,bn,bn,translation,0,7,7
chatgpt,S19,bn_translation_reason_bn,bn,bn,translation,1,6,7
chatgpt,S20,bn_translation_reason_bn,bn,bn,translation,1,5,6
chatgpt,S21,bn_translation_reason_bn,bn,bn,translation,1,7,6
chatgpt,S22,bn_translation_reason_bn,bn,bn,translation,0,6,6
chatgpt,S23,bn_translation_reason_bn,bn,bn,translation,0,5,5
chatgpt,S24,bn_translation_reason_bn,bn,bn,translation,1,7,6
chatgpt,S25,bn_translation_reason_bn,bn,bn,translation,1,2,1
chatgpt,S01,bn_adapted_reason_en,bn,en,adapted,0,7,7
chatgpt,S02,bn_adapted_reason_en,bn,en,adapted,1,6,7
chatgpt,S03,bn_adapted_reason_en,bn,en,adapted,0,6,6
chatgpt,S04,bn_adapted_reason_en,bn,en,adapted,0,7,7
chatgpt,S05,bn_adapted_reason_en,bn,en,adapted,0,6,6
chatgpt,S06,bn_adapted_reason_en,bn,en,adapted,0,7,7
chatgpt,S07,bn_adapted_reason_en,bn,en,adapted,0,7,7
chatgpt,S08,bn_adapted_reason_en,bn,en,adapted,0,7,7
chatgpt,S09,bn_adapted_reason_en,bn,en,adapted,0,6,6
chatgpt,S10,bn_adapted_reason_en,bn,en,adapted,0,6,6
chatgpt,S11,bn_adapted_reason_en,bn,en,adapted,2,5,7
chatgpt,S12,bn_adapted_reason_en,bn,en,adapted,2,3,5
chatgpt,S13,bn_adapted_reason_en,bn,en,adapted,0,1,1
chatgpt,S14,bn_adapted_reason_en,bn,en,adapted,0,5,5
chatgpt,S15,bn_adapted_reason_en,bn,en,adapted,1,2,1
chatgpt,S16,bn_adapted_reason_en,bn,en,adapted,2,3,5
chatgpt,S17,bn_adapted_reason_en,bn,en,adapted,0,6,6
chatgpt,S18,bn_adapted_reason_en,bn,en,adapted,0,7,7
chatgpt,S19,bn_adapted_reason_en,bn,en,adapted,0,6,6
chatgpt,S20,bn_adapted_reason_en,bn,en,adapted,1,5,6
chatgpt,S21,bn_adapted_reason_en,bn,en,adapted,0,6,6
chatgpt,S22,bn_adapted_reason_en,bn,en,adapted,0,5,5
chatgpt,S23,bn_adapted_reason_en,bn,en,adapted,0,5,5
chatgpt,S24,bn_adapted_reason_en,bn,en,adapted,0,6,6
chatgpt,S25,bn_adapted_reason_en,bn,en,adapted,1,3,2
chatgpt,S01,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S02,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S03,bn_adapted_reason_bn,bn,bn,adapted,0,6,6
chatgpt,S04,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S05,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S06,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S07,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S08,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S09,bn_adapted_reason_bn,bn,bn,adapted,1,7,6
chatgpt,S10,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S11,bn_adapted_reason_bn,bn,bn,adapted,2,5,7
chatgpt,S12,bn_adapted_reason_bn,bn,bn,adapted,2,2,4
chatgpt,S13,bn_adapted_reason_bn,bn,bn,adapted,0,1,1
chatgpt,S14,bn_adapted_reason_bn,bn,bn,adapted,1,5,6
chatgpt,S15,bn_adapted_reason_bn,bn,bn,adapted,1,2,1
chatgpt,S16,bn_adapted_reason_bn,bn,bn,adapted,1,4,5
chatgpt,S17,bn_adapted_reason_bn,bn,bn,adapted,1,7,6
chatgpt,S18,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S19,bn_adapted_reason_bn,bn,bn,adapted,0,7,7
chatgpt,S20,bn_adapted_reason_bn,bn,bn,adapted,1,5,6
chatgpt,S21,bn_adapted_reason_bn,bn,bn,adapted,0,6,6
chatgpt,S22,bn_adapted_reason_bn,bn,bn,adapted,0,5,5
chatgpt,S23,bn_adapted_reason_bn,bn,bn,adapted,0,5,5
chatgpt,S24,bn_adapted_reason_bn,bn,bn,adapted,0,6,6
chatgpt,S25,bn_adapted_reason_bn,bn,bn,adapted,0,2,2
chatgpt,S01,ta_translation_reason_en,ta,en,translation,0,6,6
chatgpt,S02,ta_translation_reason_en,ta,en,translation,0,7,7
chatgpt,S03,ta_translation_reason_en,ta,en,translation,0,6,6
chatgpt,S04,ta_translation_reason_en,ta,en,translation,1,7,6
chatgpt,S05,ta_translation_reason_en,ta,en,translation,0,6,6
chatgpt,S06,ta_translation_reason_en,ta,en,translation,0,7,7
chatgpt,S07,ta_translation_reason_en,ta,en,translation,0,7,7
chatgpt,S08,ta_translation_reason_en,ta,en,translation,0,7,7
chatgpt,S09,ta_translation_reason_en,ta,en,translation,0,6,6
chatgpt,S10,ta_translation_reason_en,ta,en,translation,0,6,6
chatgpt,S11,ta_translation_reason_en,ta,en,translation,4,3,7
chatgpt,S12,ta_translation_reason_en,ta,en,translation,2,3,5
chatgpt,S13,ta_translation_reason_en,ta,en,translation,1,2,1
chatgpt,S14,ta_translation_reason_en,ta,en,translation,0,5,5
chatgpt,S15,ta_translation_reason_en,ta,en,translation,1,2,1
chatgpt,S16,ta_translation_reason_en,ta,en,translation,2,3,5
chatgpt,S17,ta_translation_reason_en,ta,en,translation,1,7,6
chatgpt,S18,ta_translation_reason_en,ta,en,translation,1,7,6
chatgpt,S19,ta_translation_reason_en,ta,en,translation,1,5,6
chatgpt,S20,ta_translation_reason_en,ta,en,translation,1,5,6
chatgpt,S21,ta_translation_reason_en,ta,en,translation,0,6,6
chatgpt,S22,ta_translation_reason_en,ta,en,translation,0,6,6
chatgpt,S23,ta_translation_reason_en,ta,en,translation,1,4,5
chatgpt,S24,ta_translation_reason_en,ta,en,translation,0,6,6
chatgpt,S25,ta_translation_reason_en,ta,en,translation,1,2,1
chatgpt,S01,ta_translation_reason_ta,ta,ta,translation,1,6,7
chatgpt,S02,ta_translation_reason_ta,ta,ta,translation,0,7,7
chatgpt,S03,ta_translation_reason_ta,ta,ta,translation,0,6,6
chatgpt,S04,ta_translation_reason_ta,ta,ta,translation,0,7,7
chatgpt,S05,ta_translation_reason_ta,ta,ta,translation,0,6,6
chatgpt,S06,ta_translation_reason_ta,ta,ta,translation,0,7,7
chatgpt,S07,ta_translation_reason_ta,ta,ta,translation,0,7,7
chatgpt,S08,ta_translation_reason_ta,ta,ta,translation,0,7,7
chatgpt,S09,ta_translation_reason_ta,ta,ta,translation,0,6,6
chatgpt,S10,ta_translation_reason_ta,ta,ta,translation,0,7,7
chatgpt,S11,ta_translation_reason_ta,ta,ta,translation,3,4,7
chatgpt,S12,ta_translation_reason_ta,ta,ta,translation,2,3,5
chatgpt,S13,ta_translation_reason_ta,ta,ta,translation,0,1,1
chatgpt,S14,ta_translation_reason_ta,ta,ta,translation,1,5,6
chatgpt,S15,ta_translation_reason_ta,ta,ta,translation,1,2,1
chatgpt,S16,ta_translation_reason_ta,ta,ta,translation,0,4,4
chatgpt,S17,ta_translation_reason_ta,ta,ta,translation,0,7,7
chatgpt,S18,ta_translation_reason_ta,ta,ta,translation,0,7,7
chatgpt,S19,ta_translation_reason_ta,ta,ta,translation,0,6,6
chatgpt,S20,ta_translation_reason_ta,ta,ta,translation,0,6,6
chatgpt,S21,ta_translation_reason_ta,ta,ta,translation,1,7,6
chatgpt,S22,ta_translation_reason_ta,ta,ta,translation,1,6,5
chatgpt,S23,ta_translation_reason_ta,ta,ta,translation,0,5,5
chatgpt,S24,ta_translation_reason_ta,ta,ta,translation,0,6,6
chatgpt,S25,ta_translation_reason_ta,ta,ta,translation,1,2,1
chatgpt,S01,ta_adapted_reason_en,ta,en,adapted,1,5,6
chatgpt,S02,ta_adapted_reason_en,ta,en,adapted,0,7,7
chatgpt,S03,ta_adapted_reason_en,ta,en,adapted,1,5,6
chatgpt,S04,ta_adapted_reason_en,ta,en,adapted,0,7,7
chatgpt,S05,ta_adapted_reason_en,ta,en,adapted,0,6,6
chatgpt,S06,ta_adapted_reason_en,ta,en,adapted,0,7,7
chatgpt,S07,ta_adapted_reason_en,ta,en,adapted,0,7,7
chatgpt,S08,ta_adapted_reason_en,ta,en,adapted,0,7,7
chatgpt,S09,ta_adapted_reason_en,ta,en,adapted,0,6,6
chatgpt,S10,ta_adapted_reason_en,ta,en,adapted,0,6,6
chatgpt,S11,ta_adapted_reason_en,ta,en,adapted,3,3,6
chatgpt,S12,ta_adapted_reason_en,ta,en,adapted,2,3,5
chatgpt,S13,ta_adapted_reason_en,ta,en,adapted,1,2,1
chatgpt,S14,ta_adapted_reason_en,ta,en,adapted,1,5,6
chatgpt,S15,ta_adapted_reason_en,ta,en,adapted,1,2,1
chatgpt,S16,ta_adapted_reason_en,ta,en,adapted,2,3,5
chatgpt,S17,ta_adapted_reason_en,ta,en,adapted,1,7,6
chatgpt,S18,ta_adapted_reason_en,ta,en,adapted,1,7,6
chatgpt,S19,ta_adapted_reason_en,ta,en,adapted,0,6,6
chatgpt,S20,ta_adapted_reason_en,ta,en,adapted,2,4,6
chatgpt,S21,ta_adapted_reason_en,ta,en,adapted,0,6,6
chatgpt,S22,ta_adapted_reason_en,ta,en,adapted,0,5,5
chatgpt,S23,ta_adapted_reason_en,ta,en,adapted,2,3,5
chatgpt,S24,ta_adapted_reason_en,ta,en,adapted,0,6,6
chatgpt,S25,ta_adapted_reason_en,ta,en,adapted,0,2,2
chatgpt,S01,ta_adapted_reason_ta,ta,ta,adapted,0,6,6
chatgpt,S02,ta_adapted_reason_ta,ta,ta,adapted,0,7,7
chatgpt,S03,ta_adapted_reason_ta,ta,ta,adapted,1,5,6
chatgpt,S04,ta_adapted_reason_ta,ta,ta,adapted,0,7,7
chatgpt,S05,ta_adapted_reason_ta,ta,ta,adapted,0,6,6
chatgpt,S06,ta_adapted_reason_ta,ta,ta,adapted,0,7,7
chatgpt,S07,ta_adapted_reason_ta,ta,ta,adapted,0,7,7
chatgpt,S08,ta_adapted_reason_ta,ta,ta,adapted,0,7,7
chatgpt,S09,ta_adapted_reason_ta,ta,ta,adapted,1,7,6
chatgpt,S10,ta_adapted_reason_ta,ta,ta,adapted,0,7,7
chatgpt,S11,ta_adapted_reason_ta,ta,ta,adapted,3,4,7
chatgpt,S12,ta_adapted_reason_ta,ta,ta,adapted,2,3,5
chatgpt,S13,ta_adapted_reason_ta,ta,ta,adapted,0,1,1
chatgpt,S14,ta_adapted_reason_ta,ta,ta,adapted,1,5,6
chatgpt,S15,ta_adapted_reason_ta,ta,ta,adapted,1,2,1
chatgpt,S16,ta_adapted_reason_ta,ta,ta,adapted,0,4,4
chatgpt,S17,ta_adapted_reason_ta,ta,ta,adapted,1,7,6
chatgpt,S18,ta_adapted_reason_ta,ta,ta,adapted,0,7,7
chatgpt,S19,ta_adapted_reason_ta,ta,ta,adapted,0,6,6
chatgpt,S20,ta_adapted_reason_ta,ta,ta,adapted,1,5,6
chatgpt,S21,ta_adapted_reason_ta,ta,ta,adapted,1,7,6
chatgpt,S22,ta_adapted_reason_ta,ta,ta,adapted,1,5,6
chatgpt,S23,ta_adapted_reason_ta,ta,ta,adapted,0,5,5
chatgpt,S24,ta_adapted_reason_ta,ta,ta,adapted,0,6,6
chatgpt,S25,ta_adapted_reason_ta,ta,ta,adapted,1,2,1
chatgpt,S01,es_translation_reason_en,es,en,translation,0,7,7
chatgpt,S02,es_translation_reason_en,es,en,translation,0,7,7
chatgpt,S03,es_translation_reason_en,es,en,translation,1,7,6
chatgpt,S04,es_translation_reason_en,es,en,translation,0,7,7
chatgpt,S05,es_translation_reason_en,es,en,translation,0,6,6
chatgpt,S06,es_translation_reason_en,es,en,translation,0,7,7
chatgpt,S07,es_translation_reason_en,es,en,translation,0,7,7
chatgpt,S08,es_translation_reason_en,es,en,translation,0,7,7
chatgpt,S09,es_translation_reason_en,es,en,translation,0,6,6
chatgpt,S10,es_translation_reason_en,es,en,translation,0,7,7
chatgpt,S11,es_translation_reason_en,es,en,translation,3,4,7
chatgpt,S12,es_translation_reason_en,es,en,translation,1,3,4
chatgpt,S13,es_translation_reason_en,es,en,translation,1,2,1
chatgpt,S14,es_translation_reason_en,es,en,translation,1,4,5
chatgpt,S15,es_translation_reason_en,es,en,translation,1,2,1
chatgpt,S16,es_translation_reason_en,es,en,translation,2,3,5
chatgpt,S17,es_translation_reason_en,es,en,translation,1,7,6
chatgpt,S18,es_translation_reason_en,es,en,translation,0,7,7
chatgpt,S19,es_translation_reason_en,es,en,translation,1,7,6
chatgpt,S20,es_translation_reason_en,es,en,translation,1,5,6
chatgpt,S21,es_translation_reason_en,es,en,translation,0,6,6
chatgpt,S22,es_translation_reason_en,es,en,translation,0,6,6
chatgpt,S23,es_translation_reason_en,es,en,translation,1,6,5
chatgpt,S24,es_translation_reason_en,es,en,translation,0,6,6
chatgpt,S25,es_translation_reason_en,es,en,translation,0,2,2
chatgpt,S01,es_translation_reason_es,es,es,translation,0,7,7
chatgpt,S02,es_translation_reason_es,es,es,translation,0,7,7
chatgpt,S03,es_translation_reason_es,es,es,translation,0,6,6
chatgpt,S04,es_translation_reason_es,es,es,translation,0,7,7
chatgpt,S05,es_translation_reason_es,es,es,translation,1,7,6
chatgpt,S06,es_translation_reason_es,es,es,translation,0,7,7
chatgpt,S07,es_translation_reason_es,es,es,translation,0,7,7
chatgpt,S08,es_translation_reason_es,es,es,translation,0,7,7
chatgpt,S09,es_translation_reason_es,es,es,translation,1,7,6
chatgpt,S10,es_translation_reason_es,es,es,translation,0,7,7
chatgpt,S11,es_translation_reason_es,es,es,translation,3,4,7
chatgpt,S12,es_translation_reason_es,es,es,translation,2,3,5
chatgpt,S13,es_translation_reason_es,es,es,translation,1,2,1
chatgpt,S14,es_translation_reason_es,es,es,translation,1,4,5
chatgpt,S15,es_translation_reason_es,es,es,translation,1,2,1
chatgpt,S16,es_translation_reason_es,es,es,translation,1,4,5
chatgpt,S17,es_translation_reason_es,es,es,translation,1,7,6
chatgpt,S18,es_translation_reason_es,es,es,translation,0,7,7
chatgpt,S19,es_translation_reason_es,es,es,translation,1,7,6
chatgpt,S20,es_translation_reason_es,es,es,translation,1,5,6
chatgpt,S21,es_translation_reason_es,es,es,translation,1,7,6
chatgpt,S22,es_translation_reason_es,es,es,translation,0,6,6
chatgpt,S23,es_translation_reason_es,es,es,translation,0,5,5
chatgpt,S24,es_translation_reason_es,es,es,translation,0,6,6
chatgpt,S25,es_translation_reason_es,es,es,translation,0,2,2
chatgpt,S01,es_adapted_reason_en,es,en,adapted,0,7,7
chatgpt,S02,es_adapted_reason_en,es,en,adapted,0,7,7
chatgpt,S03,es_adapted_reason_en,es,en,adapted,1,7,6
chatgpt,S04,es_adapted_reason_en,es,en,adapted,0,7,7
chatgpt,S05,es_adapted_reason_en,es,en,adapted,0,6,6
chatgpt,S06,es_adapted_reason_en,es,en,adapted,0,7,7
chatgpt,S07,es_adapted_reason_en,es,en,adapted,1,7,6
chatgpt,S08,es_adapted_reason_en,es,en,adapted,0,7,7
chatgpt,S09,es_adapted_reason_en,es,en,adapted,0,6,6
chatgpt,S10,es_adapted_reason_en,es,en,adapted,2,4,6
chatgpt,S11,es_adapted_reason_en,es,en,adapted,3,3,6
chatgpt,S12,es_adapted_reason_en,es,en,adapted,1,3,4
chatgpt,S13,es_adapted_reason_en,es,en,adapted,1,2,1
chatgpt,S14,es_adapted_reason_en,es,en,adapted,1,5,6
chatgpt,S15,es_adapted_reason_en,es,en,adapted,0,1,1
chatgpt,S16,es_adapted_reason_en,es,en,adapted,2,3,5
chatgpt,S17,es_adapted_reason_en,es,en,adapted,0,6,6
chatgpt,S18,es_adapted_reason_en,es,en,adapted,0,7,7
chatgpt,S19,es_adapted_reason_en,es,en,adapted,0,6,6
chatgpt,S20,es_adapted_reason_en,es,en,adapted,1,5,6
chatgpt,S21,es_adapted_reason_en,es,en,adapted,0,5,5
chatgpt,S22,es_adapted_reason_en,es,en,adapted,0,6,6
chatgpt,S23,es_adapted_reason_en,es,en,adapted,0,4,4
chatgpt,S24,es_adapted_reason_en,es,en,adapted,0,6,6
chatgpt,S25,es_adapted_reason_en,es,en,adapted,0,2,2
