responseId,runId,modelKey,scenarioId,conditionId,inputLang,reasoningLang,scenarioVersion,code,status,codedAt
full_1782215308316_vrq93w__chatgpt__S21__hi_translation_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S21,hi_translation_reason_en,hi,en,translation,Sanctity/Degradation,coded,2026-06-29T15:01:45.869Z
full_1782215308316_vrq93w__chatgpt__S21__hi_translation_reason_hi__qualitative,full_1782215308316_vrq93w,chatgpt,S21,hi_translation_reason_hi,hi,hi,translation,Sanctity/Degradation,coded,2026-06-29T15:02:51.329Z
full_1782215308316_vrq93w__chatgpt__S21__ta_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S21,ta_adapted_reason_en,ta,en,adapted,Sanctity/Degradation,coded,2026-06-29T15:13:15.048Z
full_1782215308316_vrq93w__claude__S01__ar_adapted_reason_en__qualitative,full_1782215308316_vrq93w,claude,S01,ar_adapted_reason_en,ar,en,adapted,Care/Harm,coded,2026-06-29T15:13:38.582Z
full_1782215308316_vrq93w__claude__S01__bn_adapted_reason_en__qualitative,full_1782215308316_vrq93w,claude,S01,bn_adapted_reason_en,bn,en,adapted,Care/Harm,coded,2026-06-29T15:14:10.234Z
full_1782215308316_vrq93w__claude__S01__es_translation_reason_es__qualitative,full_1782215308316_vrq93w,claude,S01,es_translation_reason_es,es,es,translation,Care/Harm,coded,2026-06-29T15:14:19.887Z
full_1782215308316_vrq93w__claude__S01__hi_translation_reason_en__qualitative,full_1782215308316_vrq93w,claude,S01,hi_translation_reason_en,hi,en,translation,Care/Harm,coded,2026-06-29T15:14:22.874Z
full_1782215308316_vrq93w__claude__S01__ta_adapted_reason_en__qualitative,full_1782215308316_vrq93w,claude,S01,ta_adapted_reason_en,ta,en,adapted,Care/Harm,coded,2026-06-29T15:14:28.408Z
full_1782215308316_vrq93w__claude__S06__es_adapted_reason_en__qualitative,full_1782215308316_vrq93w,claude,S06,es_adapted_reason_en,es,en,adapted,Loyalty/Betrayal,coded,2026-06-29T15:14:33.407Z
full_1782215308316_vrq93w__claude__S06__es_translation_reason_en__qualitative,full_1782215308316_vrq93w,claude,S06,es_translation_reason_en,es,en,translation,Loyalty/Betrayal,coded,2026-06-29T15:14:38.694Z
full_1782215308316_vrq93w__claude__S06__es_translation_reason_es__qualitative,full_1782215308316_vrq93w,claude,S06,es_translation_reason_es,es,es,translation,Loyalty/Betrayal,coded,2026-06-29T15:14:40.192Z
full_1782215308316_vrq93w__claude__S06__ja_translation_reason_en__qualitative,full_1782215308316_vrq93w,claude,S06,ja_translation_reason_en,ja,en,translation,Loyalty/Betrayal,coded,2026-06-29T15:14:56.180Z
full_1782215308316_vrq93w__claude__S06__ja_translation_reason_ja__qualitative,full_1782215308316_vrq93w,claude,S06,ja_translation_reason_ja,ja,ja,translation,Loyalty/Betrayal,coded,2026-06-29T15:15:08.181Z
