effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value,cohens_d,n,q_value_bh,fdr_significant_05,fdr_significant_10
framing,bn,pooled,Care/Harm,-0.15151515151515152,-0.4720498860912794,0.1690195830609764,0.3611307157685326,-0.16127983385863243,33,0.5055830020759456,false,false
framing,ta,pooled,Care/Harm,-0.30303030303030304,-0.7074982334072337,0.10143762734662765,0.15174526735229898,-0.25562367177136913,33,0.331942772333154,false,false
framing,es,pooled,Care/Harm,-0.3333333333333333,-0.6119156027046643,-0.054751063962002355,0.02538051574963296,-0.4082482904638631,33,0.10249823668121,false,false
framing,ja,pooled,Care/Harm,0.15151515151515152,-0.05952146962849783,0.3625517726588009,0.16900889021507393,0.24496122264566694,33,0.342854751439134,false,false
framing,ar,pooled,Care/Harm,-0.18181818181818182,-0.41470756664440855,0.05107120300804488,0.13579783500882425,-0.26637086328481074,33,0.3033781420409903,false,false
framing,all,pooled,Care/Harm,-0.13131313131313133,-0.25064412917966916,-0.011982133446593518,0.03223218013398799,-0.1532774835268754,198,0.1091735133570561,false,false
reasoning,hi,pooled,Care/Harm,0.06060606060606061,-0.1289667034561762,0.25017882466829744,0.5353609858506245,0.10907851450936698,33,0.6783292157916351,false,false
reasoning,bn,pooled,Care/Harm,0.06060606060606061,-0.12896670345617617,0.2501788246682974,0.5353609858506245,0.109078514509367,33,0.6783292157916351,false,false
reasoning,ta,pooled,Care/Harm,0.15151515151515152,-0.11985081128556238,0.4228811143158654,0.2819701884035575,0.19050211089414767,33,0.4622039246117047,false,false
reasoning,es,pooled,Care/Harm,-0.18181818181818182,-0.4705057220199864,0.10686935838362277,0.22603247202578158,-0.21488612374010146,33,0.4163756063632819,false,false
reasoning,ja,pooled,Care/Harm,0.2727272727272727,0.05909477759788795,0.48635976785665747,0.017647282258021146,0.4355724051843766,33,0.07720685987884252,false,true
reasoning,ar,pooled,Care/Harm,0.18181818181818182,0.048181818181818215,0.31545454545454543,0.011914159437192984,0.4642070825485277,33,0.06254933704526316,false,true
reasoning,all,pooled,Care/Harm,0.09090909090909091,-0.00024328826252198454,0.1820614700807038,0.052025234260860254,0.1389193627313801,198,0.1606661646291273,false,false
language,hi,pooled,Fairness/Cheating,0,-0.2819244212734059,0.2819244212734059,1,0,30,1,false,false
language,bn,pooled,Fairness/Cheating,0.03333333333333333,-0.25606228473091674,0.3227289513975834,0.8229732745526306,0.04121755616415514,30,0.8728504427073354,false,false
language,ta,pooled,Fairness/Cheating,0.03333333333333333,-0.24037921549659003,0.3070458821632567,0.8130221965166704,0.04357922277299542,30,0.8710952105535754,false,false
language,es,pooled,Fairness/Cheating,0.06666666666666667,-0.21421164925054764,0.34754498258388095,0.6452574929724377,0.08493485944097809,30,0.7612588400236625,false,false
language,ja,pooled,Fairness/Cheating,-0.3333333333333333,-0.604615234188884,-0.06205143247778272,0.022608378663814044,-0.43969686527576396,30,0.09495519038801899,false,true
language,ar,pooled,Fairness/Cheating,-0.23333333333333334,-0.6171756540889597,0.15050898742229296,0.24313261848323364,-0.21753010669640035,30,0.4401538782886126,false,false
language,all,pooled,Fairness/Cheating,-0.07222222222222222,-0.19482035864926217,0.050375914204817726,0.24978086638333208,-0.08606108108974418,180,0.4445252706822012,false,false
framing,hi,pooled,Fairness/Cheating,-0.3,-0.533049942849315,-0.06695005715068506,0.017372355451692245,-0.4606464174952623,30,0.07720685987884252,false,true
framing,bn,pooled,Fairness/Cheating,-0.3,-0.533049942849315,-0.06695005715068506,0.017372355451692245,-0.4606464174952623,30,0.07720685987884252,false,true
framing,ta,pooled,Fairness/Cheating,-0.4,-0.782882473489904,-0.01711752651009596,0.049749398662357835,-0.3738435985068868,30,0.1582935411984113,false,false
framing,es,pooled,Fairness/Cheating,-0.3333333333333333,-0.6633620096677771,-0.003304656998889488,0.057307279502127884,-0.3614285968633786,30,0.1626287661546872,false,false
framing,ja,pooled,Fairness/Cheating,0.26666666666666666,-0.02951552847731309,0.5628488618106464,0.0881489495494896,0.3221849344569846,30,0.2373240949409335,false,false
framing,ar,pooled,Fairness/Cheating,-0.26666666666666666,-0.7264074565360579,0.19307412320272455,0.26489867284430435,-0.2075635732841947,30,0.4486187201395477,false,false
framing,all,pooled,Fairness/Cheating,-0.2222222222222222,-0.3599569825317782,-0.0844874619126662,0.0018390366874025954,-0.23570226039551595,180,0.02798138646491588,true,true
reasoning,hi,pooled,Fairness/Cheating,0.06666666666666667,-0.14206179541080394,0.27539512874413724,0.5362030943876734,0.11429375776070648,30,0.6783292157916351,false,false
reasoning,bn,pooled,Fairness/Cheating,0.1,-0.09599999999999997,0.296,0.3255819883298672,0.18257418583505539,30,0.4748070663143896,false,false
reasoning,ta,pooled,Fairness/Cheating,0.1,-0.09599999999999995,0.29599999999999993,0.3255819883298672,0.18257418583505544,30,0.4748070663143896,false,false
reasoning,es,pooled,Fairness/Cheating,-0.16666666666666666,-0.35656399726555205,0.02323066393221873,0.09604701230988022,-0.3140691894826885,30,0.2459740559155469,false,false
reasoning,ja,pooled,Fairness/Cheating,0.3333333333333333,0.1377091726053282,0.5289574940613384,0.0023162287902018797,0.6097498436202111,30,0.02798138646491588,true,true
reasoning,ar,pooled,Fairness/Cheating,0.4,0.14092933551750347,0.6590706644824966,0.005150605165275879,0.5525062514530825,30,0.03862953873956909,true,true
reasoning,all,pooled,Fairness/Cheating,0.1388888888888889,0.050498300805103785,0.227279476972674,0.002398404554135647,0.22955211524630928,180,0.02798138646491588,true,true
language,hi,pooled,Loyalty/Betrayal,0.06666666666666667,-0.19802440606657523,0.33135773939990854,0.6252664335934286,0.09012907022553758,30,0.7546319026127587,false,false
language,bn,pooled,Loyalty/Betrayal,-0.1,-0.296,0.09599999999999997,0.3255819883298672,-0.18257418583505539,30,0.4748070663143896,false,false
language,ta,pooled,Loyalty/Betrayal,-0.43333333333333335,-0.6573668557291751,-0.20929981093749164,0.0007032822603121325,-0.6921568708897166,30,0.02461487911092464,true,true
language,es,pooled,Loyalty/Betrayal,-0.2,-0.373280982368449,-0.026719017631551045,0.03135169067915533,-0.41302328662451665,30,0.1091735133570561,false,false
language,ja,pooled,Loyalty/Betrayal,-0.06666666666666667,-0.34754498258388095,0.21421164925054764,0.6452574929724377,-0.08493485944097809,30,0.7612588400236625,false,false
language,ar,pooled,Loyalty/Betrayal,-0.03333333333333333,-0.29040782646549357,0.22374115979882692,0.8011795030744202,-0.04639970304285078,30,0.8710952105535754,false,false
language,all,pooled,Loyalty/Betrayal,-0.12777777777777777,-0.22547992532401784,-0.030075630231537698,0.011188864861532366,-0.1910605571557533,180,0.0618332005505736,false,true
framing,hi,pooled,Loyalty/Betrayal,-0.2,-0.39712321836453157,-0.002876781635468423,0.056254969909166785,-0.36306773723119745,30,0.1626287661546872,false,false
framing,bn,pooled,Loyalty/Betrayal,0.03333333333333333,-0.18672294647600296,0.2533896131426696,0.7686637844359518,0.0542051340300698,30,0.8586138017635633,false,false
framing,ta,pooled,Loyalty/Betrayal,0.36666666666666664,0.04821360499128968,0.6851197283420436,0.0317323521669266,0.41202298656877706,30,0.1091735133570561,false,false
framing,es,pooled,Loyalty/Betrayal,-0.2,-0.48812130267904735,0.08812130267904733,0.1841413421887168,-0.2483991297480217,30,0.3648083194304767,false,false
framing,ja,pooled,Loyalty/Betrayal,0.13333333333333333,-0.23942023949144833,0.506086906158115,0.4888355698202069,0.1280007062127411,30,0.6415966853890216,false,false
framing,ar,pooled,Loyalty/Betrayal,0,-0.21013405682820777,0.21013405682820777,1,0,30,1,false,false
framing,all,pooled,Loyalty/Betrayal,0.022222222222222223,-0.0922536872247587,0.13669813166920314,0.7040418082466537,0.028359149533581738,180,0.8035259768032461,false,false
reasoning,hi,pooled,Loyalty/Betrayal,-0.03333333333333333,-0.2726156574848281,0.20594899081816143,0.7867584856175913,-0.049849817296457016,30,0.8695751683141799,false,false
reasoning,bn,pooled,Loyalty/Betrayal,0.2,0.002876781635468423,0.39712321836453157,0.056254969909166785,0.36306773723119745,30,0.1626287661546872,false,false
reasoning,ta,pooled,Loyalty/Betrayal,-0.13333333333333333,-0.41104969129398206,0.14438302462731537,0.35447376969256705,-0.17180378179831657,30,0.5029695380772911,false,false
reasoning,es,pooled,Loyalty/Betrayal,0,-0.16276914051333033,0.16276914051333033,1,0,30,1,false,false
reasoning,ja,pooled,Loyalty/Betrayal,0.26666666666666666,0.08028988025427583,0.45304345307905747,0.008903704267855916,0.5120028248509644,30,0.05752848865945319,false,true
reasoning,ar,pooled,Loyalty/Betrayal,0,-0.21013405682820777,0.21013405682820777,1,0,30,1,false,false
reasoning,all,pooled,Loyalty/Betrayal,0.05,-0.039077359163708775,0.13907735916370878,0.27273657072723245,0.08200163088664231,180,0.4545609512120541,false,false
language,hi,pooled,Sanctity/Degradation,0.14814814814814814,-0.023873086777599778,0.3201693830738961,0.10337436361381802,0.32485410220892774,27,0.2584359090345451,false,false
language,bn,pooled,Sanctity/Degradation,0.14814814814814814,-0.07874558018041986,0.37504187647671616,0.21193033419918073,0.24629065000752978,27,0.3973693766234638,false,false
language,ta,pooled,Sanctity/Degradation,-0.14814814814814814,-0.34948377492619426,0.05318747862989798,0.16117895970766538,-0.27755546659548436,27,0.3384758153860973,false,false
language,es,pooled,Sanctity/Degradation,-0.07407407407407407,-0.3287457359765596,0.18059758782841145,0.5735119822917614,-0.10971343143406388,27,0.7084559781251171,false,false
language,ja,pooled,Sanctity/Degradation,0.037037037037037035,-0.18443215241881372,0.2585062264928878,0.7457048469580649,0.06308078786261008,27,0.8419248272107184,false,false
language,ar,pooled,Sanctity/Degradation,0.18518518518518517,-0.07186293562972601,0.44223330600009636,0.16979473404604728,0.27174777457774557,27,0.342854751439134,false,false
language,all,pooled,Sanctity/Degradation,0.04938271604938271,-0.042729129491556384,0.1414945615903218,0.2949301233236592,0.08255778884445776,162,0.4622039246117047,false,false
framing,hi,pooled,Sanctity/Degradation,0,-0.2339308588528814,0.2339308588528814,1,0,27,1,false,false
framing,bn,pooled,Sanctity/Degradation,-0.2222222222222222,-0.4855027174801996,0.041058273035755155,0.1100825792952358,-0.31837795529394614,27,0.2688062982790642,false,false
framing,ta,pooled,Sanctity/Degradation,-0.18518518518518517,-0.41998085607744806,0.049610485707077684,0.13422300670764886,-0.29750231137309024,27,0.3033781420409903,false,false
framing,es,pooled,Sanctity/Degradation,-0.48148148148148145,-0.7841552963694655,-0.17880766659349745,0.004412390189922011,-0.6000382376103702,27,0.03862953873956909,true,true
framing,ja,pooled,Sanctity/Degradation,-0.1111111111111111,-0.3021148575379753,0.07989263531575305,0.2646080023134534,-0.21942686286812776,27,0.4486187201395477,false,false
framing,ar,pooled,Sanctity/Degradation,-0.5925925925925926,-0.9276818581174688,-0.2575033270677163,0.0018481730204056301,-0.6670676692091927,27,0.02798138646491588,true,true
framing,all,pooled,Sanctity/Degradation,-0.2654320987654321,-0.3763887875448306,-0.15447540998603357,0.000005827273916736431,-0.36838209828717244,162,0.0003059318806286626,true,true
reasoning,hi,pooled,Sanctity/Degradation,-0.037037037037037035,-0.2018373501094728,0.12776327603539872,0.663224187465574,-0.08477199283006336,27,0.7652586778448931,false,false
reasoning,bn,pooled,Sanctity/Degradation,0.07407407407407407,-0.10487694531946234,0.2530250934676105,0.4245515428207032,0.15613714865122832,27,0.5642773670401751,false,false
reasoning,ta,pooled,Sanctity/Degradation,0.14814814814814814,-0.05318747862989798,0.34948377492619426,0.16117895970766538,0.27755546659548436,27,0.3384758153860973,false,false
reasoning,es,pooled,Sanctity/Degradation,-0.1111111111111111,-0.35271386324476645,0.13049164102254424,0.37565662771059527,-0.1734721666221777,27,0.518999288284375,false,false
reasoning,ja,pooled,Sanctity/Degradation,0.037037037037037035,-0.0902987939142057,0.16437286798827977,0.5735119822917614,0.1097134314340639,27,0.7084559781251171,false,false
reasoning,ar,pooled,Sanctity/Degradation,0.14814814814814814,-0.07874558018041977,0.37504187647671605,0.21193033419918073,0.24629065000752987,27,0.3973693766234638,false,false
reasoning,all,pooled,Sanctity/Degradation,0.043209876543209874,-0.03609264683558046,0.1225123999220002,0.2871404526708703,0.08390630239694885,162,0.4622039246117047,false,false
