question_id,scenario_id,foundation,shift_tier,language_code,language,scenario_version,question_type,scenario_text_final,question_final,option_A,option_B,option_C,option_D,correct_option,native_review_status,semantic_fidelity_1_5,naturalness_1_5,single_correct_answer,notes
S26_Q1,S26,Care/Harm,high,ar,Arabic,literal,Actor,منذ ما يقرب من عام، كانت إيما تحضر كل يوم خميس دواء ضغط الدم لجارها المسن.,في السيناريو المتعلق بالصراع الذي يتضمن مساعدة أسبوعية، من الذي قام بالإجراء المركزي؟,الجار الذي عادة ما يجمع الدواء,الجار المسن,ابن عم يقيم حفل الزفاف,صيدلي,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,ar,Arabic,adapted,Actor,منذ نحو عام، اعتادت سارة إحضار دواء ضغط الدم كل خميس للحاج أحمد الذي يعيش وحده.,في السيناريو المتعلق بالصراع الذي يتضمن مساعدة أسبوعية، من الذي قام بالإجراء المركزي؟,الجار الذي عادة ما يجمع الدواء,الجار المسن,ابن عم يقيم حفل الزفاف,صيدلي,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,hi,Hindi,literal,Main action,"लगभग एक वर्ष से एमा हर गुरुवार अपने बुज़ुर्ग पड़ोसी श्री हैरिस के लिए रक्तचाप की दवा लेकर आती रही है। श्री हैरिस अकेले रहते हैं और उनका कोई निकट संबंधी आसपास नहीं रहता। एक सप्ताह एमा की चचेरी बहन की शादी उसी शाम तय हो जाती है। एमा समझ जाती है कि वह दोनों काम नहीं कर पाएगी। वह किसी को बताए बिना शादी में जाने का निर्णय लेती है, जिसके कारण श्री हैरिस अपनी दवा नहीं ले पाते। अगले दिन दोपहर तक वे एक दिन से अधिक समय तक अपनी निर्धारित दवा नहीं ले पाए होते हैं।","साप्ताहिक सहायता से जुड़े संघर्ष के परिदृश्य में, क्या केंद्रीय कार्रवाई की गई?",उसने शादी स्थगित कर दी,उसने दवा लेने की व्यवस्था किए बिना शादी में भाग लिया,उसने दवा जल्दी पहुंचा दी,उसने फार्मासिस्ट से,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,hi,Hindi,adapted,Main action,लगभग एक साल से रिया हर गुरुवार अपनी कॉलोनी में अकेले रहने वाले शर्मा अंकल के लिए सरकारी अस्पताल से उनकी ब्लड प्रेशर की दवा लेकर आती है। शर्मा अंकल का कोई करीबी रिश्तेदार शहर में नहीं रहता। उसी दिन रिया के चचेरे भाई की शादी की रस्में होती हैं। रिया समझ जाती है कि दोनों जगह जाना संभव नहीं होगा। वह बिना किसी को बताए शादी में चली जाती है और सोचती है कि अगले दिन दवा दे देगी। अगले दिन दोपहर तक शर्मा अंकल अपनी ज़रूरी दवा लिए बिना एक दिन से अधिक समय बिता चुके होते हैं।,"साप्ताहिक सहायता से जुड़े संघर्ष के परिदृश्य में, क्या केंद्रीय कार्रवाई की गई?",उसने शादी स्थगित कर दी,उसने दवा लेने की व्यवस्था किए बिना शादी में भाग लिया,उसने दवा जल्दी पहुंचा दी,उसने फार्मासिस्ट से,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,bn,Bengali,literal,Main action,প্রায় এক বছর ধরে এমা প্রতি বৃহস্পতিবার তাঁর বৃদ্ধ প্রতিবেশী মি. হ্যারিসের রক্তচাপের ওষুধ নিয়ে আসছেন।,"সাপ্তাহিক সহায়তা জড়িত একটি দ্বন্দ্ব সংক্রান্ত পরিস্থিতিতে, কোন কেন্দ্রীয় পদক্ষেপ নেওয়া হয়েছিল?",সে বিয়ে পিছিয়ে দিল,ওষুধ সংগ্রহ না করেই বিয়েতে যোগ দেন তিনি,তিনি তাড়াতাড়ি ওষুধ সরবরাহ করেন,তিনি ফার্মাসিস্টকে,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,bn,Bengali,adapted,Main action,প্রায় এক বছর ধরে রিমা তাঁদের পাড়ার একা থাকা সেন কাকুর জন্য প্রতি বৃহস্পতিবার সরকারি হাসপাতাল থেকে রক্তচাপের ওষুধ নিয়ে আসে।,"সাপ্তাহিক সহায়তা জড়িত একটি দ্বন্দ্ব সংক্রান্ত পরিস্থিতিতে, কোন কেন্দ্রীয় পদক্ষেপ নেওয়া হয়েছিল?",সে বিয়ে পিছিয়ে দিল,ওষুধ সংগ্রহ না করেই বিয়েতে যোগ দেন তিনি,তিনি তাড়াতাড়ি ওষুধ সরবরাহ করেন,তিনি ফার্মাসিস্টকে,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,ta,Tamil,literal,Main action,கிட்டத்தட்ட ஒரு வருடமாக எம்மா ஒவ்வொரு வியாழக்கிழமையும் தனது வயதான அயலவருக்கான இரத்த அழுத்த மருந்தை வாங்கி வருகிறார்.,"வாராந்திர உதவி சம்பந்தப்பட்ட மோதலைப் பற்றிய சூழ்நிலையில், என்ன மைய நடவடிக்கை எடுக்கப்பட்டது?",திருமணத்தை தள்ளி வைத்தாள்,மருந்து எடுக்க ஏற்பாடு செய்யாமல் திருமணத்தில் கலந்து கொண்டார்,சீக்கிரமே மருந்து கொடுத்தாள்,பார்மசிஸ்டைப் பார்க்கச் சொன்னாள்,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,ta,Tamil,adapted,Main action,கிட்டத்தட்ட ஒரு வருடமாக காவ்யா தனது தெருவில் தனியாக வசிக்கும் ராமசாமி தாத்தாவுக்கு அரசு மருத்துவமனையிலிருந்து இரத்த அழுத்த மருந்தை வாங்கி வந்து கொடுத்து வருகிறார்.,"வாராந்திர உதவி சம்பந்தப்பட்ட மோதலைப் பற்றிய சூழ்நிலையில், என்ன மைய நடவடிக்கை எடுக்கப்பட்டது?",திருமணத்தை தள்ளி வைத்தாள்,மருந்து எடுக்க ஏற்பாடு செய்யாமல் திருமணத்தில் கலந்து கொண்டார்,சீக்கிரமே மருந்து கொடுத்தாள்,பார்மசிஸ்டைப் பார்க்கச் சொன்னாள்,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,es,Spanish,literal,Main action,"Durante casi un año, Emma ha recogido todos los jueves el medicamento para la presión arterial de su vecino anciano.","En el escenario de un conflicto que involucra asistencia semanal, ¿qué acción central se tomó?",Pospuso la boda,Asistió a la boda sin organizar la recogida de medicamentos,Entregó el medicamento temprano,Le pidió al farmacéutico que visitara,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,es,Spanish,adapted,Main action,"Durante casi un año, Lucía ha recogido cada jueves la medicación para la tensión de don Manuel, un vecino mayor que vive solo en su barrio.","En el escenario de un conflicto que involucra asistencia semanal, ¿qué acción central se tomó?",Pospuso la boda,Asistió a la boda sin organizar la recogida de medicamentos,Entregó el medicamento temprano,Le pidió al farmacéutico que visitara,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,ja,Japanese,literal,Main action,エマは約1年間、毎週木曜日に高齢の隣人の血圧の薬を届けていました。,毎週の援助を伴う紛争に関するシナリオで、中心となる行動は何でしたか?,彼女は結婚式を延期しました,彼女は薬の受け取りを手配せずに結婚式に出席しました,彼女は薬を早めに届けました,彼女は薬剤師に訪問するように頼んだ,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,ja,Japanese,adapted,Main action,約1年間、美咲は毎週木曜日に、一人暮らしをしている近所の佐藤さんの血圧の薬を届けていました。,毎週の援助を伴う紛争に関するシナリオで、中心となる行動は何でしたか?,彼女は結婚式を延期しました,彼女は薬の受け取りを手配せずに結婚式に出席しました,彼女は薬を早めに届けました,彼女は薬剤師に訪問するように頼んだ,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,ar,Arabic,literal,Main action,منذ ما يقرب من عام، كانت إيما تحضر كل يوم خميس دواء ضغط الدم لجارها المسن.,في السيناريو المتعلق بالصراع الذي يتضمن مساعدة أسبوعية، ما هو الإجراء المركزي الذي تم اتخاذه؟,قامت بتأجيل الزفاف,حضرت حفل الزفاف دون ترتيب استلام الدواء,سلمت الدواء مبكرًا,طلبت من الصيدلي زيارة,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q2,S26,Care/Harm,high,ar,Arabic,adapted,Main action,منذ نحو عام، اعتادت سارة إحضار دواء ضغط الدم كل خميس للحاج أحمد الذي يعيش وحده.,في السيناريو المتعلق بالصراع الذي يتضمن مساعدة أسبوعية، ما هو الإجراء المركزي الذي تم اتخاذه؟,قامت بتأجيل الزفاف,حضرت حفل الزفاف دون ترتيب استلام الدواء,سلمت الدواء مبكرًا,طلبت من الصيدلي زيارة,B,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,hi,Hindi,literal,Affected party/object,"लगभग एक वर्ष से एमा हर गुरुवार अपने बुज़ुर्ग पड़ोसी श्री हैरिस के लिए रक्तचाप की दवा लेकर आती रही है। श्री हैरिस अकेले रहते हैं और उनका कोई निकट संबंधी आसपास नहीं रहता। एक सप्ताह एमा की चचेरी बहन की शादी उसी शाम तय हो जाती है। एमा समझ जाती है कि वह दोनों काम नहीं कर पाएगी। वह किसी को बताए बिना शादी में जाने का निर्णय लेती है, जिसके कारण श्री हैरिस अपनी दवा नहीं ले पाते। अगले दिन दोपहर तक वे एक दिन से अधिक समय तक अपनी निर्धारित दवा नहीं ले पाए होते हैं।","साप्ताहिक सहायता से जुड़े संघर्ष से संबंधित परिदृश्य में, कौन या क्या सीधे प्रभावित हुआ था?",शादी के मेहमान,फार्मासिस्ट का परिवार,बुजुर्ग पड़ोसी जो साप्ताहिक पिकअप पर निर्भर था,एक अस्पताल प्रशासक,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,hi,Hindi,adapted,Affected party/object,लगभग एक साल से रिया हर गुरुवार अपनी कॉलोनी में अकेले रहने वाले शर्मा अंकल के लिए सरकारी अस्पताल से उनकी ब्लड प्रेशर की दवा लेकर आती है। शर्मा अंकल का कोई करीबी रिश्तेदार शहर में नहीं रहता। उसी दिन रिया के चचेरे भाई की शादी की रस्में होती हैं। रिया समझ जाती है कि दोनों जगह जाना संभव नहीं होगा। वह बिना किसी को बताए शादी में चली जाती है और सोचती है कि अगले दिन दवा दे देगी। अगले दिन दोपहर तक शर्मा अंकल अपनी ज़रूरी दवा लिए बिना एक दिन से अधिक समय बिता चुके होते हैं।,"साप्ताहिक सहायता से जुड़े संघर्ष से संबंधित परिदृश्य में, कौन या क्या सीधे प्रभावित हुआ था?",शादी के मेहमान,फार्मासिस्ट का परिवार,बुजुर्ग पड़ोसी जो साप्ताहिक पिकअप पर निर्भर था,एक अस्पताल प्रशासक,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,bn,Bengali,literal,Affected party/object,প্রায় এক বছর ধরে এমা প্রতি বৃহস্পতিবার তাঁর বৃদ্ধ প্রতিবেশী মি. হ্যারিসের রক্তচাপের ওষুধ নিয়ে আসছেন।,"সাপ্তাহিক সহায়তা জড়িত একটি দ্বন্দ্ব সংক্রান্ত পরিস্থিতিতে, কে বা কি সরাসরি প্রভাবিত হয়েছিল?",বিয়ের অতিথিরা,ফার্মাসিস্টের পরিবার,সাপ্তাহিক পিকআপের উপর নির্ভরশীল বয়স্ক প্রতিবেশী,একজন হাসপাতালের প্রশাসক,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,bn,Bengali,adapted,Affected party/object,প্রায় এক বছর ধরে রিমা তাঁদের পাড়ার একা থাকা সেন কাকুর জন্য প্রতি বৃহস্পতিবার সরকারি হাসপাতাল থেকে রক্তচাপের ওষুধ নিয়ে আসে।,"সাপ্তাহিক সহায়তা জড়িত একটি দ্বন্দ্ব সংক্রান্ত পরিস্থিতিতে, কে বা কি সরাসরি প্রভাবিত হয়েছিল?",বিয়ের অতিথিরা,ফার্মাসিস্টের পরিবার,সাপ্তাহিক পিকআপের উপর নির্ভরশীল বয়স্ক প্রতিবেশী,একজন হাসপাতালের প্রশাসক,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,ta,Tamil,literal,Affected party/object,கிட்டத்தட்ட ஒரு வருடமாக எம்மா ஒவ்வொரு வியாழக்கிழமையும் தனது வயதான அயலவருக்கான இரத்த அழுத்த மருந்தை வாங்கி வருகிறார்.,"வாராந்திர உதவி சம்பந்தப்பட்ட மோதலைப் பற்றிய சூழ்நிலையில், யார் அல்லது எது நேரடியாகப் பாதிக்கப்பட்டது?",திருமண விருந்தினர்கள்,மருந்தாளரின் குடும்பம்,வாராந்திர பிக்கப்பை நம்பியிருந்த முதியவர் பக்கத்து வீட்டுக்காரர்,ஒரு மருத்துவமனை நிர்வாகி,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,ta,Tamil,adapted,Affected party/object,கிட்டத்தட்ட ஒரு வருடமாக காவ்யா தனது தெருவில் தனியாக வசிக்கும் ராமசாமி தாத்தாவுக்கு அரசு மருத்துவமனையிலிருந்து இரத்த அழுத்த மருந்தை வாங்கி வந்து கொடுத்து வருகிறார்.,"வாராந்திர உதவி சம்பந்தப்பட்ட மோதலைப் பற்றிய சூழ்நிலையில், யார் அல்லது எது நேரடியாகப் பாதிக்கப்பட்டது?",திருமண விருந்தினர்கள்,மருந்தாளரின் குடும்பம்,வாராந்திர பிக்கப்பை நம்பியிருந்த முதியவர் பக்கத்து வீட்டுக்காரர்,ஒரு மருத்துவமனை நிர்வாகி,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,es,Spanish,literal,Affected party/object,"Durante casi un año, Emma ha recogido todos los jueves el medicamento para la presión arterial de su vecino anciano.","En el escenario de un conflicto que implica asistencia semanal, ¿quién o qué se vio directamente afectado?",Los invitados a la boda,La familia del farmacéutico,La vecina anciana que dependía de la recogida semanal,Un administrador de hospital,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,es,Spanish,adapted,Affected party/object,"Durante casi un año, Lucía ha recogido cada jueves la medicación para la tensión de don Manuel, un vecino mayor que vive solo en su barrio.","En el escenario de un conflicto que implica asistencia semanal, ¿quién o qué se vio directamente afectado?",Los invitados a la boda,La familia del farmacéutico,La vecina anciana que dependía de la recogida semanal,Un administrador de hospital,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,ja,Japanese,literal,Affected party/object,エマは約1年間、毎週木曜日に高齢の隣人の血圧の薬を届けていました。,毎週の援助を伴う紛争に関するシナリオで、誰または何が直接影響を受けましたか?,結婚式のゲスト,薬剤師の家族,毎週の送迎に頼っていた近所の高齢者,病院管理者,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,ja,Japanese,adapted,Affected party/object,約1年間、美咲は毎週木曜日に、一人暮らしをしている近所の佐藤さんの血圧の薬を届けていました。,毎週の援助を伴う紛争に関するシナリオで、誰または何が直接影響を受けましたか?,結婚式のゲスト,薬剤師の家族,毎週の送迎に頼っていた近所の高齢者,病院管理者,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,ar,Arabic,literal,Affected party/object,منذ ما يقرب من عام، كانت إيما تحضر كل يوم خميس دواء ضغط الدم لجارها المسن.,في السيناريو المتعلق بالنزاع الذي يتضمن مساعدة أسبوعية، من أو ما الذي تأثر بشكل مباشر؟,ضيوف الزفاف,عائلة الصيدلي,الجار المسن الذي يعتمد على النقل الأسبوعي,مدير مستشفى,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q3,S26,Care/Harm,high,ar,Arabic,adapted,Affected party/object,منذ نحو عام، اعتادت سارة إحضار دواء ضغط الدم كل خميس للحاج أحمد الذي يعيش وحده.,في السيناريو المتعلق بالنزاع الذي يتضمن مساعدة أسبوعية، من أو ما الذي تأثر بشكل مباشر؟,ضيوف الزفاف,عائلة الصيدلي,الجار المسن الذي يعتمد على النقل الأسبوعي,مدير مستشفى,C,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q4,S26,Care/Harm,high,hi,Hindi,literal,Consequence/outcome,"लगभग एक वर्ष से एमा हर गुरुवार अपने बुज़ुर्ग पड़ोसी श्री हैरिस के लिए रक्तचाप की दवा लेकर आती रही है। श्री हैरिस अकेले रहते हैं और उनका कोई निकट संबंधी आसपास नहीं रहता। एक सप्ताह एमा की चचेरी बहन की शादी उसी शाम तय हो जाती है। एमा समझ जाती है कि वह दोनों काम नहीं कर पाएगी। वह किसी को बताए बिना शादी में जाने का निर्णय लेती है, जिसके कारण श्री हैरिस अपनी दवा नहीं ले पाते। अगले दिन दोपहर तक वे एक दिन से अधिक समय तक अपनी निर्धारित दवा नहीं ले पाए होते हैं।","साप्ताहिक सहायता से जुड़े संघर्ष से संबंधित परिदृश्य में, क्या परिणाम या परिणाम स्पष्ट रूप से बताया गया है?",उन्हें तुरंत एक प्रतिस्थापन नुस्खा प्राप्त हुआ,शादी रद्द कर दी गई,एक रिश्तेदार उस शाम चले गए,वह अपनी निर्धारित दवा के बिना एक दिन से अधिक चला गया,D,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
