question_id,scenario_id,foundation,shift_tier,question_type,scenario_text_en,question_en,option_A,option_B,option_C,option_D,correct_option,ambiguity_flag,ambiguity_note,reviewer_1_status,reviewer_2_status,notes
S05_Q4,S05,Care/Harm,low,Consequence/outcome,"James had promised his younger sister, Clara, that he would accompany her to a medical appointment she had been dreading for months — she has severe anxiety and cannot manage the experience alone. The morning of the appointment, James receives an invitation to a lunch with professional contacts he considers important for his career. He sends Clara a message an hour before her appointment saying he cannot make it. Clara cancels the appointment and does not rebook. Her condition deteriorates over the following months in a way that her doctor later says earlier monitoring would likely have caught.
How blameworthy is James for the consequences of cancelling?","In the scenario concerning missed appointment support, what consequence or outcome is explicitly stated?",She attended alone and recovered,She cancelled the appointment and her condition later deteriorated,The lunch was postponed,The doctor ended her treatment,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S02_Q1,S02,Care/Harm,low,Actor,"David is walking through a park when he sees a young child fall into a shallow ornamental pond and begin struggling. The pond is less than a metre deep. David is physically capable, the path is empty, and no one else is nearby. He watches for a moment, decides he does not want to get his clothes wet before an important meeting, and walks on. A gardener finds the child two minutes later — shaken and frightened. David did not know the child would be found quickly.
How blameworthy is David for placing the child at risk?","In the scenario concerning an incident beside a park pond, who performed the central action?",The gardener,The child,A parent,The passerby who saw the struggling child,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S02_Q2,S02,Care/Harm,low,Main action,"David is walking through a park when he sees a young child fall into a shallow ornamental pond and begin struggling. The pond is less than a metre deep. David is physically capable, the path is empty, and no one else is nearby. He watches for a moment, decides he does not want to get his clothes wet before an important meeting, and walks on. A gardener finds the child two minutes later — shaken and frightened. David did not know the child would be found quickly.
How blameworthy is David for placing the child at risk?","In the scenario concerning an incident beside a park pond, what central action was taken?",He walked on because he did not want his clothes to get wet,He entered the pond immediately,He called the gardener before leaving,He carried the child to a clinic,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S02_Q3,S02,Care/Harm,low,Affected party/object,"David is walking through a park when he sees a young child fall into a shallow ornamental pond and begin struggling. The pond is less than a metre deep. David is physically capable, the path is empty, and no one else is nearby. He watches for a moment, decides he does not want to get his clothes wet before an important meeting, and walks on. A gardener finds the child two minutes later — shaken and frightened. David did not know the child would be found quickly.
How blameworthy is David for placing the child at risk?","In the scenario concerning an incident beside a park pond, who or what was directly affected?",The gardener's equipment,The child struggling in the shallow pond,The meeting organizer,A nearby family,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S02_Q4,S02,Care/Harm,low,Consequence/outcome,"David is walking through a park when he sees a young child fall into a shallow ornamental pond and begin struggling. The pond is less than a metre deep. David is physically capable, the path is empty, and no one else is nearby. He watches for a moment, decides he does not want to get his clothes wet before an important meeting, and walks on. A gardener finds the child two minutes later — shaken and frightened. David did not know the child would be found quickly.
How blameworthy is David for placing the child at risk?","In the scenario concerning an incident beside a park pond, what consequence or outcome is explicitly stated?",The child climbed out before anyone arrived,The passerby missed his meeting,"A gardener found the child two minutes later, shaken and frightened",The pond was permanently closed,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S28_Q1,S28,Fairness/Cheating,high,Actor,"A cashier accidentally gives a customer extra change, and the customer notices the mistake but keeps the money.","In the scenario concerning an error during a cash transaction, who performed the central action?",The customer who noticed the mistake,The cashier,A store manager,The next customer,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S28_Q2,S28,Fairness/Cheating,high,Main action,"A cashier accidentally gives a customer extra change, and the customer notices the mistake but keeps the money.","In the scenario concerning an error during a cash transaction, what central action was taken?",The customer returned the money,The customer kept the extra change,The cashier deliberately issued a refund,The manager cancelled the purchase,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S28_Q3,S28,Fairness/Cheating,high,Affected party/object,"A cashier accidentally gives a customer extra change, and the customer notices the mistake but keeps the money.","In the scenario concerning an error during a cash transaction, who or what was directly affected?",A damaged product,A loyalty card,The money mistakenly given as extra change,The customer's receipt,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S28_Q4,S28,Fairness/Cheating,high,Consequence/outcome,"A cashier accidentally gives a customer extra change, and the customer notices the mistake but keeps the money.","In the scenario concerning an error during a cash transaction, what consequence or outcome is explicitly stated?",The cashier corrected the amount immediately,The purchase was refunded in full,The store closed the register,The customer retained money that had been given by mistake,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S20_Q1,S20,Fairness/Cheating,high,Actor,"Chioma is a senior member of a hiring panel at a law firm. During the interview process, she witnesses a junior panellist make a series of comments about one candidate that are clearly influenced by bias rather than the candidate's qualifications — the candidate is passed over. Chioma says nothing during the meeting. She disagrees privately but calculates that challenging the junior panellist would create friction with a colleague she works with closely. After the process is concluded and the position filled, the passed-over candidate — who was the strongest on paper — has no recourse.
How blameworthy is Chioma for staying silent when she had the power to intervene?","In the scenario concerning a disputed hiring decision, who performed the central action?",The junior panellist,The senior hiring-panel member,The passed-over candidate,The firm's receptionist,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S20_Q2,S20,Fairness/Cheating,high,Main action,"Chioma is a senior member of a hiring panel at a law firm. During the interview process, she witnesses a junior panellist make a series of comments about one candidate that are clearly influenced by bias rather than the candidate's qualifications — the candidate is passed over. Chioma says nothing during the meeting. She disagrees privately but calculates that challenging the junior panellist would create friction with a colleague she works with closely. After the process is concluded and the position filled, the passed-over candidate — who was the strongest on paper — has no recourse.
How blameworthy is Chioma for staying silent when she had the power to intervene?","In the scenario concerning a disputed hiring decision, what central action was taken?",She stopped the meeting and reopened interviews,She reported the comments before the decision,She stayed silent when biased comments influenced the decision,She withdrew from the panel,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S20_Q3,S20,Fairness/Cheating,high,Affected party/object,"Chioma is a senior member of a hiring panel at a law firm. During the interview process, she witnesses a junior panellist make a series of comments about one candidate that are clearly influenced by bias rather than the candidate's qualifications — the candidate is passed over. Chioma says nothing during the meeting. She disagrees privately but calculates that challenging the junior panellist would create friction with a colleague she works with closely. After the process is concluded and the position filled, the passed-over candidate — who was the strongest on paper — has no recourse.
How blameworthy is Chioma for staying silent when she had the power to intervene?","In the scenario concerning a disputed hiring decision, who or what was directly affected?",The firm's clients,The panel chair's assistant,A newly hired receptionist,The strongest candidate who was passed over,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S20_Q4,S20,Fairness/Cheating,high,Consequence/outcome,"Chioma is a senior member of a hiring panel at a law firm. During the interview process, she witnesses a junior panellist make a series of comments about one candidate that are clearly influenced by bias rather than the candidate's qualifications — the candidate is passed over. Chioma says nothing during the meeting. She disagrees privately but calculates that challenging the junior panellist would create friction with a colleague she works with closely. After the process is concluded and the position filled, the passed-over candidate — who was the strongest on paper — has no recourse.
How blameworthy is Chioma for staying silent when she had the power to intervene?","In the scenario concerning a disputed hiring decision, what consequence or outcome is explicitly stated?",The position was filled and the candidate had no recourse,The candidate was hired after an appeal,The panel repeated every interview,The junior panellist resigned,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S18_Q1,S18,Fairness/Cheating,low,Actor,"Lena and Marcus spent four months co-writing a research report for a university module. They divided the work equally and shared drafts throughout. When the time came to submit, Marcus — whose name appears first alphabetically and who handled the final formatting — submitted the report with a cover page that listed himself as the primary author and Lena as a secondary contributor, reversing what they had agreed. Marcus had contributed a larger share of the literature review, though Lena had written most of the analysis sections. The module coordinator, seeing this framing, assigned Marcus the higher individual grade. Marcus did not tell Lena what he had done until after the grades were released.
How blameworthy is Marcus for misrepresenting his contribution to the work?","In the scenario concerning credit for a university report, who performed the central action?",The co-author who wrote half the report,The course tutor,The student who was asked to handle formatting and submission,A library assistant,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S18_Q2,S18,Fairness/Cheating,low,Main action,"Lena and Marcus spent four months co-writing a research report for a university module. They divided the work equally and shared drafts throughout. When the time came to submit, Marcus — whose name appears first alphabetically and who handled the final formatting — submitted the report with a cover page that listed himself as the primary author and Lena as a secondary contributor, reversing what they had agreed. Marcus had contributed a larger share of the literature review, though Lena had written most of the analysis sections. The module coordinator, seeing this framing, assigned Marcus the higher individual grade. Marcus did not tell Lena what he had done until after the grades were released.
How blameworthy is Marcus for misrepresenting his contribution to the work?","In the scenario concerning credit for a university report, what central action was taken?",He listed both students equally,He removed his own name,He asked the tutor to assign authorship,He listed himself as primary author and his co-author as a contributor,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S18_Q3,S18,Fairness/Cheating,low,Affected party/object,"Lena and Marcus spent four months co-writing a research report for a university module. They divided the work equally and shared drafts throughout. When the time came to submit, Marcus — whose name appears first alphabetically and who handled the final formatting — submitted the report with a cover page that listed himself as the primary author and Lena as a secondary contributor, reversing what they had agreed. Marcus had contributed a larger share of the literature review, though Lena had written most of the analysis sections. The module coordinator, seeing this framing, assigned Marcus the higher individual grade. Marcus did not tell Lena what he had done until after the grades were released.
How blameworthy is Marcus for misrepresenting his contribution to the work?","In the scenario concerning credit for a university report, who or what was directly affected?",The co-author whose equal contribution was understated,The tutor's research team,A different class,The university library,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S18_Q4,S18,Fairness/Cheating,low,Consequence/outcome,"Lena and Marcus spent four months co-writing a research report for a university module. They divided the work equally and shared drafts throughout. When the time came to submit, Marcus — whose name appears first alphabetically and who handled the final formatting — submitted the report with a cover page that listed himself as the primary author and Lena as a secondary contributor, reversing what they had agreed. Marcus had contributed a larger share of the literature review, though Lena had written most of the analysis sections. The module coordinator, seeing this framing, assigned Marcus the higher individual grade. Marcus did not tell Lena what he had done until after the grades were released.
How blameworthy is Marcus for misrepresenting his contribution to the work?","In the scenario concerning credit for a university report, what consequence or outcome is explicitly stated?",Both received identical grades after correcting the form,"He received the higher grade, and she learned after grades were released",The report was never submitted,The tutor cancelled the assignment,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S36_Q1,S36,Fairness/Cheating,low,Actor,A manager promotes a less qualified relative instead of the most deserving employee.,"In the scenario concerning a workplace promotion, who performed the central action?",The less qualified relative,The most deserving employee,A customer,The manager making the promotion decision,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S36_Q2,S36,Fairness/Cheating,low,Main action,A manager promotes a less qualified relative instead of the most deserving employee.,"In the scenario concerning a workplace promotion, what central action was taken?",The manager promoted a less qualified relative,The manager ran an anonymous skills test,The manager promoted the strongest employee,The manager cancelled the role,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S36_Q3,S36,Fairness/Cheating,low,Affected party/object,A manager promotes a less qualified relative instead of the most deserving employee.,"In the scenario concerning a workplace promotion, who or what was directly affected?",The manager's customer,The more deserving employee who was not promoted,A supplier,The relative's former school,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S36_Q4,S36,Fairness/Cheating,low,Consequence/outcome,A manager promotes a less qualified relative instead of the most deserving employee.,"In the scenario concerning a workplace promotion, what consequence or outcome is explicitly stated?",The position remained vacant,The deserving employee received two promotions,The less qualified relative received the promotion,The manager transferred departments,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S37_Q1,S37,Loyalty/Betrayal,high,Actor,A soldier reveals confidential information to protect a close friend in another country.,"In the scenario concerning confidential information during military service, who performed the central action?",The soldier with access to confidential information,The friend living abroad,The commanding officer,A journalist,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S37_Q2,S37,Loyalty/Betrayal,high,Main action,A soldier reveals confidential information to protect a close friend in another country.,"In the scenario concerning confidential information during military service, what central action was taken?",The soldier destroyed the information,The soldier revealed confidential information to protect a friend,The friend reported the soldier,The commander released the information publicly,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S37_Q3,S37,Loyalty/Betrayal,high,Affected party/object,A soldier reveals confidential information to protect a close friend in another country.,"In the scenario concerning confidential information during military service, who or what was directly affected?",A sports team's schedule,A school examination,The confidentiality of the military information,A family photograph,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S37_Q4,S37,Loyalty/Betrayal,high,Consequence/outcome,A soldier reveals confidential information to protect a close friend in another country.,"In the scenario concerning confidential information during military service, what consequence or outcome is explicitly stated?",The friend was arrested by the soldier,The information remained completely secret,The operation was publicly cancelled,The information was disclosed for the purpose of protecting the friend,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S42_Q1,S42,Loyalty/Betrayal,high,Actor,A business partner abandons a long-time teammate to accept a more profitable offer from a competitor.,"In the scenario concerning a change in a business partnership, who performed the central action?",The longtime teammate,The partner who received a more profitable offer,A customer,An accountant,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S42_Q2,S42,Loyalty/Betrayal,high,Main action,A business partner abandons a long-time teammate to accept a more profitable offer from a competitor.,"In the scenario concerning a change in a business partnership, what central action was taken?",The partners rejected every new offer,The teammate joined the competitor first,The partner abandoned the teammate to join a competitor,The partners sold the company together,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S42_Q3,S42,Loyalty/Betrayal,high,Affected party/object,A business partner abandons a long-time teammate to accept a more profitable offer from a competitor.,"In the scenario concerning a change in a business partnership, who or what was directly affected?",The competitor's customers,A bank manager,The local government,The longtime teammate in the existing partnership,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S42_Q4,S42,Loyalty/Betrayal,high,Consequence/outcome,A business partner abandons a long-time teammate to accept a more profitable offer from a competitor.,"In the scenario concerning a change in a business partnership, what consequence or outcome is explicitly stated?",The existing partnership was left behind for the competitor's offer,The competitor withdrew the offer,The partners expanded together,The teammate bought the competitor,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S06_Q1,S06,Loyalty/Betrayal,low,Actor,"Nadia and Farrukh had been close friends since university. During a difficult period in her life, Farrukh had told Nadia in confidence that he had been dismissed from a previous job for a reason he was deeply ashamed of — something he had never shared with anyone else in their social circle. Three years later, Nadia is competing with Farrukh for the same promotion at the company where they both now work. During a casual conversation with their shared manager, Nadia mentions what Farrukh had told her. Farrukh does not get the promotion.
How blameworthy is Nadia for using Farrukh's confidence against him?","In the scenario concerning confidential information in a promotion competition, who performed the central action?",The employee with the prior dismissal,The department manager,The colleague competing for the same promotion,A former employer,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S06_Q2,S06,Loyalty/Betrayal,low,Main action,"Nadia and Farrukh had been close friends since university. During a difficult period in her life, Farrukh had told Nadia in confidence that he had been dismissed from a previous job for a reason he was deeply ashamed of — something he had never shared with anyone else in their social circle. Three years later, Nadia is competing with Farrukh for the same promotion at the company where they both now work. During a casual conversation with their shared manager, Nadia mentions what Farrukh had told her. Farrukh does not get the promotion.
How blameworthy is Nadia for using Farrukh's confidence against him?","In the scenario concerning confidential information in a promotion competition, what central action was taken?",She withdrew from the promotion contest,She defended him to the manager,She asked him to disclose it himself,She disclosed her colleague's confidential past dismissal to the manager,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S06_Q3,S06,Loyalty/Betrayal,low,Affected party/object,"Nadia and Farrukh had been close friends since university. During a difficult period in her life, Farrukh had told Nadia in confidence that he had been dismissed from a previous job for a reason he was deeply ashamed of — something he had never shared with anyone else in their social circle. Three years later, Nadia is competing with Farrukh for the same promotion at the company where they both now work. During a casual conversation with their shared manager, Nadia mentions what Farrukh had told her. Farrukh does not get the promotion.
How blameworthy is Nadia for using Farrukh's confidence against him?","In the scenario concerning confidential information in a promotion competition, who or what was directly affected?",The colleague who had shared the information in confidence,The department's customers,A new applicant,The former employer's accountant,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S06_Q4,S06,Loyalty/Betrayal,low,Consequence/outcome,"Nadia and Farrukh had been close friends since university. During a difficult period in her life, Farrukh had told Nadia in confidence that he had been dismissed from a previous job for a reason he was deeply ashamed of — something he had never shared with anyone else in their social circle. Three years later, Nadia is competing with Farrukh for the same promotion at the company where they both now work. During a casual conversation with their shared manager, Nadia mentions what Farrukh had told her. Farrukh does not get the promotion.
How blameworthy is Nadia for using Farrukh's confidence against him?","In the scenario concerning confidential information in a promotion competition, what consequence or outcome is explicitly stated?",Both colleagues were promoted,He did not receive the promotion,The manager ignored the information and resigned,The promotion process was cancelled,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S47_Q1,S47,Loyalty/Betrayal,low,Actor,An employee shares confidential company plans with a competing firm for personal gain.,"In the scenario concerning confidential plans at a company, who performed the central action?",The competitor,The company director,A customer,The employee with access to the plans,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S47_Q2,S47,Loyalty/Betrayal,low,Main action,An employee shares confidential company plans with a competing firm for personal gain.,"In the scenario concerning confidential plans at a company, what central action was taken?",The employee shared confidential company plans with a competitor,The employee encrypted the plans,The competitor returned the plans unread,The director published the plans,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S47_Q3,S47,Loyalty/Betrayal,low,Affected party/object,An employee shares confidential company plans with a competing firm for personal gain.,"In the scenario concerning confidential plans at a company, who or what was directly affected?",A local school,The company whose plans were confidential,The employee's family,A sports club,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S47_Q4,S47,Loyalty/Betrayal,low,Consequence/outcome,An employee shares confidential company plans with a competing firm for personal gain.,"In the scenario concerning confidential plans at a company, what consequence or outcome is explicitly stated?",The plans remained inside the company,The employee donated the plans to a library,The competitor received the plans for the employee's personal gain,The competitor ceased operating,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S48_Q1,S48,Authority/Subversion,high,Actor,A police officer refuses to follow a lawful order from a senior officer during an operation.,"In the scenario concerning an order during a police operation, who performed the central action?",The police officer who received the order,The senior officer,A civilian witness,A dispatcher,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S48_Q2,S48,Authority/Subversion,high,Main action,A police officer refuses to follow a lawful order from a senior officer during an operation.,"In the scenario concerning an order during a police operation, what central action was taken?",The officer followed the order immediately,The officer refused to follow a lawful order,The senior officer withdrew from the operation,A witness issued a new order,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S48_Q3,S48,Authority/Subversion,high,Affected party/object,A police officer refuses to follow a lawful order from a senior officer during an operation.,"In the scenario concerning an order during a police operation, who or what was directly affected?",A private business contract,A school timetable,The operation and its lawful chain of command,A family celebration,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S48_Q4,S48,Authority/Subversion,high,Consequence/outcome,A police officer refuses to follow a lawful order from a senior officer during an operation.,"In the scenario concerning an order during a police operation, what consequence or outcome is explicitly stated?",The operation ended before any order was given,The order was ruled unlawful,The senior officer left the police,The lawful order was not followed during the operation,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S43_Q1,S43,Authority/Subversion,high,Actor,A firefighter refuses to follow the incident commander's evacuation order during an emergency.,"In the scenario concerning an evacuation during an emergency, who performed the central action?",The incident commander,The firefighter who received the evacuation order,A journalist,A building owner,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S43_Q2,S43,Authority/Subversion,high,Main action,A firefighter refuses to follow the incident commander's evacuation order during an emergency.,"In the scenario concerning an evacuation during an emergency, what central action was taken?",The firefighter evacuated immediately,The commander cancelled the emergency,The firefighter refused the commander's order to evacuate,The building owner led the operation,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S43_Q3,S43,Authority/Subversion,high,Affected party/object,A firefighter refuses to follow the incident commander's evacuation order during an emergency.,"In the scenario concerning an evacuation during an emergency, who or what was directly affected?",A routine training schedule,A newspaper report,A property sale,The emergency evacuation directed by incident command,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S43_Q4,S43,Authority/Subversion,high,Consequence/outcome,A firefighter refuses to follow the incident commander's evacuation order during an emergency.,"In the scenario concerning an evacuation during an emergency, what consequence or outcome is explicitly stated?",The evacuation order was not followed,The order was never issued,The emergency became a drill,The commander resigned before arriving,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S12_Q1,S12,Authority/Subversion,low,Actor,"Preethi is a junior doctor in her second year of residency at a large government hospital. Her supervising consultant, Dr. Anand, has managed the ward using the same patient intake protocol for eleven years. During a departmental meeting attended by senior administrators and nursing staff, Preethi raises her hand and presents data she has compiled showing that the protocol is causing measurable delays in treatment for elderly patients. She does this without having first discussed her findings privately with Dr. Anand, who learns about her research at the same moment everyone else does. Dr. Anand does not speak to her directly for the following two weeks.
How blameworthy is Preethi for the way she chose to raise her concerns?","In the scenario concerning a hospital protocol discussion, who performed the central action?",The supervising consultant,A nursing administrator,The junior doctor who compiled the delay data,An elderly patient,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S12_Q2,S12,Authority/Subversion,low,Main action,"Preethi is a junior doctor in her second year of residency at a large government hospital. Her supervising consultant, Dr. Anand, has managed the ward using the same patient intake protocol for eleven years. During a departmental meeting attended by senior administrators and nursing staff, Preethi raises her hand and presents data she has compiled showing that the protocol is causing measurable delays in treatment for elderly patients. She does this without having first discussed her findings privately with Dr. Anand, who learns about her research at the same moment everyone else does. Dr. Anand does not speak to her directly for the following two weeks.
How blameworthy is Preethi for the way she chose to raise her concerns?","In the scenario concerning a hospital protocol discussion, what central action was taken?",She destroyed the data,She discussed it privately and cancelled the meeting,She asked the supervisor to present it,She presented the data publicly without first discussing it with her supervisor,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
