scenario_id,foundation,human_majority_foundation,majority_resolved,majority_matches_intended,num_coders_matching_intended,all_three_disagree,input_language_mad,adaptation_mad,response_language_mad,maximum_observed_shift,nonzero_input_effect_count,nonzero_total_effect_count,eligible,rank_within_foundation,selection_tier,selection_status,selection_rationale,title,scenario_text_en,selection_summary
S06,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.0,0.05555555555555555,0.1111111111111111,1.0,0,5,True,7,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S06,"Nadia and Farrukh had been close friends since university. During a difficult period in her life, Farrukh had told Nadia in confidence that he had been dismissed from a previous job for a reason he was deeply ashamed of — something he had never shared with anyone else in their social circle. Three years later, Nadia is competing with Farrukh for the same promotion at the company where they both now work. During a casual conversation with their shared manager, Nadia mentions what Farrukh had told her. Farrukh does not get the promotion.
How blameworthy is Nadia for using Farrukh's confidence against him?",Primary input-language MAD=0.000; adaptation MAD=0.056; response-language MAD=0.111; maximum shift=1; nonzero effects=5/72.
S47,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.0,0.0,0.0,0.0,0,0,True,8,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S47,An employee shares confidential company plans with a competing firm for personal gain.,Primary input-language MAD=0.000; adaptation MAD=0.000; response-language MAD=0.000; maximum shift=0; nonzero effects=0/72.
S48,Authority/Subversion,Authority/Subversion,True,True,3,False,1.1666666666666667,1.1111111111111112,0.8055555555555556,3.0,12,43,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S48,A police officer refuses to follow a lawful order from a senior officer during an operation.,Primary input-language MAD=1.167; adaptation MAD=1.111; response-language MAD=0.806; maximum shift=3; nonzero effects=43/72.
S43,Authority/Subversion,Authority/Subversion,True,True,3,False,0.8333333333333334,1.1666666666666667,0.6666666666666666,4.0,10,39,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S43,A firefighter refuses to follow the incident commander's evacuation order during an emergency.,Primary input-language MAD=0.833; adaptation MAD=1.167; response-language MAD=0.667; maximum shift=4; nonzero effects=39/72.
S12,Authority/Subversion,Authority/Subversion,True,True,2,False,0.2777777777777778,0.2222222222222222,0.4166666666666667,1.0,5,24,True,5,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S12,"Preethi is a junior doctor in her second year of residency at a large government hospital. Her supervising consultant, Dr. Anand, has managed the ward using the same patient intake protocol for eleven years. During a departmental meeting attended by senior administrators and nursing staff, Preethi raises her hand and presents data she has compiled showing that the protocol is causing measurable delays in treatment for elderly patients. She does this without having first discussed her findings privately with Dr. Anand, who learns about her research at the same moment everyone else does. Dr. Anand does not speak to her directly for the following two weeks.
How blameworthy is Preethi for the way she chose to raise her concerns?",Primary input-language MAD=0.278; adaptation MAD=0.222; response-language MAD=0.417; maximum shift=1; nonzero effects=24/72.
S33,Authority/Subversion,Authority/Subversion,True,True,3,False,0.6111111111111112,1.0555555555555556,0.5,2.0,10,38,True,3,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S33,A laboratory assistant ignores instructions from the supervisor to save time.,Primary input-language MAD=0.611; adaptation MAD=1.056; response-language MAD=0.500; maximum shift=2; nonzero effects=38/72.
S23,Sanctity/Degradation,Sanctity/Degradation,True,True,2,False,0.7777777777777778,0.8333333333333334,0.4444444444444444,3.0,12,34,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S23,"Father Thomas has served a small Catholic parish in a rural town for fourteen years. He is regarded by his congregation as a figure of moral guidance and spiritual constancy — someone whose personal conduct is expected to reflect the values he teaches from the pulpit. Over the past two years, Father Thomas has been quietly conducting a romantic relationship with a woman in a neighbouring town. He has not disclosed this to his bishop or his congregation. The relationship is between two consenting adults and has caused no scandal or disruption. A member of the parish discovers it by accident and tells no one.
How blameworthy is Father Thomas for conducting a relationship that contradicts the vows of his role?",Primary input-language MAD=0.778; adaptation MAD=0.833; response-language MAD=0.444; maximum shift=3; nonzero effects=34/72.
S22,Sanctity/Degradation,Sanctity/Degradation,True,True,3,False,0.5555555555555556,0.7222222222222222,0.2777777777777778,2.0,10,31,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S22,"Anjali comes from a family in which the names of deceased ancestors are considered sacred — they are spoken only during rituals and are never used casually or commercially. Her grandfather's name carries particular significance because he was a respected figure in the community and died under circumstances the family considers spiritually meaningful. Anjali, who runs a small food business, decides to name her new line of packaged snacks after her grandfather without consulting her parents or any elder in the family. The product does well. Her parents learn about it when they see the packaging at a relative's house.
How blameworthy is Anjali for using her grandfather's name commercially without family consent?",Primary input-language MAD=0.556; adaptation MAD=0.722; response-language MAD=0.278; maximum shift=2; nonzero effects=31/72.
S49,Sanctity/Degradation,Sanctity/Degradation,True,True,3,False,0.05555555555555555,0.3333333333333333,0.1111111111111111,1.0,1,11,True,9,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S49,People intentionally vandalize a cemetery by leaving trash and damaging memorials.,Primary input-language MAD=0.056; adaptation MAD=0.333; response-language MAD=0.111; maximum shift=1; nonzero effects=11/72.
S24,Sanctity/Degradation,Sanctity/Degradation,True,True,2,False,0.1111111111111111,0.2222222222222222,0.3055555555555556,1.0,2,17,True,8,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S24,"Siddharth inherited a set of silk garments that had been worn by his great-grandmother during her wedding ceremony three generations ago. In his family, these garments were kept in a specific trunk, never washed with commercial detergent, and brought out only during weddings and major religious occasions — this treatment had been observed without exception for sixty years. When Siddharth moves to a new city and needs to raise money quickly, he sells the garments to a vintage clothing dealer without telling his mother, who is still living. The dealer sells them to a customer who wears them to a themed fancy-dress party. Siddharth's mother learns what happened from a cousin.
How blameworthy is Siddharth for selling the garments without his mother's knowledge?",Primary input-language MAD=0.111; adaptation MAD=0.222; response-language MAD=0.306; maximum shift=1; nonzero effects=17/72.
