scenario_id,foundation,human_majority_foundation,majority_resolved,majority_matches_intended,num_coders_matching_intended,all_three_disagree,input_language_mad,adaptation_mad,response_language_mad,maximum_observed_shift,nonzero_input_effect_count,nonzero_total_effect_count,eligible,rank_within_foundation,selection_tier,selection_status,selection_rationale
S24,Sanctity/Degradation,Sanctity/Degradation,True,True,2,False,0.1111111111111111,0.2222222222222222,0.3055555555555556,1.0,2,17,True,8,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S25,Sanctity/Degradation,Sanctity/Degradation,True,True,2,False,0.3888888888888889,0.5555555555555556,0.3888888888888889,2.0,7,28,True,4,,Not selected,Eligible but outside the selected high/low extremes.
S26,Care/Harm,Care/Harm,True,True,3,False,3.388888888888889,0.16666666666666666,0.05555555555555555,5.0,16,20,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S27,Care/Harm,Care/Harm,True,True,2,False,0.7222222222222222,1.0,0.5,3.0,12,41,True,4,,Not selected,Eligible but outside the selected high/low extremes.
S28,Fairness/Cheating,Fairness/Cheating,True,True,3,False,1.7777777777777777,1.2777777777777777,0.6944444444444444,4.0,18,48,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S29,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,3,12,True,5,,Not selected,Eligible but outside the selected high/low extremes.
S30,Authority/Subversion,Authority/Subversion,True,True,2,False,0.6111111111111112,0.8888888888888888,0.5,3.0,10,40,True,4,,Not selected,Eligible but outside the selected high/low extremes.
S31,Fairness/Cheating,Loyalty/Betrayal,True,False,1,False,0.3333333333333333,0.8333333333333334,0.3055555555555556,2.0,6,30,False,,,Not selected,Excluded: human majority did not match intended foundation.
S32,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.5555555555555556,0.6666666666666666,0.5277777777777778,3.0,9,35,True,3,,Not selected,Eligible but outside the selected high/low extremes.
S33,Authority/Subversion,Authority/Subversion,True,True,3,False,0.6111111111111112,1.0555555555555556,0.5,2.0,10,38,True,3,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S34,Sanctity/Degradation,Sanctity/Degradation,True,True,3,False,0.16666666666666666,0.2222222222222222,0.16666666666666666,2.0,3,11,True,7,,Not selected,Eligible but outside the selected high/low extremes.
S35,Care/Harm,,False,False,1,True,0.2222222222222222,0.4444444444444444,0.3055555555555556,3.0,4,19,False,,,Not selected,Excluded: no resolved human majority.
S36,Fairness/Cheating,Fairness/Cheating,True,True,2,False,0.1111111111111111,0.16666666666666666,0.2222222222222222,1.0,2,13,True,8,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S37,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.8333333333333334,1.2222222222222223,0.4722222222222222,3.0,10,36,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S38,Authority/Subversion,Care/Harm,True,False,1,False,0.6111111111111112,0.6111111111111112,0.3333333333333333,2.0,9,27,False,,,Not selected,Excluded: human majority did not match intended foundation.
S39,Sanctity/Degradation,Sanctity/Degradation,True,True,3,False,0.2777777777777778,0.3333333333333333,0.25,1.0,5,20,True,6,,Not selected,Eligible but outside the selected high/low extremes.
S40,Care/Harm,Care/Harm,True,True,2,False,1.0555555555555556,0.9444444444444444,0.6388888888888888,4.0,13,39,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S41,Fairness/Cheating,Fairness/Cheating,True,True,3,False,0.2777777777777778,0.3888888888888889,0.1388888888888889,1.0,5,17,True,7,,Not selected,Eligible but outside the selected high/low extremes.
S42,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.8333333333333334,0.3888888888888889,0.5555555555555556,3.0,13,30,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S43,Authority/Subversion,Authority/Subversion,True,True,3,False,0.8333333333333334,1.1666666666666667,0.6666666666666666,4.0,10,39,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S44,Sanctity/Degradation,Sanctity/Degradation,True,True,3,False,0.3888888888888889,0.3888888888888889,0.1388888888888889,1.0,7,19,True,3,,Not selected,Eligible but outside the selected high/low extremes.
S45,Care/Harm,Care/Harm,True,True,3,False,0.3333333333333333,0.4444444444444444,0.6944444444444444,4.0,3,20,True,6,,Not selected,Eligible but outside the selected high/low extremes.
S46,Fairness/Cheating,Fairness/Cheating,True,True,3,False,0.4444444444444444,0.5555555555555556,0.25,3.0,8,23,True,4,,Not selected,Eligible but outside the selected high/low extremes.
S47,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.0,0.0,0.0,0.0,0,0,True,8,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S48,Authority/Subversion,Authority/Subversion,True,True,3,False,1.1666666666666667,1.1111111111111112,0.8055555555555556,3.0,12,43,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S49,Sanctity/Degradation,Sanctity/Degradation,True,True,3,False,0.05555555555555555,0.3333333333333333,0.1111111111111111,1.0,1,11,True,9,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S50,Care/Harm,Care/Harm,True,True,3,False,0.7222222222222222,0.6666666666666666,0.4166666666666667,3.0,9,28,True,3,,Not selected,Eligible but outside the selected high/low extremes.
