work_unit_id,attempt_number,status,model_id,temperature,max_tokens,reasoning_effort,raw_response,error_note,prompt_tokens,completion_tokens,total_tokens,cost_usd,created_at
S02__ta__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"D,A,B,C",,1617,10,1627,0.005001,2026-07-27 09:58:18
S02__ta__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,477,7,484,0.0007785,2026-07-27 09:58:12
S05__ar__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C، D، A، B,,421,7,428,0.0011225,2026-07-27 10:38:34
S05__ar__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C، D، A، B,,783,10,793,0.002499,2026-07-27 10:38:35
S05__ar__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,432,7,439,0.000711,2026-07-27 10:38:36
S05__ar__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C، D، A، B,,489,7,496,0.0012925,2026-07-27 10:38:33
S05__ar__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C، D، A، B,,922,10,932,0.002916,2026-07-27 10:38:34
S05__ar__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,502,7,509,0.000816,2026-07-27 10:38:34
S05__bn__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,650,7,657,0.001695,2026-07-27 10:37:39
S05__bn__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1669,10,1679,0.005157,2026-07-27 10:38:28
S05__bn__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,475,7,482,0.0007755,2026-07-27 10:38:27
S05__bn__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,626,7,633,0.001635,2026-07-27 10:37:37
S05__bn__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1574,10,1584,0.004872,2026-07-27 10:38:28
S05__bn__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,456,7,463,0.000747,2026-07-27 10:37:38
S05__es__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,425,4,429,0.0011025,2026-07-27 10:38:31
S05__es__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,572,10,582,0.001866,2026-07-27 10:38:33
S05__es__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,423,7,430,0.0006975,2026-07-27 10:38:32
S05__es__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,443,4,447,0.0011475,2026-07-27 10:38:30
S05__es__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,591,10,601,0.001923,2026-07-27 10:38:33
S05__es__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,442,7,449,0.000726,2026-07-27 10:38:31
S05__hi__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,556,7,563,0.00146,2026-07-27 10:37:38
S05__hi__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1204,10,1214,0.003762,2026-07-27 10:38:28
S05__hi__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,459,7,466,0.0007515,2026-07-27 10:37:39
S05__hi__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,561,7,568,0.0014725,2026-07-27 10:37:31
S05__hi__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1251,10,1261,0.003903,2026-07-27 10:37:35
S05__hi__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,463,7,470,0.0007575,2026-07-27 10:37:38
S05__ja__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C、D、A、B,,580,7,587,0.00152,2026-07-27 10:38:33
S05__ja__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C、D、A、B,,689,10,699,0.002217,2026-07-27 10:38:36
S05__ja__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,429,7,436,0.0007065,2026-07-27 10:38:35
S05__ja__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C、D、A、B,,669,7,676,0.0017425,2026-07-27 10:38:31
S05__ja__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C、D、A、B,,791,10,801,0.002523,2026-07-27 10:38:34
S05__ja__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,490,7,497,0.000798,2026-07-27 10:38:32
S05__ta__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,708,4,712,0.00181,2026-07-27 10:38:27
S05__ta__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,1736,10,1746,0.005358,2026-07-27 10:38:28
S05__ta__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,528,7,535,0.000855,2026-07-27 10:38:31
S05__ta__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,725,4,729,0.0018525,2026-07-27 10:38:27
S05__ta__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,1820,10,1830,0.00561,2026-07-27 10:38:31
S05__ta__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,546,7,553,0.000882,2026-07-27 10:38:28
S06__ar__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C، D، A، B,,390,7,397,0.001045,2026-07-27 10:38:46
S06__ar__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C، D، A، B,,769,10,779,0.002457,2026-07-27 10:38:48
S06__ar__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,406,7,413,0.000672,2026-07-27 10:38:47
S06__ar__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,460,7,467,0.00122,2026-07-27 10:38:44
S06__ar__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C، D، A، B,,888,10,898,0.002814,2026-07-27 10:38:46
S06__ar__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,478,7,485,0.00078,2026-07-27 10:38:46
S06__bn__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,598,7,605,0.001565,2026-07-27 10:38:38
S06__bn__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1508,10,1518,0.004674,2026-07-27 10:38:39
S06__bn__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,433,7,440,0.0007125,2026-07-27 10:38:40
S06__bn__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,568,7,575,0.00149,2026-07-27 10:38:37
S06__bn__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1444,10,1454,0.004482,2026-07-27 10:38:39
S06__bn__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,414,7,421,0.000684,2026-07-27 10:38:39
S06__es__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,413,4,417,0.0010725,2026-07-27 10:38:42
S06__es__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,541,10,551,0.001773,2026-07-27 10:38:43
S06__es__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,411,7,418,0.0006795,2026-07-27 10:38:43
S06__es__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,438,4,442,0.001135,2026-07-27 10:38:41
S06__es__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,587,10,597,0.001911,2026-07-27 10:38:43
S06__es__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,433,7,440,0.0007125,2026-07-27 10:38:43
S06__hi__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,539,7,546,0.0014175,2026-07-27 10:38:36
S06__hi__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1192,10,1202,0.003726,2026-07-27 10:38:39
S06__hi__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,440,7,447,0.000723,2026-07-27 10:38:38
S06__hi__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,562,7,569,0.001475,2026-07-27 10:38:35
S06__hi__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1246,10,1256,0.003888,2026-07-27 10:38:37
S06__hi__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,466,7,473,0.000762,2026-07-27 10:38:36
S06__ja__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C、D、A、B,,579,7,586,0.0015175,2026-07-27 10:38:45
S06__ja__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C、D、A、B,,675,10,685,0.002175,2026-07-27 10:38:47
S06__ja__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,433,7,440,0.0007125,2026-07-27 10:38:45
S06__ja__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C、D、A、B,,661,7,668,0.0017225,2026-07-27 10:38:43
S06__ja__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C、D、A、B,,769,10,779,0.002457,2026-07-27 10:38:46
S06__ja__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,494,7,501,0.000804,2026-07-27 10:38:44
S06__ta__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,691,4,695,0.0017675,2026-07-27 10:38:40
S06__ta__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,1683,10,1693,0.005199,2026-07-27 10:38:42
S06__ta__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,527,7,534,0.0008535,2026-07-27 10:38:42
S06__ta__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,693,4,697,0.0017725,2026-07-27 10:38:39
S06__ta__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,1695,10,1705,0.005235,2026-07-27 10:38:42
S06__ta__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,528,7,535,0.000855,2026-07-27 10:38:40
S12__ar__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C، D، A، B,,385,7,392,0.0010325,2026-07-27 10:38:57
S12__ar__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C، D، A، B,,748,10,758,0.002394,2026-07-27 10:39:01
S12__ar__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,390,7,397,0.000648,2026-07-27 10:38:59
S12__ar__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C، D، A، B,,486,7,493,0.001285,2026-07-27 10:38:56
S12__ar__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C، D، A، B,,954,10,964,0.003012,2026-07-27 10:38:57
S12__ar__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,498,7,505,0.00081,2026-07-27 10:38:57
S12__bn__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"A, D, A, B",,638,7,645,0.001665,2026-07-27 10:38:49
S12__bn__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1662,10,1672,0.005136,2026-07-27 10:38:51
S12__bn__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,464,7,471,0.000759,2026-07-27 10:38:51
S12__bn__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"A, D, A, B",,616,7,623,0.00161,2026-07-27 10:38:50
S12__bn__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1580,10,1590,0.00489,2026-07-27 10:38:49
S12__bn__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,454,7,461,0.000744,2026-07-27 10:38:50
S12__es__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,399,4,403,0.0010375,2026-07-27 10:38:53
S12__es__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,528,10,538,0.001734,2026-07-27 10:38:55
S12__es__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,397,7,404,0.0006585,2026-07-27 10:38:54
S12__es__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,446,4,450,0.001155,2026-07-27 10:38:52
S12__es__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,592,10,602,0.001926,2026-07-27 10:38:55
S12__es__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,445,7,452,0.0007305,2026-07-27 10:38:54
S12__hi__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,568,7,575,0.00149,2026-07-27 10:38:48
S12__hi__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1308,10,1318,0.004074,2026-07-27 10:38:50
S12__hi__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,482,7,489,0.000786,2026-07-27 10:38:49
S12__hi__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C, D, A, B",,567,7,574,0.0014875,2026-07-27 10:38:46
S12__hi__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1329,10,1339,0.004137,2026-07-27 10:38:48
S12__hi__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,489,7,496,0.0007965,2026-07-27 10:38:48
S12__ja__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C、D、A、B,,590,7,597,0.001545,2026-07-27 10:38:55
S12__ja__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C、D、A、B,,673,10,683,0.002169,2026-07-27 10:38:59
S12__ja__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,424,7,431,0.000699,2026-07-27 10:38:56
S12__ja__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C、D、A、B,,701,7,708,0.0018225,2026-07-27 10:38:54
S12__ja__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C、D、A、B,,823,10,833,0.002619,2026-07-27 10:38:57
S12__ja__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,511,7,518,0.0008295,2026-07-27 10:38:56
S12__ta__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,694,4,698,0.001775,2026-07-27 10:38:51
S12__ta__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,1691,10,1701,0.005223,2026-07-27 10:38:55
S12__ta__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,526,7,533,0.000852,2026-07-27 10:38:53
S12__ta__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,727,4,731,0.0018575,2026-07-27 10:38:50
S12__ta__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,1772,10,1782,0.005466,2026-07-27 10:38:54
S12__ta__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,549,7,556,0.0008865,2026-07-27 10:38:52
S18__ar__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C، D، A، B,,371,7,378,0.0009975,2026-07-27 10:39:08
S18__ar__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C، D، A، B,,738,10,748,0.002364,2026-07-27 10:39:11
S18__ar__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,375,7,382,0.0006255,2026-07-27 10:39:09
S18__ar__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,C، D، A، B,,429,7,436,0.0011425,2026-07-27 10:39:09
S18__ar__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,C، D، A، B,,870,10,880,0.00276,2026-07-27 10:39:09
S18__ar__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,446,7,453,0.000732,2026-07-27 10:39:09
S18__bn__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"A, D, A, B",,666,7,673,0.001735,2026-07-27 10:39:01
S18__bn__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"A, D, A, B",,1746,10,1756,0.005388,2026-07-27 10:39:02
S18__bn__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,469,7,476,0.0007665,2026-07-27 10:39:02
S18__bn__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"A, D, A, B",,639,7,646,0.0016675,2026-07-27 10:39:00
S18__bn__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"A, D, A, B",,1666,10,1676,0.005148,2026-07-27 10:39:03
S18__bn__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"A, D, A, B",,453,7,460,0.0007425,2026-07-27 10:39:01
S18__es__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"A,D,A,B",,402,4,406,0.001045,2026-07-27 10:39:05
S18__es__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,531,10,541,0.001743,2026-07-27 10:39:06
S18__es__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,394,7,401,0.000654,2026-07-27 10:39:06
S18__es__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"C,D,A,B",,501,4,505,0.0012925,2026-07-27 10:39:04
S18__es__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C,D,A,B",,651,10,661,0.002103,2026-07-27 10:39:05
S18__es__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"C, D, A, B",,490,7,497,0.000798,2026-07-27 10:39:05
S18__hi__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"A, D, A, B",,571,7,578,0.0014975,2026-07-27 10:38:59
S18__hi__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"C, D, A, B",,1362,10,1372,0.004236,2026-07-27 10:39:01
