work_unit_id,scenario_id,foundation,shift_tier,model_key,model_id,input_language,scenario_version,action_correct,actor_correct,affected_correct,consequence_correct,correct_count_0_4,scenario_all_4_correct,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
S02__es__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"D,A,B,C",581,10,591,0.001893
S02__es__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"D,A,B,C",579,10,589,0.001887
S02__es__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"D, A, B, C",438,7,445,0.00072
S02__ta__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"D,A,B,C",1617,10,1627,0.005001
S02__ja__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"D, A, B, C",466,7,473,0.000762
S02__ja__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"D, A, B, C",444,7,451,0.000729
S02__ar__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,0,1,1,3,0,"A, A, B, C",440,7,447,0.00117
S02__ja__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,D、A、B、C,631,7,638,0.0016475
S05__hi__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"C, D, A, B",561,7,568,0.0014725
S02__ja__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,"D, A, B, C",592,7,599,0.00155
S02__ar__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"D, A, B, C",449,7,456,0.0007365
S02__ar__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"D, A, B, C",482,7,489,0.000786
S02__ja__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,D、A、B、C,738,10,748,0.002364
S05__hi__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"C, D, A, B",1251,10,1261,0.003903
S02__ja__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,D、A、B、C,681,10,691,0.002193
S05__bn__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"C, D, A, B",626,7,633,0.001635
S05__hi__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"C, D, A, B",556,7,563,0.00146
S05__bn__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"C, D, A, B",456,7,463,0.000747
S05__hi__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"C, D, A, B",463,7,470,0.0007575
S05__hi__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"C, D, A, B",459,7,466,0.0007515
S05__bn__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"C, D, A, B",650,7,657,0.001695
S02__ar__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,0,1,1,3,0,A، A، B، C,471,7,478,0.0012475
S05__ta__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"C,D,A,B",725,4,729,0.0018525
S05__ta__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"C,D,A,B",708,4,712,0.00181
S05__bn__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"C, D, A, B",475,7,482,0.0007755
S05__hi__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"C, D, A, B",1204,10,1214,0.003762
S05__bn__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"C, D, A, B",1574,10,1584,0.004872
S05__ta__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"C, D, A, B",546,7,553,0.000882
S05__bn__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"C, D, A, B",1669,10,1679,0.005157
S05__ta__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"C,D,A,B",1736,10,1746,0.005358
S02__ar__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,D، A، B، C,891,10,901,0.002823
S02__ar__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,0,1,1,3,0,A، A، B، C,832,10,842,0.002646
S05__es__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"C,D,A,B",443,4,447,0.0011475
S05__ta__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"C, D, A, B",528,7,535,0.000855
S05__es__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"C,D,A,B",425,4,429,0.0011025
S05__ja__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,C、D、A、B,669,7,676,0.0017425
S05__ta__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"C,D,A,B",1820,10,1830,0.00561
S05__es__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"C, D, A, B",442,7,449,0.000726
S05__es__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"C, D, A, B",423,7,430,0.0006975
S05__ja__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"C, D, A, B",490,7,497,0.000798
S05__ja__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,C、D、A、B,580,7,587,0.00152
S05__es__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"C,D,A,B",572,10,582,0.001866
S05__es__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"C,D,A,B",591,10,601,0.001923
S05__ar__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,C، D، A، B,489,7,496,0.0012925
S05__ar__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,C، D، A، B,421,7,428,0.0011225
S05__ar__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,C، D، A، B,922,10,932,0.002916
S05__ar__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"C, D, A, B",502,7,509,0.000816
S05__ja__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,C、D、A、B,791,10,801,0.002523
S05__ja__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"C, D, A, B",429,7,436,0.0007065
S06__hi__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"C, D, A, B",562,7,569,0.001475
S05__ar__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,C، D، A، B,783,10,793,0.002499
S05__ar__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"C, D, A, B",432,7,439,0.000711
S05__ja__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,C、D、A、B,689,10,699,0.002217
S06__hi__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"C, D, A, B",539,7,546,0.0014175
S06__hi__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"C, D, A, B",466,7,473,0.000762
S06__hi__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"C, D, A, B",1246,10,1256,0.003888
S06__bn__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"C, D, A, B",568,7,575,0.00149
S06__hi__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"C, D, A, B",440,7,447,0.000723
S06__bn__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"C, D, A, B",598,7,605,0.001565
S06__bn__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"C, D, A, B",1444,10,1454,0.004482
S06__bn__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"C, D, A, B",414,7,421,0.000684
S06__hi__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"C, D, A, B",1192,10,1202,0.003726
S06__ta__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"C,D,A,B",693,4,697,0.0017725
S06__bn__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"C, D, A, B",1508,10,1518,0.004674
S06__ta__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"C,D,A,B",691,4,695,0.0017675
S06__bn__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"C, D, A, B",433,7,440,0.0007125
S06__ta__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"C, D, A, B",528,7,535,0.000855
S06__es__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"C,D,A,B",438,4,442,0.001135
S06__ta__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"C, D, A, B",527,7,534,0.0008535
S06__ta__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"C,D,A,B",1695,10,1705,0.005235
S06__es__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"C,D,A,B",413,4,417,0.0010725
S06__ta__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"C,D,A,B",1683,10,1693,0.005199
S06__es__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"C,D,A,B",541,10,551,0.001773
S06__ja__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,C、D、A、B,661,7,668,0.0017225
S06__es__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"C, D, A, B",433,7,440,0.0007125
S06__es__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"C, D, A, B",411,7,418,0.0006795
S06__es__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"C,D,A,B",587,10,597,0.001911
S06__ja__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"C, D, A, B",494,7,501,0.000804
S06__ar__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,"C, D, A, B",460,7,467,0.00122
S06__ja__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,C、D、A、B,579,7,586,0.0015175
S06__ja__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"C, D, A, B",433,7,440,0.0007125
S06__ar__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,C، D، A، B,390,7,397,0.001045
S06__ja__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,C、D、A、B,769,10,779,0.002457
S12__hi__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"C, D, A, B",567,7,574,0.0014875
S06__ar__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,C، D، A، B,888,10,898,0.002814
S06__ar__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"C, D, A, B",478,7,485,0.00078
S06__ar__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"C, D, A, B",406,7,413,0.000672
S06__ja__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,C、D、A、B,675,10,685,0.002175
S12__hi__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"C, D, A, B",1329,10,1339,0.004137
S12__hi__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"C, D, A, B",568,7,575,0.00149
S12__hi__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"C, D, A, B",489,7,496,0.0007965
S06__ar__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,C، D، A، B,769,10,779,0.002457
S12__hi__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"C, D, A, B",482,7,489,0.000786
S12__bn__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,0,1,1,3,0,"A, D, A, B",638,7,645,0.001665
S12__bn__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"C, D, A, B",1580,10,1590,0.00489
S12__bn__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"C, D, A, B",454,7,461,0.000744
S12__hi__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"C, D, A, B",1308,10,1318,0.004074
S12__bn__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,0,1,1,3,0,"A, D, A, B",616,7,623,0.00161
S12__ta__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"C,D,A,B",727,4,731,0.0018575
S12__bn__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"C, D, A, B",1662,10,1672,0.005136
S12__bn__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"C, D, A, B",464,7,471,0.000759
S12__ta__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"C,D,A,B",694,4,698,0.001775
S12__ta__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"C, D, A, B",549,7,556,0.0008865
S12__es__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"C,D,A,B",446,4,450,0.001155
S12__ta__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"C, D, A, B",526,7,533,0.000852
S12__es__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"C,D,A,B",399,4,403,0.0010375
S12__ta__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"C,D,A,B",1772,10,1782,0.005466
S12__ja__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,C、D、A、B,701,7,708,0.0018225
S12__es__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"C, D, A, B",445,7,452,0.0007305
S12__es__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"C, D, A, B",397,7,404,0.0006585
S12__ta__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"C,D,A,B",1691,10,1701,0.005223
S12__ja__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,C、D、A、B,590,7,597,0.001545
S12__es__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"C,D,A,B",592,10,602,0.001926
S12__es__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"C,D,A,B",528,10,538,0.001734
S12__ja__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"C, D, A, B",511,7,518,0.0008295
S12__ja__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"C, D, A, B",424,7,431,0.000699
S12__ar__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,C، D، A، B,486,7,493,0.001285
S12__ja__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,C、D、A、B,823,10,833,0.002619
S12__ar__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,C، D، A، B,954,10,964,0.003012
S12__ar__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,C، D، A، B,385,7,392,0.0010325
S12__ar__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"C, D, A, B",498,7,505,0.00081
S18__hi__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"C, D, A, B",599,7,606,0.0015675
S12__ar__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"C, D, A, B",390,7,397,0.000648
S12__ja__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,C、D、A、B,673,10,683,0.002169
S18__hi__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"C, D, A, B",1430,10,1440,0.00444
S18__hi__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,0,1,1,3,0,"A, D, A, B",571,7,578,0.0014975
S18__hi__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"C, D, A, B",508,7,515,0.000825
S18__bn__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,0,1,1,3,0,"A, D, A, B",639,7,646,0.0016675
S18__hi__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"C, D, A, B",478,7,485,0.00078
S18__bn__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,0,1,1,3,0,"A, D, A, B",453,7,460,0.0007425
S12__ar__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,C، D، A، B,748,10,758,0.002394
S18__bn__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,0,1,1,3,0,"A, D, A, B",666,7,673,0.001735
S18__hi__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"C, D, A, B",1362,10,1372,0.004236
S18__bn__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,0,1,1,3,0,"A, D, A, B",1746,10,1756,0.005388
S18__bn__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"C, D, A, B",469,7,476,0.0007665
