work_unit_id,raw_response,parsed_answers,normalization_type,exactly_four_recognized_tokens,response_order_preserved,answer_content_inferred,ambiguous_free_text_converted
S12__ar__literal__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S12__ja__literal__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S12__ar__literal__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S12__ar__adapted__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S12__ja__adapted__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S12__ar__adapted__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S18__ja__literal__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S18__ar__adapted__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S18__ja__literal__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S18__ar__literal__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S18__ar__literal__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S18__ja__adapted__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S18__ar__adapted__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S20__ja__literal__chatgpt,A、C、D、A,"A,C,D,A",locale_specific_comma,True,True,False,False
S20__hi__literal__chatgpt,"ए, सी, डी, ए","A,C,D,A",localized_option_name,True,True,False,False
S20__ja__literal__claude,A、C、D、A,"A,C,D,A",locale_specific_comma,True,True,False,False
S20__ja__adapted__chatgpt,A、C、D、A,"A,C,D,A",locale_specific_comma,True,True,False,False
S20__ja__adapted__claude,A、C、D、A,"A,C,D,A",locale_specific_comma,True,True,False,False
S20__ar__adapted__chatgpt,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S20__ar__literal__claude,A، C، D، A,"A,C,D,A",locale_specific_comma,True,True,False,False
S20__ar__adapted__claude,A، C، D، A,"A,C,D,A",locale_specific_comma,True,True,False,False
S20__ar__literal__chatgpt,A، C، D، A,"A,C,D,A",locale_specific_comma,True,True,False,False
S22__ja__literal__chatgpt,D、C、D、A,"D,C,D,A",locale_specific_comma,True,True,False,False
S22__ja__adapted__chatgpt,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S22__ja__literal__claude,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S22__ja__adapted__claude,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S22__ar__literal__claude,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S22__ar__literal__chatgpt,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S22__ar__adapted__chatgpt,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S22__ar__adapted__claude,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S23__ja__literal__chatgpt,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S23__ja__literal__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S23__ar__literal__chatgpt,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S23__ja__adapted__chatgpt,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S23__ar__adapted__chatgpt,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S23__ja__adapted__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S23__ar__literal__claude,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S24__hi__literal__chatgpt,"डी, ए, बी, सी","D,A,B,C",localized_option_name,True,True,False,False
S23__ar__adapted__claude,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S24__hi__adapted__chatgpt,"डी, ए, बी, सी","D,A,B,C",localized_option_name,True,True,False,False
S24__ja__literal__chatgpt,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S24__ja__adapted__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S24__ar__literal__chatgpt,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S24__ja__literal__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S24__ar__adapted__chatgpt,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S24__ar__literal__claude,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S26__ja__literal__chatgpt,B、C、C、D,"B,C,C,D",locale_specific_comma,True,True,False,False
S26__ja__adapted__chatgpt,B、C、C、D,"B,C,C,D",locale_specific_comma,True,True,False,False
S26__ja__literal__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S26__ar__literal__chatgpt,B، B، C، D,"B,B,C,D",locale_specific_comma,True,True,False,False
S26__ar__literal__claude,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S26__ar__adapted__chatgpt,A، C، C، D,"A,C,C,D",locale_specific_comma,True,True,False,False
S26__ja__adapted__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S26__ar__adapted__claude,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S28__ja__literal__chatgpt,B、B、C、D,"B,B,C,D",locale_specific_comma,True,True,False,False
S28__ja__adapted__chatgpt,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S28__ja__literal__claude,B、B、C、D,"B,B,C,D",locale_specific_comma,True,True,False,False
S28__ja__adapted__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S28__ar__literal__chatgpt,B، B، C، D,"B,B,C,D",locale_specific_comma,True,True,False,False
S28__ar__adapted__chatgpt,B، B، C، D,"B,B,C,D",locale_specific_comma,True,True,False,False
S28__ar__literal__claude,B، B، C، D,"B,B,C,D",locale_specific_comma,True,True,False,False
S28__ar__adapted__claude,B، B، C، D,"B,B,C,D",locale_specific_comma,True,True,False,False
S33__ja__literal__chatgpt,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S33__ja__adapted__chatgpt,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S33__ja__literal__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S33__ar__literal__chatgpt,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S33__ar__literal__claude,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S33__ja__adapted__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S33__ar__adapted__claude,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S36__ja__literal__chatgpt,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S36__ja__adapted__chatgpt,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S36__ja__literal__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S36__ar__literal__claude,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S36__ja__adapted__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S36__ar__adapted__chatgpt,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S36__ar__adapted__claude,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S37__ja__literal__chatgpt,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S37__ja__literal__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S37__ja__adapted__chatgpt,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S37__ja__adapted__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S37__ar__adapted__chatgpt,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S37__ar__literal__claude,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S37__ar__adapted__claude,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S40__ja__literal__chatgpt,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S40__ja__adapted__chatgpt,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S40__ar__literal__chatgpt,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S40__ar__literal__claude,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S40__ja__literal__claude,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S40__ja__adapted__claude,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S40__ar__adapted__claude,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S42__ja__literal__chatgpt,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S42__ja__adapted__chatgpt,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S42__ja__literal__claude,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S42__ja__adapted__claude,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S42__ar__literal__claude,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S42__ar__adapted__claude,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S43__hi__literal__chatgpt,"ए, सी, डी, ए","A,C,D,A",localized_option_name,True,True,False,False
S43__ja__adapted__chatgpt,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S43__ja__literal__chatgpt,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S43__ja__literal__claude,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S43__ar__literal__chatgpt,A، C، D، A,"A,C,D,A",locale_specific_comma,True,True,False,False
S43__ja__adapted__claude,B、C、D、A,"B,C,D,A",locale_specific_comma,True,True,False,False
S43__ar__adapted__claude,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S43__ar__literal__claude,B، C، D، A,"B,C,D,A",locale_specific_comma,True,True,False,False
S47__ja__literal__chatgpt,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S47__ja__adapted__chatgpt,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S47__ja__literal__claude,D、A、B、A,"D,A,B,A",locale_specific_comma,True,True,False,False
S47__ar__literal__chatgpt,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S47__ar__adapted__claude,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S47__ar__literal__claude,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S47__ja__adapted__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S48__ja__literal__chatgpt,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S48__ja__adapted__chatgpt,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S48__ja__literal__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S48__ar__literal__chatgpt,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S48__ar__adapted__chatgpt,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S48__ja__adapted__claude,A、B、C、D,"A,B,C,D",locale_specific_comma,True,True,False,False
S48__ar__adapted__claude,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S48__ar__literal__claude,A، B، C، D,"A,B,C,D",locale_specific_comma,True,True,False,False
S49__ja__literal__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S49__ja__adapted__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S49__ja__literal__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S49__ar__literal__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S49__ja__adapted__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S49__ar__adapted__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S49__ar__literal__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S49__ar__adapted__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
