work_unit_id,model_key,input_language,raw_response,parsed_answers,normalization_type
S22__ar__literal__chatgpt,chatgpt,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S22__ar__adapted__chatgpt,chatgpt,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S22__ar__adapted__claude,claude,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S23__ja__literal__chatgpt,chatgpt,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S23__ja__literal__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S23__ar__literal__chatgpt,chatgpt,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S23__ja__adapted__chatgpt,chatgpt,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S23__ar__adapted__chatgpt,chatgpt,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S23__ja__adapted__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S23__ar__literal__claude,claude,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S24__hi__literal__chatgpt,chatgpt,hi,"डी, ए, बी, सी","D,A,B,C",localized_option_name
S23__ar__adapted__claude,claude,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S24__hi__adapted__chatgpt,chatgpt,hi,"डी, ए, बी, सी","D,A,B,C",localized_option_name
S24__ja__literal__chatgpt,chatgpt,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S24__ja__adapted__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S24__ar__literal__chatgpt,chatgpt,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S24__ja__literal__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S24__ar__adapted__chatgpt,chatgpt,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S24__ar__literal__claude,claude,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S26__ja__literal__chatgpt,chatgpt,ja,B、C、C、D,"B,C,C,D",locale_specific_comma
S26__ja__adapted__chatgpt,chatgpt,ja,B、C、C、D,"B,C,C,D",locale_specific_comma
S26__ja__literal__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S26__ar__literal__chatgpt,chatgpt,ar,B، B، C، D,"B,B,C,D",locale_specific_comma
S26__ar__literal__claude,claude,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S26__ar__adapted__chatgpt,chatgpt,ar,A، C، C، D,"A,C,C,D",locale_specific_comma
S26__ja__adapted__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S26__ar__adapted__claude,claude,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S28__ja__literal__chatgpt,chatgpt,ja,B、B、C、D,"B,B,C,D",locale_specific_comma
S28__ja__adapted__chatgpt,chatgpt,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S28__ja__literal__claude,claude,ja,B、B、C、D,"B,B,C,D",locale_specific_comma
S28__ja__adapted__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S28__ar__literal__chatgpt,chatgpt,ar,B، B، C، D,"B,B,C,D",locale_specific_comma
S28__ar__adapted__chatgpt,chatgpt,ar,B، B، C، D,"B,B,C,D",locale_specific_comma
S28__ar__literal__claude,claude,ar,B، B، C، D,"B,B,C,D",locale_specific_comma
S28__ar__adapted__claude,claude,ar,B، B، C، D,"B,B,C,D",locale_specific_comma
S33__ja__literal__chatgpt,chatgpt,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S33__ja__adapted__chatgpt,chatgpt,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S33__ja__literal__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S33__ar__literal__chatgpt,chatgpt,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S33__ar__literal__claude,claude,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S33__ja__adapted__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S33__ar__adapted__claude,claude,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S36__ja__literal__chatgpt,chatgpt,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S36__ja__adapted__chatgpt,chatgpt,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S36__ja__literal__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S36__ar__literal__claude,claude,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S36__ja__adapted__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S36__ar__adapted__chatgpt,chatgpt,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S36__ar__adapted__claude,claude,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S37__ja__literal__chatgpt,chatgpt,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S37__ja__literal__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S37__ja__adapted__chatgpt,chatgpt,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S37__ja__adapted__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S37__ar__adapted__chatgpt,chatgpt,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S37__ar__literal__claude,claude,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S37__ar__adapted__claude,claude,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S40__ja__literal__chatgpt,chatgpt,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S40__ja__adapted__chatgpt,chatgpt,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S40__ar__literal__chatgpt,chatgpt,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S40__ar__literal__claude,claude,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S40__ja__literal__claude,claude,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S40__ja__adapted__claude,claude,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S40__ar__adapted__claude,claude,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S42__ja__literal__chatgpt,chatgpt,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S42__ja__adapted__chatgpt,chatgpt,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S42__ja__literal__claude,claude,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S42__ja__adapted__claude,claude,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S42__ar__literal__claude,claude,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S42__ar__adapted__claude,claude,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S43__hi__literal__chatgpt,chatgpt,hi,"ए, सी, डी, ए","A,C,D,A",localized_option_name
S43__ja__adapted__chatgpt,chatgpt,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S43__ja__literal__chatgpt,chatgpt,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S43__ja__literal__claude,claude,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S43__ar__literal__chatgpt,chatgpt,ar,A، C، D، A,"A,C,D,A",locale_specific_comma
S43__ja__adapted__claude,claude,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S43__ar__adapted__claude,claude,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S43__ar__literal__claude,claude,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S47__ja__literal__chatgpt,chatgpt,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S47__ja__adapted__chatgpt,chatgpt,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S47__ja__literal__claude,claude,ja,D、A、B、A,"D,A,B,A",locale_specific_comma
S47__ar__literal__chatgpt,chatgpt,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S47__ar__adapted__claude,claude,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S47__ar__literal__claude,claude,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S47__ja__adapted__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S48__ja__literal__chatgpt,chatgpt,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S48__ja__adapted__chatgpt,chatgpt,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S48__ja__literal__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S48__ar__literal__chatgpt,chatgpt,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S48__ar__adapted__chatgpt,chatgpt,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S48__ja__adapted__claude,claude,ja,A、B、C、D,"A,B,C,D",locale_specific_comma
S48__ar__adapted__claude,claude,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S48__ar__literal__claude,claude,ar,A، B، C، D,"A,B,C,D",locale_specific_comma
S49__ja__literal__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S49__ja__adapted__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S49__ja__literal__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S49__ar__literal__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S49__ja__adapted__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S49__ar__adapted__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S49__ar__literal__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S49__ar__adapted__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
