question_id,incorrect_items,attempts,error_rate,scenario_id,foundation,shift_tier,question_type,question_en,option_A,option_B,option_C,option_D,correct_option,ambiguity_flag,ambiguity_note
S18_Q4,0,36,0.0,S18,Fairness/Cheating,low,Consequence/outcome,"In the scenario concerning credit for a university report, what consequence or outcome is explicitly stated?",Both received identical grades after correcting the form,"He received the higher grade, and she learned after grades were released",The report was never submitted,The tutor cancelled the assignment,B,Pending human review,
S20_Q2,0,36,0.0,S20,Fairness/Cheating,high,Main action,"In the scenario concerning a disputed hiring decision, what central action was taken?",She stopped the meeting and reopened interviews,She reported the comments before the decision,She stayed silent when biased comments influenced the decision,She withdrew from the panel,C,Pending human review,
S20_Q3,0,36,0.0,S20,Fairness/Cheating,high,Affected party/object,"In the scenario concerning a disputed hiring decision, who or what was directly affected?",The firm's clients,The panel chair's assistant,A newly hired receptionist,The strongest candidate who was passed over,D,Pending human review,
S20_Q4,0,36,0.0,S20,Fairness/Cheating,high,Consequence/outcome,"In the scenario concerning a disputed hiring decision, what consequence or outcome is explicitly stated?",The position was filled and the candidate had no recourse,The candidate was hired after an appeal,The panel repeated every interview,The junior panellist resigned,A,Pending human review,
S22_Q2,0,36,0.0,S22,Sanctity/Degradation,high,Main action,"In the scenario concerning a family name used for a snack product, what central action was taken?",She closed the food business,Her parents chose the product name,She used her grandfather's sacred name for a snack line without consulting family,She used an unrelated brand name,C,Pending human review,
S22_Q3,0,36,0.0,S22,Sanctity/Degradation,high,Affected party/object,"In the scenario concerning a family name used for a snack product, who or what was directly affected?",A competing restaurant,A delivery driver,A local school,The family and the revered name of the grandfather,D,Pending human review,
S22_Q4,0,36,0.0,S22,Sanctity/Degradation,high,Consequence/outcome,"In the scenario concerning a family name used for a snack product, what consequence or outcome is explicitly stated?",Her parents learned about the product when they saw the packaging,The product was never packaged,The grandfather selected the design,The business was sold before launch,A,Pending human review,
S23_Q1,0,36,0.0,S23,Sanctity/Degradation,high,Actor,"In the scenario concerning private conduct in a parish role, who performed the central action?",The parish priest bound by the role's vows,The woman in the neighboring town,A parish member,The bishop,A,Pending human review,
S23_Q2,0,36,0.0,S23,Sanctity/Degradation,high,Main action,"In the scenario concerning private conduct in a parish role, what central action was taken?",He publicly resigned before the relationship,He conducted a private romantic relationship contrary to his vows,He reported another priest,He ended all contact with the neighboring town,B,Pending human review,
S23_Q3,0,36,0.0,S23,Sanctity/Degradation,high,Affected party/object,"In the scenario concerning private conduct in a parish role, who or what was directly affected?",A commercial lease,A school examination,The vows and expectations attached to his parish role,A medical prescription,C,Pending human review,
S23_Q4,0,36,0.0,S23,Sanctity/Degradation,high,Consequence/outcome,"In the scenario concerning private conduct in a parish role, what consequence or outcome is explicitly stated?",The congregation held a public protest,The bishop announced the relationship,The relationship caused a public scandal,A parish member discovered the relationship and told no one,D,Pending human review,
S24_Q1,0,36,0.0,S24,Sanctity/Degradation,low,Actor,"In the scenario concerning inherited ceremonial garments, who performed the central action?",His mother,The vintage dealer,The eventual customer,The family member who inherited the garments,D,Pending human review,
S24_Q2,0,36,0.0,S24,Sanctity/Degradation,low,Main action,"In the scenario concerning inherited ceremonial garments, what central action was taken?",He sold the garments without telling his mother,He returned them to the family trunk,His mother donated them,He wore them at a family wedding,A,Pending human review,
S24_Q3,0,36,0.0,S24,Sanctity/Degradation,low,Affected party/object,"In the scenario concerning inherited ceremonial garments, who or what was directly affected?",A newly purchased suit,The inherited garments and the family connection attached to them,The dealer's shop furniture,A cousin's vehicle,B,Pending human review,
S24_Q4,0,36,0.0,S24,Sanctity/Degradation,low,Consequence/outcome,"In the scenario concerning inherited ceremonial garments, what consequence or outcome is explicitly stated?",The garments remained in the family trunk,The dealer returned them before resale,"A customer wore them to a fancy-dress party, and his mother learned from a cousin",His mother approved the sale beforehand,C,Pending human review,
S26_Q3,0,36,0.0,S26,Care/Harm,high,Affected party/object,"In the scenario concerning a conflict involving weekly assistance, who or what was directly affected?",The wedding guests,The pharmacist's family,The elderly neighbor who depended on the weekly pickup,A hospital administrator,C,Pending human review,
S26_Q4,0,36,0.0,S26,Care/Harm,high,Consequence/outcome,"In the scenario concerning a conflict involving weekly assistance, what consequence or outcome is explicitly stated?",He received a replacement prescription immediately,The wedding was cancelled,A relative moved in that evening,He went more than a day without his prescribed medication,D,Pending human review,
S28_Q2,0,36,0.0,S28,Fairness/Cheating,high,Main action,"In the scenario concerning an error during a cash transaction, what central action was taken?",The customer returned the money,The customer kept the extra change,The cashier deliberately issued a refund,The manager cancelled the purchase,B,Pending human review,
S28_Q3,0,36,0.0,S28,Fairness/Cheating,high,Affected party/object,"In the scenario concerning an error during a cash transaction, who or what was directly affected?",A damaged product,A loyalty card,The money mistakenly given as extra change,The customer's receipt,C,Pending human review,
S28_Q4,0,36,0.0,S28,Fairness/Cheating,high,Consequence/outcome,"In the scenario concerning an error during a cash transaction, what consequence or outcome is explicitly stated?",The cashier corrected the amount immediately,The purchase was refunded in full,The store closed the register,The customer retained money that had been given by mistake,D,Pending human review,
S33_Q2,0,36,0.0,S33,Authority/Subversion,low,Main action,"In the scenario concerning instructions in a laboratory, what central action was taken?",The assistant ignored the supervisor's instructions to save time,The supervisor ignored the assistant,The assistant requested more instructions,The laboratory stopped all work,A,Pending human review,
S33_Q3,0,36,0.0,S33,Authority/Subversion,low,Affected party/object,"In the scenario concerning instructions in a laboratory, who or what was directly affected?",A cafeteria order,The supervisor's required laboratory procedure,A travel itinerary,A university application,B,Pending human review,
S36_Q1,0,36,0.0,S36,Fairness/Cheating,low,Actor,"In the scenario concerning a workplace promotion, who performed the central action?",The less qualified relative,The most deserving employee,A customer,The manager making the promotion decision,D,Pending human review,
S36_Q2,0,36,0.0,S36,Fairness/Cheating,low,Main action,"In the scenario concerning a workplace promotion, what central action was taken?",The manager promoted a less qualified relative,The manager ran an anonymous skills test,The manager promoted the strongest employee,The manager cancelled the role,A,Pending human review,
S36_Q3,0,36,0.0,S36,Fairness/Cheating,low,Affected party/object,"In the scenario concerning a workplace promotion, who or what was directly affected?",The manager's customer,The more deserving employee who was not promoted,A supplier,The relative's former school,B,Pending human review,
S36_Q4,0,36,0.0,S36,Fairness/Cheating,low,Consequence/outcome,"In the scenario concerning a workplace promotion, what consequence or outcome is explicitly stated?",The position remained vacant,The deserving employee received two promotions,The less qualified relative received the promotion,The manager transferred departments,C,Pending human review,
S37_Q1,0,36,0.0,S37,Loyalty/Betrayal,high,Actor,"In the scenario concerning confidential information during military service, who performed the central action?",The soldier with access to confidential information,The friend living abroad,The commanding officer,A journalist,A,Pending human review,
S37_Q2,0,36,0.0,S37,Loyalty/Betrayal,high,Main action,"In the scenario concerning confidential information during military service, what central action was taken?",The soldier destroyed the information,The soldier revealed confidential information to protect a friend,The friend reported the soldier,The commander released the information publicly,B,Pending human review,
S37_Q3,0,36,0.0,S37,Loyalty/Betrayal,high,Affected party/object,"In the scenario concerning confidential information during military service, who or what was directly affected?",A sports team's schedule,A school examination,The confidentiality of the military information,A family photograph,C,Pending human review,
S37_Q4,0,36,0.0,S37,Loyalty/Betrayal,high,Consequence/outcome,"In the scenario concerning confidential information during military service, what consequence or outcome is explicitly stated?",The friend was arrested by the soldier,The information remained completely secret,The operation was publicly cancelled,The information was disclosed for the purpose of protecting the friend,D,Pending human review,
S40_Q1,0,36,0.0,S40,Care/Harm,high,Actor,"In the scenario concerning a delayed bus route, who performed the central action?",The child,The bus driver,A passenger,The route supervisor,B,Pending human review,
S40_Q3,0,36,0.0,S40,Care/Harm,high,Affected party/object,"In the scenario concerning a delayed bus route, who or what was directly affected?",The route supervisor,A mechanic,The bus company accountant,The child left behind at the stop,D,Pending human review,
S40_Q4,0,36,0.0,S40,Care/Harm,high,Consequence/outcome,"In the scenario concerning a delayed bus route, what consequence or outcome is explicitly stated?",The bus continued while the child remained at the stop,The route was cancelled,The child was driven home by the driver,The bus returned immediately,A,Pending human review,
S42_Q1,0,36,0.0,S42,Loyalty/Betrayal,high,Actor,"In the scenario concerning a change in a business partnership, who performed the central action?",The longtime teammate,The partner who received a more profitable offer,A customer,An accountant,B,Pending human review,
S42_Q2,0,36,0.0,S42,Loyalty/Betrayal,high,Main action,"In the scenario concerning a change in a business partnership, what central action was taken?",The partners rejected every new offer,The teammate joined the competitor first,The partner abandoned the teammate to join a competitor,The partners sold the company together,C,Pending human review,
S42_Q3,0,36,0.0,S42,Loyalty/Betrayal,high,Affected party/object,"In the scenario concerning a change in a business partnership, who or what was directly affected?",The competitor's customers,A bank manager,The local government,The longtime teammate in the existing partnership,D,Pending human review,
S42_Q4,0,36,0.0,S42,Loyalty/Betrayal,high,Consequence/outcome,"In the scenario concerning a change in a business partnership, what consequence or outcome is explicitly stated?",The existing partnership was left behind for the competitor's offer,The competitor withdrew the offer,The partners expanded together,The teammate bought the competitor,A,Pending human review,
S43_Q2,0,36,0.0,S43,Authority/Subversion,high,Main action,"In the scenario concerning an evacuation during an emergency, what central action was taken?",The firefighter evacuated immediately,The commander cancelled the emergency,The firefighter refused the commander's order to evacuate,The building owner led the operation,C,Pending human review,
S43_Q3,0,36,0.0,S43,Authority/Subversion,high,Affected party/object,"In the scenario concerning an evacuation during an emergency, who or what was directly affected?",A routine training schedule,A newspaper report,A property sale,The emergency evacuation directed by incident command,D,Pending human review,
S43_Q4,0,36,0.0,S43,Authority/Subversion,high,Consequence/outcome,"In the scenario concerning an evacuation during an emergency, what consequence or outcome is explicitly stated?",The evacuation order was not followed,The order was never issued,The emergency became a drill,The commander resigned before arriving,A,Pending human review,
S47_Q1,0,36,0.0,S47,Loyalty/Betrayal,low,Actor,"In the scenario concerning confidential plans at a company, who performed the central action?",The competitor,The company director,A customer,The employee with access to the plans,D,Pending human review,
S47_Q2,0,36,0.0,S47,Loyalty/Betrayal,low,Main action,"In the scenario concerning confidential plans at a company, what central action was taken?",The employee shared confidential company plans with a competitor,The employee encrypted the plans,The competitor returned the plans unread,The director published the plans,A,Pending human review,
S47_Q3,0,36,0.0,S47,Loyalty/Betrayal,low,Affected party/object,"In the scenario concerning confidential plans at a company, who or what was directly affected?",A local school,The company whose plans were confidential,The employee's family,A sports club,B,Pending human review,
S48_Q2,0,36,0.0,S48,Authority/Subversion,high,Main action,"In the scenario concerning an order during a police operation, what central action was taken?",The officer followed the order immediately,The officer refused to follow a lawful order,The senior officer withdrew from the operation,A witness issued a new order,B,Pending human review,
S48_Q3,0,36,0.0,S48,Authority/Subversion,high,Affected party/object,"In the scenario concerning an order during a police operation, who or what was directly affected?",A private business contract,A school timetable,The operation and its lawful chain of command,A family celebration,C,Pending human review,
S48_Q4,0,36,0.0,S48,Authority/Subversion,high,Consequence/outcome,"In the scenario concerning an order during a police operation, what consequence or outcome is explicitly stated?",The operation ended before any order was given,The order was ruled unlawful,The senior officer left the police,The lawful order was not followed during the operation,D,Pending human review,
S49_Q2,0,36,0.0,S49,Sanctity/Degradation,low,Main action,"In the scenario concerning damage at a cemetery, what central action was taken?",They cleaned every memorial,They planted flowers with permission,They reported storm damage,They left trash and damaged memorials,D,Pending human review,
S49_Q3,0,36,0.0,S49,Sanctity/Degradation,low,Affected party/object,"In the scenario concerning damage at a cemetery, who or what was directly affected?",The cemetery and its memorials,A nearby sports field,A shopping center,A school laboratory,A,Pending human review,
S49_Q4,0,36,0.0,S49,Sanctity/Degradation,low,Consequence/outcome,"In the scenario concerning damage at a cemetery, what consequence or outcome is explicitly stated?",The cemetery was restored by the same people,The site was left with trash and damaged memorials,Every memorial was moved indoors,The groundskeeper closed a parking lot,B,Pending human review,
