work_unit_id,scenario_id,foundation,shift_tier,model_key,model_id,input_language,scenario_version,action_correct,actor_correct,affected_correct,consequence_correct,correct_count_0_4,scenario_all_4_correct,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd,rating_condition_id,english_baseline_rating,matched_condition_rating,absolute_rating_shift,comprehension_proportion,any_comprehension_error,shift_tier_manuscript
S02__es__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"D,A,B,C",439,4,443,0.0011375,es_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__es__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"D,A,B,C",581,10,591,0.001893,es_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__es__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"D,A,B,C",579,10,589,0.001887,es_translation_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__es__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"D, A, B, C",438,7,445,0.00072,es_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ta__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"D,A,B,C",1617,10,1627,0.005001,ta_translation_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__ja__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"D, A, B, C",466,7,473,0.000762,ja_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ja__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"D, A, B, C",444,7,451,0.000729,ja_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ar__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,0,1,1,3,0,"A, A, B, C",440,7,447,0.00117,ar_adapted_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S02__ja__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,D、A、B、C,631,7,638,0.0016475,ja_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S05__hi__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"C, D, A, B",561,7,568,0.0014725,hi_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S02__ja__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,"D, A, B, C",592,7,599,0.00155,ja_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ar__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"D, A, B, C",449,7,456,0.0007365,ar_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ar__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"D, A, B, C",482,7,489,0.000786,ar_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ja__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,D、A、B、C,738,10,748,0.002364,ja_translation_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S05__hi__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"C, D, A, B",1251,10,1261,0.003903,hi_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S02__ja__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,D、A、B、C,681,10,691,0.002193,ja_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S05__bn__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"C, D, A, B",626,7,633,0.001635,bn_translation_reason_en,6.0,7.0,1.0,1.0,0,Lower-shift
S05__hi__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"C, D, A, B",556,7,563,0.00146,hi_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__bn__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"C, D, A, B",456,7,463,0.000747,bn_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__hi__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"C, D, A, B",463,7,470,0.0007575,hi_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__hi__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"C, D, A, B",459,7,466,0.0007515,hi_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__bn__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"C, D, A, B",650,7,657,0.001695,bn_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S02__ar__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,0,1,1,3,0,A، A، B، C,471,7,478,0.0012475,ar_translation_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S05__ta__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"C,D,A,B",725,4,729,0.0018525,ta_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ta__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"C,D,A,B",708,4,712,0.00181,ta_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__bn__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"C, D, A, B",475,7,482,0.0007755,bn_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__hi__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"C, D, A, B",1204,10,1214,0.003762,hi_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__bn__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"C, D, A, B",1574,10,1584,0.004872,bn_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ta__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"C, D, A, B",546,7,553,0.000882,ta_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__bn__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"C, D, A, B",1669,10,1679,0.005157,bn_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ta__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"C,D,A,B",1736,10,1746,0.005358,ta_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S02__ar__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,D، A، B، C,891,10,901,0.002823,ar_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ar__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,0,1,1,3,0,A، A، B، C,832,10,842,0.002646,ar_adapted_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S05__es__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"C,D,A,B",443,4,447,0.0011475,es_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ta__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"C, D, A, B",528,7,535,0.000855,ta_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__es__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"C,D,A,B",425,4,429,0.0011025,es_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ja__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,C、D、A、B,669,7,676,0.0017425,ja_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ta__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"C,D,A,B",1820,10,1830,0.00561,ta_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__es__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"C, D, A, B",442,7,449,0.000726,es_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__es__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"C, D, A, B",423,7,430,0.0006975,es_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ja__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"C, D, A, B",490,7,497,0.000798,ja_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ja__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,C、D、A、B,580,7,587,0.00152,ja_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__es__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"C,D,A,B",572,10,582,0.001866,es_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__es__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"C,D,A,B",591,10,601,0.001923,es_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ar__literal__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,C، D، A، B,489,7,496,0.0012925,ar_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ar__adapted__chatgpt,S05,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,C، D، A، B,421,7,428,0.0011225,ar_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ar__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,C، D، A، B,922,10,932,0.002916,ar_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ar__literal__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"C, D, A, B",502,7,509,0.000816,ar_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ja__literal__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,C、D、A、B,791,10,801,0.002523,ja_translation_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ja__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"C, D, A, B",429,7,436,0.0007065,ja_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S06__hi__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"C, D, A, B",562,7,569,0.001475,hi_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S05__ar__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,C، D، A، B,783,10,793,0.002499,ar_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S05__ar__adapted__gemini_flash,S05,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"C, D, A, B",432,7,439,0.000711,ar_adapted_reason_en,6.0,5.0,1.0,1.0,0,Lower-shift
S05__ja__adapted__claude,S05,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,C、D、A、B,689,10,699,0.002217,ja_adapted_reason_en,6.0,6.0,0.0,1.0,0,Lower-shift
S06__hi__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"C, D, A, B",539,7,546,0.0014175,hi_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__hi__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"C, D, A, B",466,7,473,0.000762,hi_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__hi__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"C, D, A, B",1246,10,1256,0.003888,hi_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__bn__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"C, D, A, B",568,7,575,0.00149,bn_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__hi__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"C, D, A, B",440,7,447,0.000723,hi_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__bn__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"C, D, A, B",598,7,605,0.001565,bn_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__bn__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"C, D, A, B",1444,10,1454,0.004482,bn_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__bn__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"C, D, A, B",414,7,421,0.000684,bn_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__hi__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"C, D, A, B",1192,10,1202,0.003726,hi_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ta__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"C,D,A,B",693,4,697,0.0017725,ta_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__bn__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"C, D, A, B",1508,10,1518,0.004674,bn_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ta__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"C,D,A,B",691,4,695,0.0017675,ta_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__bn__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"C, D, A, B",433,7,440,0.0007125,bn_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ta__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"C, D, A, B",528,7,535,0.000855,ta_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__es__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"C,D,A,B",438,4,442,0.001135,es_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ta__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"C, D, A, B",527,7,534,0.0008535,ta_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ta__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"C,D,A,B",1695,10,1705,0.005235,ta_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__es__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"C,D,A,B",413,4,417,0.0010725,es_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ta__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"C,D,A,B",1683,10,1693,0.005199,ta_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__es__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"C,D,A,B",541,10,551,0.001773,es_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ja__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,C、D、A、B,661,7,668,0.0017225,ja_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__es__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"C, D, A, B",433,7,440,0.0007125,es_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__es__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"C, D, A, B",411,7,418,0.0006795,es_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__es__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"C,D,A,B",587,10,597,0.001911,es_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ja__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"C, D, A, B",494,7,501,0.000804,ja_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ar__literal__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,"C, D, A, B",460,7,467,0.00122,ar_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ja__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,C、D、A、B,579,7,586,0.0015175,ja_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ja__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"C, D, A, B",433,7,440,0.0007125,ja_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S06__ar__adapted__chatgpt,S06,Loyalty/Betrayal,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,C، D، A، B,390,7,397,0.001045,ar_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ja__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,C、D、A、B,769,10,779,0.002457,ja_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S12__hi__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"C, D, A, B",567,7,574,0.0014875,hi_translation_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S06__ar__literal__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,C، D، A، B,888,10,898,0.002814,ar_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ar__literal__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"C, D, A, B",478,7,485,0.00078,ar_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ar__adapted__gemini_flash,S06,Loyalty/Betrayal,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"C, D, A, B",406,7,413,0.000672,ar_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S06__ja__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,C、D、A、B,675,10,685,0.002175,ja_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S12__hi__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"C, D, A, B",1329,10,1339,0.004137,hi_translation_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
