effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value,cohens_d,n
language,ta,claude,all,-0.4,-0.630893915034589,-0.16910608496541105,0.0013661833858567007,-0.4801960383990248,50
language,es,claude,all,-0.22,-0.4460208839908384,0.0060208839908383605,0.06228776421345894,-0.2698020100301868,50
language,ja,claude,all,-0.24,-0.47466606060527794,-0.005333939394722015,0.050553392552777465,-0.28348626896638734,50
language,ar,claude,all,-0.26,-0.527454968172214,0.007454968172214027,0.06260892018233344,-0.26945965382900716,50
language,all,claude,all,-0.24666666666666667,-0.3409916814465717,-0.15234165188676163,5.335162027719775e-7,-0.2959232084887801,300
framing,hi,claude,all,-0.08,-0.26437526949132845,0.10437526949132843,0.39921745682950016,-0.1202702982845162,50
framing,bn,claude,all,-0.02,-0.18317058558453478,0.1431705855845348,0.8111469462931087,-0.03397497866814031,50
framing,ta,claude,all,-0.06,-0.28685184592592583,0.16685184592592586,0.6065123735880023,-0.073312832988532,50
framing,es,claude,all,-0.42,-0.6064892490198832,-0.2335107509801168,0.00005571086608058273,-0.6242615114083112,50
framing,ja,claude,all,0.06,-0.14507013434432617,0.26507013434432614,0.5689544683559218,0.08109982249088891,50
framing,ar,claude,all,-0.1,-0.3813965173913849,0.18139651739138488,0.48939061166994424,-0.09850365626224088,50
framing,all,claude,all,-0.10333333333333333,-0.19059462899072516,-0.016072037675941495,0.020959303999107837,-0.13400290889442795,300
reasoning,hi,claude,all,-0.04,-0.18773814673265668,0.10773814673265666,0.5980454775175574,-0.07504787743864566,50
reasoning,bn,claude,all,0.22,0.06879999999999997,0.37120000000000003,0.006346589698408289,0.40331275667677147,50
reasoning,ta,claude,all,-0.1,-0.2507846145997661,0.050784614599766104,0.19972824020692492,-0.1838290060036116,50
reasoning,es,claude,all,0.02,-0.0986618725623357,0.1386618725623357,0.7425435433616356,0.04671860509861999,50
reasoning,ja,claude,all,0.14,0.014655036000643468,0.2653449639993566,0.033378803055111206,0.3095937715672162,50
reasoning,ar,claude,all,0.2,0.07478019326001181,0.3252198067399882,0.0029398156750055637,0.4427188724235732,50
reasoning,all,claude,all,0.07333333333333333,0.01613694195311268,0.13052972471355398,0.0124975775880114,0.1450869131583351,300
language,hi,gemini_flash,all,0.18,-0.011467595169522088,0.3714675951695221,0.07144041669080292,0.2605843272661778,50
language,bn,gemini_flash,all,0.06,-0.22778769952866296,0.34778769952866295,0.684588299717761,0.05778965369522742,50
language,ta,gemini_flash,all,-0.14,-0.4086249429967366,0.12862494299673655,0.3120352797136903,-0.14446171572380445,50
language,es,gemini_flash,all,0,-0.27999999999999997,0.27999999999999997,1,0,50
language,ja,gemini_flash,all,-0.14,-0.4200559944011196,0.1400559944011196,0.3319958861935959,-0.13856521883954573,50
language,ar,gemini_flash,all,0.06,-0.22228666280927972,0.3422866628092797,0.6787919594310885,0.05891582453098054,50
language,all,gemini_flash,all,0.0033333333333333335,-0.1055840304648791,0.11225069713154576,0.9522082000480507,0.00346319597460498,300
framing,hi,gemini_flash,all,-0.08,-0.2806644961122918,0.12066449611229176,0.43832434603238024,-0.11050718531494022,50
framing,bn,gemini_flash,all,-0.16,-0.3219165217017708,0.0019165217017708125,0.05854695009820676,-0.27390495330493025,50
framing,ta,gemini_flash,all,0.04,-0.1453929880011647,0.22539298800116472,0.6742290116441307,0.05980503604017326,50
framing,es,gemini_flash,all,-0.38,-0.5810548183953819,-0.1789451816046181,0.0005382541911156391,-0.5238900861277119,50
framing,ja,gemini_flash,all,-0.02,-0.2796009244975834,0.23960092449758338,0.8805948637990879,-0.021354766648969074,50
framing,ar,gemini_flash,all,-0.26,-0.49633061587530286,-0.023669384124697157,0.035995602602626464,-0.3049470457799634,50
framing,all,gemini_flash,all,-0.14333333333333334,-0.22986520724420473,-0.05680145942246197,0.0013006907863915007,-0.18744183882045962,300
reasoning,hi,gemini_flash,all,-0.16,-0.311924191622006,-0.008075808377993987,0.04431517472830948,-0.29192017967990463,50
reasoning,bn,gemini_flash,all,-0.04,-0.19799544297225788,0.11799544297225786,0.6219601066525706,-0.07017565899639198,50
reasoning,ta,gemini_flash,all,-0.12,-0.2529926313748247,0.012992631374824704,0.08319895351076712,-0.2501063603536737,50
reasoning,es,gemini_flash,all,-0.34,-0.5136000000000001,-0.16640000000000002,0.00035498487386376176,-0.54287552878193,50
reasoning,ja,gemini_flash,all,0.2,0.014269011740097676,0.3857309882599024,0.03993623901668819,0.2984810028978547,50
reasoning,ar,gemini_flash,all,-0.1,-0.2703173508483502,0.07031735084835014,0.25540242025546567,-0.16274669424134697,50
reasoning,all,gemini_flash,all,-0.09333333333333334,-0.16177838316005372,-0.024888283506612943,0.007937249902328691,-0.1543086161981632,300
