group_type,model_key,language,condition_type,mft_foundation,matches,total,match_rate
model_language_condition_foundation,chatgpt,bn,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,bn,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,bn,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,bn,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,bn,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,bn,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,bn,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,bn,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,bn,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,bn,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,bn,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,bn,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,bn,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,bn,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,bn,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,bn,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,bn,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,en,en_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,en,en_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,en,en_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,en,en_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,en,en_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,es,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,es,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,es,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,es,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,es,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,es,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,es,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,es,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,es,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,es,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,es,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,es,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,es,translation_reason_en,Authority/Subversion,1,2,0.5
model_language_condition_foundation,chatgpt,es,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,es,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,es,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,es,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,es,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,es,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,es,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,hi,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,hi,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,hi,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,hi,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,hi,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,hi,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,hi,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,hi,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,hi,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,hi,adapted_reason_l2,Sanctity/Degradation,2,2,1
model_language_condition_foundation,chatgpt,hi,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,hi,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,hi,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,hi,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,hi,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,hi,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,hi,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,hi,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,hi,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,hi,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ja,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ja,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ja,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ja,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ja,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ja,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ja,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ja,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ja,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ja,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ja,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ja,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ja,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ja,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ja,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ja,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ja,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ja,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ja,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ja,translation_reason_l2,Sanctity/Degradation,2,2,1
model_language_condition_foundation,chatgpt,ta,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ta,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ta,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ta,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ta,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ta,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ta,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ta,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ta,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ta,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ta,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ta,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ta,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ta,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ta,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ta,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ta,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ta,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ta,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ta,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ar,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,ar,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ar,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ar,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ar,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ar,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,ar,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ar,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ar,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ar,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ar,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,ar,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ar,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ar,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ar,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ar,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,ar,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ar,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ar,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ar,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,bn,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,bn,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,bn,adapted_reason_en,Authority/Subversion,1,2,0.5
model_language_condition_foundation,claude,bn,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,bn,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,bn,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,bn,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,bn,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,bn,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,bn,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,bn,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,bn,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,bn,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,bn,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,bn,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,bn,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,bn,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,bn,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,bn,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,bn,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,en,en_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,en,en_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,en,en_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,en,en_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,en,en_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,es,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,es,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,es,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,es,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,es,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,es,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,es,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,es,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,es,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,es,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,es,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,es,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,es,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,es,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,es,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,es,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,es,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,es,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,es,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,es,translation_reason_l2,Sanctity/Degradation,2,2,1
model_language_condition_foundation,claude,hi,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,hi,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,hi,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,hi,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,hi,adapted_reason_en,Sanctity/Degradation,2,2,1
model_language_condition_foundation,claude,hi,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,hi,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,hi,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,hi,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,hi,adapted_reason_l2,Sanctity/Degradation,2,2,1
model_language_condition_foundation,claude,hi,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,hi,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,hi,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,hi,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,hi,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,hi,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,hi,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,hi,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,hi,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,hi,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ja,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,ja,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ja,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ja,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ja,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ja,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,ja,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ja,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ja,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ja,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ja,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,ja,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ja,translation_reason_en,Authority/Subversion,1,2,0.5
model_language_condition_foundation,claude,ja,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ja,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ja,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,ja,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ja,translation_reason_l2,Authority/Subversion,1,2,0.5
model_language_condition_foundation,claude,ja,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ja,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ta,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,ta,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ta,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ta,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ta,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ta,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,ta,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ta,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ta,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ta,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ta,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,claude,ta,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ta,translation_reason_en,Authority/Subversion,1,2,0.5
model_language_condition_foundation,claude,ta,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ta,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,claude,ta,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,claude,ta,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,claude,ta,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,claude,ta,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,claude,ta,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,ar,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,ar,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,ar,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,ar,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,ar,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,ar,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,ar,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,ar,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,ar,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,ar,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,ar,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,ar,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,ar,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,ar,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,ar,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,ar,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,ar,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,ar,translation_reason_l2,Authority/Subversion,1,2,0.5
model_language_condition_foundation,gemini_flash,ar,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,ar,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,bn,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,bn,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,bn,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,bn,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,bn,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,bn,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,bn,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,bn,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,bn,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,bn,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,bn,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,bn,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,bn,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,bn,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,bn,translation_reason_en,Sanctity/Degradation,2,2,1
model_language_condition_foundation,gemini_flash,bn,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,bn,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,bn,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,bn,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,bn,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,en,en_en,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,en,en_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,en,en_en,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,en,en_en,Fairness/Cheating,1,2,0.5
model_language_condition_foundation,gemini_flash,en,en_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,es,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,es,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,es,adapted_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,es,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,es,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,es,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,gemini_flash,es,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,gemini_flash,es,adapted_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,gemini_flash,es,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,gemini_flash,es,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,gemini_flash,es,translation_reason_en,Care/Harm,2,2,1
